"scenario","dev_scenario","RCP 2.6","RCP 4.5","RCP 6.0","RCP 8.5"
"Business-
as-usual","Current",0.515151515151515,0.432098765432099,0.425925925925926,0.441717791411043
"Business-
as-usual","Proportional",0.655172413793103,0.58433734939759,0.56547619047619,0.538461538461538
"Business-
as-usual","Offset-based",0.50920245398773,0.493827160493827,0.484662576687117,0.520958083832335
"Business-
as-usual","Optimum",0.7,0.670588235294118,0.658823529411765,0.672413793103448
"Progressive
reforms","Current",0.662650602409639,0.595092024539877,0.588957055214724,0.576687116564417
"Progressive
reforms","Proportional",0.825842696629214,0.783625730994152,0.783625730994152,0.793103448275862
"Progressive
reforms","Offset-based",0.744047619047619,0.738095238095238,0.736526946107784,0.719298245614035
"Progressive
reforms","Optimum",0.905882352941176,0.876470588235294,0.876470588235294,0.868571428571429
