"scenario","dev_scenario","RCP 2.6","RCP 4.5","RCP 6.0","RCP 8.5"
"Business-
as-usual","Current",0.515151515151515,0.434782608695652,0.425925925925926,0.43558282208589
"Business-
as-usual","Proportional",0.655172413793103,0.548780487804878,0.541666666666667,0.538461538461538
"Business-
as-usual","Offset-based",0.515337423312883,0.506172839506173,0.50920245398773,0.523809523809524
"Business-
as-usual","Optimum",0.705882352941177,0.676470588235294,0.664705882352941,0.71264367816092
"Progressive
reforms","Current",0.656626506024096,0.595092024539877,0.588957055214724,0.570552147239264
"Progressive
reforms","Proportional",0.831460674157303,0.757396449704142,0.760233918128655,0.793103448275862
"Progressive
reforms","Offset-based",0.755952380952381,0.744047619047619,0.754491017964072,0.744186046511628
"Progressive
reforms","Optimum",0.911764705882353,0.888235294117647,0.882352941176471,0.874285714285714
