"Sovereign nation","Territory"
"Antarctica","Antarctica"
"Australia","Cocos Islands"
"Australia","Heard and McDonald Islands"
"Australia","Macquarie Island"
"Brazil","Trindade"
"Chile","Islas San Félix and San Ambrosio"
"Colombia","Bajo Nuevo Bank"
"Colombia","Quitasueño Bank"
"Colombia","Serranilla Bank"
"France","Amsterdam and Saint Paul Islands"
"France","Clipperton Island"
"France","Crozet Islands"
"France","Europa Island"
"France","Juan de Nova Island"
"France","Kerguélen"
"Kiribati","Phoenix Group"
"Norway","Bouvet"
"Norway","Jan Mayen"
"South Africa","Prince Edward Islands"
"United Kingdom","Ascension"
"United Kingdom","Pitcairn"
"United Kingdom","Tristan da Cunha"
"United States","Howland and Baker islands"
"United States","Jarvis Island"
"United States","Johnston Atoll"
"United States","Palmyra Atoll"
"United States","Wake Island"
