"class","isscaap","order","family","genus","species","comm_name","gentry","fao","fao_rank","fao_mt_yr","feed_group","feed_group_long","fcr","fm_perc","fo_perc","fmfo_perc","harvest_kg_m3","harvest_cm_ft","fish_juv_m3","bivalve_juv_ft","nstocked","nstocked_adj","rope_ft_req","lines_n","harvest_linf_prop","harvest_cm","harvest_g","harvest_yr","prod_mt_yr","edible_mt_yr","revenue_usd_yr","price_usd_mt_isscaap","price_usd_mt_spp","m","m_source","a","a_source","b","b_source","linf_cm","linf_source","k","k_source","sst_c_min","sst_c_q10","sst_c_q90","sst_c_max","sal_psu_min","sal_psu_q10","sal_psu_q90","sal_psu_max"
"Finfish","Miscellaneous pelagic fishes","Perciformes","Coryphaenidae","Coryphaena","Coryphaena hippurus","Common dolphinfish",TRUE,FALSE,NA,NA,"Misc marine fish","Misc marine fish",1.6,8,3,11,5,400,1.88607226392228,NA,339493.007506011,742248.106474028,NA,NA,0.52,75.2414779144517,2651.01189156029,0.586182994243074,1535.3567210904,1335.76034734865,12296874.7102611,8009.13204165863,NA,1.33444712644635,"FishLife",0.01782,"FB species-average",2.75652631578947,"FB species-average",144.695149835484,"FishLife",1.25211611781396,"FishLife",7.79,20.63,27.96,32.16,21.03,33.55,36.07,39.25
"Finfish","Cods, hakes, haddocks","Gadiformes","Gadidae","Pollachius","Pollachius pollachius","Pollack",TRUE,FALSE,NA,NA,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,23.023059726478,NA,4144150.75076605,17874504.86782,NA,NA,0.52,40.880599678732,651.520700471841,3.56104710677728,758.203954915799,659.637440776745,2749873.0009226,3626.82492368162,NA,0.410462839240767,"FishLife",0.007724,"FB species-average",3.0568,"FB species-average",78.6165378437153,"FishLife",0.206110493085961,"FishLife",6.33,9.6,12.53,19.3,6.4,33.88,35.25,38.08
"Finfish","Miscellaneous coastal fishes","Perciformes","Moronidae","Dicentrarchus","Dicentrarchus labrax","European seabass",TRUE,TRUE,6,174792.109,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,20.8791536104965,NA,3758247.64988936,8768744.69202789,NA,NA,0.52,38.65237719535,718.419926392952,4.21126501696358,641.137517853665,557.789640532689,6621724.90174539,10328.0883076581,5824.28193210075,0.201184408466873,"FishLife",0.012041875,"FB species-average",3.00891875,"FB species-average",74.3314946064423,"FishLife",0.174287101885934,"FishLife",0.64,10.19,20,29.58,3.58,31.02,37.97,39.25
"Finfish","Cods, hakes, haddocks","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",TRUE,TRUE,35,1411.182,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,9.11943927701343,NA,1641499.06986242,5385002.97355786,NA,NA,0.52,55.0423834121164,1644.83797132234,4.35618258091991,619.808731577508,539.233596472432,2247937.7556008,3626.82492368162,3626.82492368162,0.272717671817489,"FishLife",0.0066725,"FB species-average",3.09751428571429,"FB species-average",105.850737330993,"FishLife",0.168489075342018,"FishLife",-0.57,4.15,12.15,19.38,3.58,27.18,35.12,39.76
"Finfish","Miscellaneous pelagic fishes","Perciformes","Carangidae","Caranx","Caranx hippos","Crevalle jack",TRUE,FALSE,NA,NA,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,49.6425770124639,NA,8935663.8622435,72066807.6171901,NA,NA,0.52,26.4930463084254,302.159978444187,1.99550103124872,1353.04365055148,1177.14797597979,10836705.2553946,8009.13204165863,NA,1.0461248051256,"FishLife",0.02745,"FB species-average",2.84,"FB species-average",50.9481659777412,"FishLife",0.367811974830656,"FishLife",8.72,19.5,28.08,32.28,17.86,29.02,36.24,40.28
"Finfish","Miscellaneous pelagic fishes","Perciformes","Scombridae","Scomber","Scomber japonicus","Pacific chub mackerel",FALSE,TRUE,57,188.2,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,86.2339032550741,NA,15522102.5859133,52717506.4438054,NA,NA,0.52,22.8828915245348,173.945506741484,2.52920687816494,1067.52833202754,928.74964886396,8549975.36942016,8009.13204165863,13779.018641832,0.483425306189416,"FishLife",0.00757923076923077,"FB species-average",3.20761538461538,"FB species-average",44.0055606241054,"FishLife",0.290197366382591,"FishLife",3.29,11.77,27.48,31.68,24.32,31.48,34.75,36.37
"Finfish","Tunas, bonitos, billfishes","Perciformes","Scombridae","Thunnus","Thunnus albacares","Yellowfin tuna",TRUE,TRUE,73,46.4806,"Tuna","Tuna",6,8,6,14,5,400,0.299969461345771,NA,53994.5030422388,187754.874844273,NA,NA,0.52,100.687736049689,16668.3634312913,2.24939989124928,400.106714462475,348.092841582354,5703148.49798388,14254.0684568261,6952.58965412036,0.554038885587575,"FishLife",0.03632,"FB species-average",2.82666666666667,"FB species-average",193.630261634018,"FishLife",0.326295550175636,"FishLife",2.39,19.21,28.34,32.54,4.31,33.84,36.26,39.01
"Finfish","Tunas, bonitos, billfishes","Perciformes","Scombridae","Thunnus","Thunnus maccoyii","Southern bluefin tuna",TRUE,TRUE,25,8088.6,"Tuna","Tuna",6,8,6,14,5,400,0.18122114626544,NA,32619.8063277792,104778.640596903,NA,NA,0.52,115.561165982426,27590.5991273025,4.81355365400404,186.972051147982,162.665684498745,2665112.41657652,14254.0684568261,13512.2475271964,0.242425942233688,"FishLife",0.0123725,"FB species-average",3.0775,"FB species-average",222.233011504666,"FishLife",0.152479691271264,"FishLife",0.17,9.25,23.35,30.13,28.98,34.18,35.7,37.65
"Finfish","Tunas, bonitos, billfishes","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Atlantic bluefin tuna",TRUE,TRUE,26,5801.2,"Tuna","Tuna",6,8,6,14,5,400,0.0419762212655966,NA,7555.71982780739,24662.639753408,NA,NA,0.52,182.574675440603,119115.057269292,7.49069359913453,120.149087409474,104.529706046242,1712613.31695982,14254.0684568261,16945.7092775066,0.157927253703989,"FishLife",0.0290314285714286,"FB species-average",2.92428571428571,"FB species-average",351.105145078083,"FishLife",0.0979841406361893,"FishLife",2.66,11.6,27.36,31.56,3.58,33.13,36.73,39.25
"Finfish","Miscellaneous coastal fishes","Perciformes","Lutjanidae","Lutjanus","Lutjanus guttatus","Spotted rose snapper",FALSE,TRUE,44,508,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,28.3488728147968,NA,5102797.10666342,12981323.0570391,NA,NA,0.52,33.3517624211311,529.121566772514,3.44103542167159,784.647546199449,682.643365193521,8103909.14753517,10328.0883076581,4500,0.271349370297971,"FishLife",0.0226,"FB species-average",2.86875,"FB species-average",64.1380046560214,"FishLife",0.213298930449153,"FishLife",18.9,23.44,29,33.2,28.46,31.06,34.64,37.69
