"group","fcr","fm_perc","fo_perc","fifo","fifo2030","fifo2050"
"Eel","1.5","25%","2%","1.49",0.91027241918977,0.303518401632438
"Milkfish","1.5","1%","0.5%","0.09",0.0296011171129701,0.00339229964113583
"Misc freshwater fish","1.7","15%","2%","1.06",0.685554148741318,0.194300903372197
"Misc marine fish","1.5","8%","3%","0.65",0.309797824911914,0.0519344445668468
"Salmon","1.3","8%","6%","0.67",0.295982615151252,0.057433212749264
"Tilapia","1.6","1%","0%","0.06",0.0138513149476487,0.000803331287265061
"Trout","1.3","8%","4%","0.57",0.265617217489169,0.0527786739685875
