"comm_name","price_usd_mt","species"
"Acoupa weakfish",1466.00004059318,"Cynoscion acoupa"
"African pompano",3549.00003772194,"Alectis ciliaris"
"Akiami paste shrimp",3224.25386249229,"Acetes japonicus"
"Alaska pollock",307.98340183983,"Gadus chalcogrammus"
"Albacore",3103.23765635532,"Thunnus alalunga"
"American cupped oyster",9323.78598921689,"Crassostrea virginica"
"American plaice",1295.31603496827,"Hippoglossoides platessoides"
"American sea scallop",3071.68290332026,"Placopecten magellanicus"
"Anchoveta",307.689015835221,"Engraulis ringens"
"Antarctic krill",1284.5580593987,"Euphausia superba"
"Aquatic invertebrates",3451.51770820949,"Miscellaneous aquatic invertebrates"
"Araucanian herring",296.000000080626,"Strangomera bentincki"
"Arctic char",4116.99960222127,"Salvelinus alpinus"
"Arctic cisco",1475.79233819849,"Coregonus autumnalis"
"Argentine anchovy",797.000003781562,"Engraulis anchoita"
"Argentine croaker",3427.05420205087,"Umbrina canosai"
"Argentine hake",112.459181993579,"Merluccius hubbsi"
"Argentine red shrimp",2948.0000037832,"Pleoticus muelleri"
"Argentine shortfin squid",1246.883834844,"Illex argentinus"
"Atlantic bluefin tuna",7668.39965733335,"Thunnus thynnus"
"Atlantic bonito",2241.23349290466,"Sarda sarda"
"Atlantic bumper",1974.07497793577,"Chloroscombrus chrysurus"
"Atlantic chub mackerel",730.999998461204,"Scomber colias"
"Atlantic cod",2882.81367316927,"Gadus morhua"
"Atlantic croaker",1451.99999895301,"Micropogonias undulatus"
"Atlantic halibut",10223.9718520407,"Hippoglossus hippoglossus"
"Atlantic herring",429.855562960359,"Clupea harengus"
"Atlantic horse mackerel",982.610783728088,"Trachurus trachurus"
"Atlantic mackerel",1371.94562702656,"Scomber scombrus"
"Atlantic menhaden",1465.99999837668,"Brevoortia tyrannus"
"Atlantic sailfish",2022.62259622077,"Istiophorus albicans"
"Atlantic salmon",2836.0765881751,"Salmo salar"
"Atlantic seabob",647.634478031326,"Xiphopenaeus kroyeri"
"Atlantic Spanish mackerel",2153.75309065389,"Scomberomorus maculatus"
"Atlantic surf clam",1523.00000026502,"Spisula solidissima"
"Atlantic white marlin",2124,"Kajikia albida"
"Atlantic wolffish",1387.34560647404,"Anarhichas lupus"
"Australian spiny lobster",12783.9997632858,"Panulirus cygnus"
"Axillary seabream",3809.00022230284,"Pagellus acarne"
"Ballyhoo halfbeak",1295.99997185703,"Hemiramphus brasiliensis"
"Bar jack",930.000047943352,"Caranx ruber"
"Beaked redfish",1657.2790831125,"Sebastes mentella"
"Big blue octopus",1465.99195500334,"Octopus cyanea"
"Bigeye grunt",1713.68179557869,"Brachydeuterus auritus"
"Bigeye scad",3389.70914260559,"Selar crumenophthalmus"
"Bigeye tuna",3197.31858818236,"Thunnus obesus"
"Bigscale sand smelt",2641.99971329976,"Atherina boyeri"
"Black jack",3922,"Caranx lugubris"
"Black scabbardfish",2157.00002350776,"Aphanopus carbo"
"Black seabream",3007.00078604499,"Spondyliosoma cantharus"
"Blackfin tuna",2118.30162587045,"Thunnus atlanticus"
"Blackspot seabream",12056.6475600154,"Pagellus bogaraveo"
"Blackstreaked monocle bream",2996.00016727572,"Scolopsis taeniata"
"Blue and red shrimp",2656.98038503414,"Aristeus antennatus"
"Blue antimora",1751.85505492609,"Antimora rostrata"
"Blue crab",2096.68723177363,"Callinectes sapidus"
"Blue grenadier",2334.67396248058,"Macruronus novaezelandiae"
"Blue jack mackerel",1362.18739164521,"Trachurus picturatus"
"Blue marlin",1950.30472283748,"Makaira nigricans"
"Blue mussel",1501.87891166569,"Mytilus edulis"
"Blue shark",1393.17947491082,"Prionace glauca"
"Blue shrimp",2879.78790680774,"Litopenaeus stylirostris"
"Blue swimming crab",1448.97611461085,"Portunus pelagicus"
"Blue whiting",1166.27080470992,"Micromesistius poutassou"
"Bluefin trevally",6841.57020224076,"Caranx melampygus"
"Bluefish",3554.76127052725,"Pomatomus saltatrix"
"Bluespine unicornfish",3362.68030583947,"Naso unicornis"
"Bluntnose sixgill shark",1262.91690015283,"Hexanchus griseus"
"Bobo croaker",933.319845063661,"Pseudotolithus elongatus"
"Boe drum",1466.00002940657,"Pteroscion peli"
"Bogue",2164.73057378972,"Boops boops"
"Bombay duck",305.645687107335,"Harpadon nehereus"
"Bonefish",495.00048986321,"Albula vulpes"
"Bonga shad",311.543084570908,"Ethmalosa fimbriata"
"Brazilian codling",1307.99993098105,"Urophycis brasiliensis"
"Brazilian sardinella",1034.99999934205,"Sardinella brasiliensis"
"Broad whitefish",3991.5318185917,"Coregonus nasus"
"Bullet tuna",1117.49074069732,"Auxis rochei"
"Cape horse mackerel",823.183234115172,"Trachurus capensis"
"Cape rock lobster",18676,"Jasus lalandii"
"Capelin",723.009536021016,"Mallotus villosus"
"Caribbean spiny lobster",8384.15405240777,"Panulirus argus"
