"class","isscaap","order","family","genus","species","comm_name","m_source","m","m_fl","m_fb_spp","m_fb_gen","m_fb_fam","m_fb_ord"
"Actinopterygii","Tilapias and other cichlids","Perciformes","Cichlidae","Oreochromis","Oreochromis niloticus","Nile tilapia","FishLife",0.965058071820125,0.965058071820125,0.325,0.685,0.808333333333333,NA
"Actinopterygii","Tilapias and other cichlids","Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Mozambique tilapia","FishLife",0.732727893682941,0.732727893682941,0.39,0.685,0.808333333333333,NA
"Actinopterygii","Miscellaneous pelagic fishes","Perciformes","Coryphaenidae","Coryphaena","Coryphaena hippurus","Common dolphinfish","FishLife",1.33444712644635,1.33444712644635,0.976,1.01733333333333,1.01733333333333,NA
"Actinopterygii","Cods, hakes, haddocks","Gadiformes","Gadidae","Pollachius","Pollachius pollachius","Pollack","FishLife",0.410462839240767,0.410462839240767,0.55,0.333333333333333,0.490454545454545,0.418852272727273
"Actinopterygii","River eels","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla","European eel","FishLife",0.262486344360762,0.262486344360762,0.26,0.393333333333333,0.393333333333333,0.41
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Moronidae","Dicentrarchus","Dicentrarchus labrax","European seabass","FishLife",0.201184408466873,0.201184408466873,0.103333333333333,0.103333333333333,0.17,NA
"Actinopterygii","Cods, hakes, haddocks","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod","FishLife",0.272717671817489,0.272717671817489,0.278333333333333,0.36125,0.490454545454545,0.418852272727273
"Actinopterygii","Miscellaneous pelagic fishes","Perciformes","Carangidae","Caranx","Caranx hippos","Crevalle jack","FishLife",1.0461248051256,1.0461248051256,NA,0.99,1.10033333333333,NA
"Actinopterygii","Miscellaneous diadromous fishes","Gonorynchiformes","Chanidae","Chanos","Chanos chanos","Milkfish","FishLife",0.91126773729135,0.91126773729135,NA,NA,NA,NA
"Actinopterygii","Miscellaneous pelagic fishes","Perciformes","Scombridae","Scomber","Scomber japonicus","Pacific chub mackerel","FishLife",0.483425306189416,0.483425306189416,0.55,0.371666666666667,1.14527659574468,NA
"Actinopterygii","Tunas, bonitos, billfishes","Perciformes","Scombridae","Thunnus","Thunnus albacares","Yellowfin tuna","FishLife",0.554038885587575,0.554038885587575,0.525,0.3231875,1.14527659574468,NA
"Actinopterygii","Tunas, bonitos, billfishes","Perciformes","Scombridae","Thunnus","Thunnus maccoyii","Southern bluefin tuna","FishLife",0.242425942233688,0.242425942233688,0.3525,0.3231875,1.14527659574468,NA
"Actinopterygii","Tunas, bonitos, billfishes","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Atlantic bluefin tuna","FishLife",0.157927253703989,0.157927253703989,0.2032,0.3231875,1.14527659574468,NA
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Lutjanidae","Lutjanus","Lutjanus guttatus","Spotted rose snapper","FishLife",0.271349370297971,0.271349370297971,NA,0.391092857142857,0.408879245283019,NA
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Lutjanidae","Lutjanus","Lutjanus malabaricus","Malabar blood snapper","FishLife",0.240765107656646,0.240765107656646,0.216666666666667,0.391092857142857,0.408879245283019,NA
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Lutjanidae","Lutjanus","Lutjanus russellii","Russell's snapper","FishLife",0.297384405020963,0.297384405020963,NA,0.391092857142857,0.408879245283019,NA
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Lutjanidae","Lutjanus","Lutjanus sebae","Emperor red snapper","FishLife",0.190943998497963,0.190943998497963,0.13,0.391092857142857,0.408879245283019,NA
"Actinopterygii","Salmons, trouts, smelts","Salmoniformes","Salmonidae","Coregonus","Coregonus lavaretus","European whitefish","FishLife",0.64880859664556,0.64880859664556,0.41,0.724,0.758023255813953,0.758023255813953
"Actinopterygii","Salmons, trouts, smelts","Salmoniformes","Salmonidae","Salmo","Salmo salar","Atlantic salmon","FishLife",0.766889208118968,0.766889208118968,1.1,0.77,0.758023255813953,0.758023255813953
"Actinopterygii","Salmons, trouts, smelts","Salmoniformes","Salmonidae","Salmo","Salmo trutta","Sea trout","FishLife",0.63593910649133,0.63593910649133,0.6875,0.77,0.758023255813953,0.758023255813953
"Actinopterygii","Salmons, trouts, smelts","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","Rainbow trout","FishLife",1.05942721331819,1.05942721331819,1.4,1.18,0.758023255813953,0.758023255813953
"Actinopterygii","Salmons, trouts, smelts","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Pink salmon","FishLife",0.933052032549931,0.933052032549931,NA,1.18,0.758023255813953,0.758023255813953
"Actinopterygii","Salmons, trouts, smelts","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus keta","Chum salmon","FishLife",0.935910099272981,0.935910099272981,1.2,1.18,0.758023255813953,0.758023255813953
