"class","isscaap","order","family","genus","species","comm_name","gentry","fao","fao_rank","fao_mt_yr","price_usd_mt","linf_cm_fl","k_fl","linf_cm_fb_spp","k_fb_spp","linf_cm_fb_gen","k_fb_gen","linf_cm_fb_fam","k_fb_fam","linf_cm_gentry","k_gentry","temp_c_min","temp_c_max","a_spp","b_spp","a_gen","b_gen","a_fam","b_fam"
"Actinopterygii","Tilapias and other cichlids","Perciformes","Cichlidae","Oreochromis","Oreochromis niloticus","Nile tilapia",FALSE,TRUE,3,832339.4266,1218.3557716863,24.9786523433566,2.02804915838044,29.7754854368932,4.38314563106796,28.0788703529412,3.3407137254902,28.7895760574413,2.48355352480418,NA,NA,NA,NA,0.0262105555555556,2.97272611111111,0.0218481818181818,3.01268340909091,0.0212994146341463,3.01658180487805
"Actinopterygii","Tilapias and other cichlids","Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Mozambique tilapia",FALSE,TRUE,18,33788.192,1055.73652500733,25.3843128092439,1.20687212913515,27.4303346666667,3.93966666666667,28.0788703529412,3.3407137254902,28.7895760574413,2.48355352480418,NA,NA,NA,NA,0.0186633333333333,2.99533333333333,0.0218481818181818,3.01268340909091,0.0212994146341463,3.01658180487805
"Actinopterygii","Miscellaneous pelagic fishes","Perciformes","Coryphaenidae","Coryphaena","Coryphaena hippurus","Common dolphinfish",TRUE,FALSE,NA,NA,NA,144.695149835484,1.25211611781396,169.622222222222,1.42844444444444,159,1.3356,159,1.3356,157.9,1.67,21,30,0.01782,2.75652631578947,0.0176418181818182,2.76127272727273,0.0160162962962963,2.81762962962963
"Actinopterygii","Cods, hakes, haddocks","Gadiformes","Gadidae","Pollachius","Pollachius pollachius","Pollack",TRUE,FALSE,NA,NA,NA,78.6165378437153,0.206110493085961,85.6,0.186,115.869230769231,0.152230769230769,66.92321371875,0.272625,130,0.19,6.5,12.3,0.007724,3.0568,0.00827380952380952,3.0463380952381,0.0100668062827225,3.09233036649215
"Actinopterygii","River eels","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla","European eel",TRUE,TRUE,47,488.9882,12288.2586435234,73.1566024108071,0.146120183439912,80.521875,0.1467,85.7074285714286,0.151868571428571,85.7074285714286,0.151868571428571,152.8,0.24,4,33,0.00148104166666667,3.13089791666667,0.00149794520547945,3.14588904109589,0.00280928571428571,3.09074047619048
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Moronidae","Dicentrarchus","Dicentrarchus labrax","European seabass",TRUE,TRUE,6,174792.109,5824.28193210075,74.3314946064423,0.174287101885934,78.1425,0.171690625,77.7517647058824,0.168120588235294,72.126,0.234601666666667,77,0.2,8,24,0.012041875,3.00891875,0.0111083333333333,3.04281666666667,0.0102647826086957,3.0584652173913
"Actinopterygii","Cods, hakes, haddocks","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",TRUE,TRUE,35,1411.182,3626.82492368162,105.850737330993,0.168489075342018,111.81875,0.173625,109.101075268817,0.171204301075269,66.92321371875,0.272625,115,0.19,0,15,0.0066725,3.09751428571429,0.00517214285714286,3.0271880952381,0.0100668062827225,3.09233036649215
"Actinopterygii","Miscellaneous pelagic fishes","Perciformes","Carangidae","Caranx","Caranx hippos","Crevalle jack",TRUE,FALSE,NA,NA,NA,50.9481659777412,0.367811974830656,76.2,0.5,82.700324,0.300266666666667,43.6620276351351,0.643,80,0.65,9.6,27.8,0.02745,2.84,0.0166595238095238,2.94372071428571,0.0215239896373057,2.89683816062176
"Actinopterygii","Miscellaneous diadromous fishes","Gonorynchiformes","Chanidae","Chanos","Chanos chanos","Milkfish",TRUE,TRUE,2,1130804.067504,1545.15814022677,50.4815357784325,0.55212572544102,43.3333333333333,1.34666666666667,43.3333333333333,1.34666666666667,43.3333333333333,1.34666666666667,180,1.03,15,42.5,0.00795,2.99,0.00795,2.99,0.006352,3.128822
"Actinopterygii","Miscellaneous pelagic fishes","Perciformes","Scombridae","Scomber","Scomber japonicus","Pacific chub mackerel",FALSE,TRUE,57,188.2,13779.018641832,44.0055606241054,0.290197366382591,43.1756,0.31588,44.5502615384615,0.325849230769231,97.967334281768,0.600909392265193,NA,NA,NA,NA,0.00757923076923077,3.20761538461538,0.0059716,3.21404,0.0120863313609467,3.08036112426036
"Actinopterygii","Tunas, bonitos, billfishes","Perciformes","Scombridae","Thunnus","Thunnus albacares","Yellowfin tuna",TRUE,TRUE,73,46.4806,6952.58965412036,193.630261634018,0.326295550175636,183.359712272727,0.376227272727273,210.166765783133,0.214192771084337,97.967334281768,0.600909392265193,180.6,0.38,15,31,0.03632,2.82666666666667,0.0310116666666667,2.88233333333333,0.0120863313609467,3.08036112426036
"Actinopterygii","Tunas, bonitos, billfishes","Perciformes","Scombridae","Thunnus","Thunnus maccoyii","Southern bluefin tuna",TRUE,TRUE,25,8088.6,13512.2475271964,222.233011504666,0.152479691271264,220.666666666667,0.144,210.166765783133,0.214192771084337,97.967334281768,0.600909392265193,212.7,0.14,5,30,0.0123725,3.0775,0.0310116666666667,2.88233333333333,0.0120863313609467,3.08036112426036
"Actinopterygii","Tunas, bonitos, billfishes","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Atlantic bluefin tuna",TRUE,TRUE,26,5801.2,16945.7092775066,351.105145078083,0.0979841406361893,357.0315005,0.09425,210.166765783133,0.214192771084337,97.967334281768,0.600909392265193,298,0.12,2.8,31,0.0290314285714286,2.92428571428571,0.0310116666666667,2.88233333333333,0.0120863313609467,3.08036112426036
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Lutjanidae","Lutjanus","Lutjanus guttatus","Spotted rose snapper",FALSE,TRUE,44,508,4500,64.1380046560214,0.213298930449153,79.5,0.4,67.8735425,0.236256944444444,70.7403336040609,0.241532994923858,NA,NA,NA,NA,0.0226,2.86875,0.0181038405797101,2.98771391304348,0.0180305797101449,2.95739787439614
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Lutjanidae","Lutjanus","Lutjanus malabaricus","Malabar blood snapper",FALSE,TRUE,105,0.275,6619.09090909091,81.8061485513582,0.195345512240219,86.5666666666667,0.200866666666667,67.8735425,0.236256944444444,70.7403336040609,0.241532994923858,NA,NA,NA,NA,0.01658,2.97575,0.0181038405797101,2.98771391304348,0.0180305797101449,2.95739787439614
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Lutjanidae","Lutjanus","Lutjanus russellii","Russell's snapper",TRUE,TRUE,85,13,11218.9512820513,58.4386194352198,0.232519046156179,NA,NA,67.8735425,0.236256944444444,70.7403336040609,0.241532994923858,45,0.56,23.3,26.4,0.0131166666666667,3.03963,0.0181038405797101,2.98771391304348,0.0180305797101449,2.95739787439614
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Lutjanidae","Lutjanus","Lutjanus sebae","Emperor red snapper",FALSE,TRUE,97,2.15,9733.33333333333,85.1488468737973,0.185438932508712,91.6080008333333,0.18,67.8735425,0.236256944444444,70.7403336040609,0.241532994923858,NA,NA,NA,NA,0.0129033333333333,3.08511666666667,0.0181038405797101,2.98771391304348,0.0180305797101449,2.95739787439614
"Actinopterygii","Salmons, trouts, smelts","Salmoniformes","Salmonidae","Coregonus","Coregonus lavaretus","European whitefish",TRUE,TRUE,43,634.76,9764.13596829521,37.9496633462298,0.301528505409543,35.9368421052632,0.427263157894737,46.8997854545455,0.297760330578512,57.9463431983806,0.268386639676113,59.7,0.38,4,29.8,0.00927333333333333,3.04486666666667,0.00710529411764706,3.18056764705882,0.0123884242424242,3.07874593939394
"Actinopterygii","Salmons, trouts, smelts","Salmoniformes","Salmonidae","Salmo","Salmo salar","Atlantic salmon",TRUE,TRUE,1,2276398.7768,6193.03124831272,135.859014125423,0.284987921996603,136.5,0.26175,67.552380952381,0.280833333333333,57.9463431983806,0.268386639676113,128.6,0.37,2,28,0.01072,2.99163,0.00808296296296296,3.10327851851852,0.0123884242424242,3.07874593939394
"Actinopterygii","Salmons, trouts, smelts","Salmoniformes","Salmonidae","Salmo","Salmo trutta","Sea trout",TRUE,TRUE,61,173.84,8248.10680170363,53.0298790916034,0.248394680277764,61.7138888888889,0.2805,67.552380952381,0.280833333333333,57.9463431983806,0.268386639676113,69.2,0.29,0,24,0.00706272727272727,3.12394954545455,0.00808296296296296,3.10327851851852,0.0123884242424242,3.07874593939394
"Actinopterygii","Salmons, trouts, smelts","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","Rainbow trout",TRUE,TRUE,4,211490.4438,6411.4021118431,57.4613263365179,0.471425397690998,58.8,0.5814,78.45,0.460166666666667,57.9463431983806,0.268386639676113,89.5,0.54,0,29,0.01265,3.033,0.0119797727272727,3.03075,0.0123884242424242,3.07874593939394
"Actinopterygii","Salmons, trouts, smelts","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Pink salmon",TRUE,FALSE,NA,NA,NA,74.069836447468,0.376485057236393,NA,NA,78.45,0.460166666666667,57.9463431983806,0.268386639676113,76,0.54,0.3,21,0.02198,3.2,0.0119797727272727,3.03075,0.0123884242424242,3.07874593939394
