"class","isscaap","order","family","genus","species","comm_name","fao","gentry","feed_group","feed_group_long","fcr","fm_perc","fo_perc","fmfo_perc","harvest_kg_m3","harvest_cm_ft","fish_juv_m3","bivalve_juv_ft","nstocked","harvest_linf_prop","harvest_cm","harvest_g","harvest_yr","prod_mt_yr","edible_mt_yr","revenue_usd_yr","price_usd_mt_isscaap","price_usd_mt_spp","a","a_source","b","b_source","linf_cm","linf_source","k","k_source","sst_c_min_froehlich","sst_c_max_froehlich","sst_c_min","sst_c_q10","sst_c_q90","sst_c_max","sal_psu_min","sal_psu_q10","sal_psu_q90","sal_psu_max"
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Serranidae","Cromileptes","Cromileptes altivelis","Humpback grouper",TRUE,TRUE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,38.8042021325103,NA,8381707.66062223,0.52,27.2420744799969,386.556073199942,3.11896497277338,1038.80615149038,903.761351796628,10728881.6671311,10328.0883076581,63273.7308991913,0.0180663323782235,"FB family-average",3.0171553008596,"FB family-average",52.3886047692249,"FishLife",0.23532459693754,"FishLife",26.5,29,21.45,25.18,29.21,33.41,22.8,31.82,35.24,37.35
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Serranidae","Epinephelus","Epinephelus coioides","Orange-spotted grouper",TRUE,TRUE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,7.42635633730917,NA,1604092.96885878,0.52,48.1121618906081,2019.83305388158,4.79727453845241,675.383485775075,587.583632624315,6975420.28261894,10328.0883076581,10766.0712264901,0.01298,"FB species-average",3.086358,"FB species-average",92.5233882511695,"FishLife",0.152997117258371,"FishLife",17,35,18.4,24.17,29.11,33.31,21.09,31.13,35.45,38.83
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Serranidae","Epinephelus","Epinephelus lanceolatus","Giant grouper",TRUE,TRUE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,17.5221368518486,NA,3784781.55999931,0.52,36.7129567490241,856.059972983115,3.85564525238468,840.326271717059,731.083856393841,8678963.9415389,10328.0883076581,18582.7367169101,0.0173,"FB species-average",3,"FB species-average",70.6018399019694,"FishLife",0.190362216188392,"FishLife",26.3,26.3,16,23.34,29.12,33.32,28.14,32.09,35.61,39
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Sparidae","Acanthopagrus","Acanthopagrus schlegelii","Blackhead seabream",TRUE,TRUE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,73.7892298520506,NA,15938473.6480429,0.52,21.5859225262236,203.281698834307,3.33817557115531,970.59005164269,844.41334492914,10024339.7639002,10328.0883076581,10344.8615260204,0.01728,"FB species-average",3.051,"FB species-average",41.511389473507,"FishLife",0.219871351711492,"FishLife",10.4,26.3,11.95,13.45,26.49,27,32.4,33.5,34.43,34.5
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Oplegnathidae","Oplegnathus","Oplegnathus fasciatus","Striped beakfish",TRUE,FALSE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,80.1803944930478,NA,17318965.2104983,0.52,20.0673807871516,187.078151645919,2.08493227066948,1554.007315048,1351.98636409176,16049924.7805624,10328.0883076581,18087.0896358543,0.02315,"FB species-average",3,"FB species-average",38.5911168983685,"FishLife",0.352035020708141,"FishLife",NA,NA,11.62,16.62,24.51,29.7,30.98,32.96,34.76,35.42
"Actinopterygii","Miscellaneous demersal fishes","Scorpaeniformes","Sebastidae","Sebastes","Sebastes schlegelii","Korean rockfish",TRUE,TRUE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,108.088530694181,NA,23347122.6299432,0.52,19.7646191476794,138.775130938175,5.71834268129581,566.597733045582,492.940027749656,4310409.7505214,7607.5308797161,7607.5308797161,0.0161571428571429,"FB species-average",3.03571428571429,"FB species-average",38.0088829763065,"FishLife",0.128353478619067,"FishLife",15,24,2.9,11.96,21.42,23.54,32.83,33.33,34.33,34.83
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Serranidae","Hyporthodus","Hyporthodus septemfasciatus","Convict grouper",TRUE,FALSE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,8.18301972258934,NA,1767532.2600793,0.52,51.8878391050106,1833.06413873014,5.77884065527345,560.666090878169,487.779499064007,5790608.89769921,10328.0883076581,25551.0330847466,0.00332,"FB species-average",3.348,"FB species-average",99.7843059711743,"FishLife",0.12700976179546,"FishLife",NA,NA,13.27,17.67,23.04,24.6,30.98,32.96,34.22,34.96
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Sciaenidae","Micropogonias","Micropogonias furnieri","Whitemouth croaker",TRUE,FALSE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,42.2440994097089,NA,9124725.47249711,0.52,32.1913546915208,355.079175780762,4.16005302990539,778.836225574193,677.587516249548,8043889.31493341,10328.0883076581,623.087028140014,0.0103946153846154,"FB species-average",3.00683076923077,"FB species-average",61.9064513298477,"FishLife",0.176432648767675,"FishLife",NA,NA,14.22,17.64,28.23,32.43,6.21,27.03,36.77,37.27
"Actinopterygii","Miscellaneous coastal fishes","Tetraodontiformes","Tetraodontidae","Takifugu","Takifugu rubripes","Tiger pufferfish",TRUE,TRUE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,30.9689553170771,NA,6689294.34848864,0.52,29.5035658700586,484.356021907159,1.87123923294738,1731.47288863578,1506.38141311313,17882804.8961462,10328.0883076581,5123.1445204289,0.02916,"FB genus-average",2.87125,"FB genus-average",56.7376266731896,"FishLife",0.392236953007943,"FishLife",10,29,10.37,14.5,24.59,28.05,30.7,32.27,34.52,35.5
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Latidae","Psammoperca","Psammoperca waigiensis","Waigieu seaperch",TRUE,FALSE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,36.7166286496941,NA,7930791.78833393,0.52,30.9555300198804,408.534240523877,2.47952423468528,1306.70229178512,1136.83099385305,13495736.6613759,10328.0883076581,3114.12224669604,0.0140042424242424,"FB family-average",2.99513939393939,"FB family-average",59.5298654228469,"FishLife",0.296012099745966,"FishLife",NA,NA,17.99,24.16,28.85,33.05,30.21,33.2,35.36,36.67
"Actinopterygii","Flounders, halibuts, soles","Pleuronectiformes","Soleidae","Solea","Solea senegalensis","Senegalese sole",TRUE,TRUE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,75.576191306771,NA,16324457.3222625,0.52,27.0518222315076,198.475204169969,3.6116214833164,897.103978079355,780.480460929038,10050162.9651374,11202.8964431238,11823.3360439392,0.00774333333333333,"FB species-average",3.07833333333333,"FB species-average",52.0227350605915,"FishLife",0.20322427986175,"FishLife",15,21,12.78,15.84,26.05,30.25,29.54,34.63,36.59,38
"Actinopterygii","Miscellaneous coastal fishes","Perciformes","Sciaenidae","Argyrosomus","Argyrosomus japonicus","Japanese meagre",TRUE,TRUE,"Misc marine fish","Misc marine fish",1.6,8,3,11,5,400,1.04082899361284,NA,224819.062620373,0.52,76.7633057969008,4803.86310400946,7.18070173315334,150.403127735223,130.850721129644,1553376.78499737,10328.0883076581,4762.41778089061,0.0301,"FB species-average",2.76,"FB species-average",147.621741917117,"FishLife",0.102214129253059,"FishLife",12,28,9.45,15.85,25.84,30.04,28.14,32.96,35.7,37.68
"Actinopterygii","Miscellaneous coastal fishes","Mugiliformes","Mugilidae","Planiliza","Planiliza haematocheila","So-iuy mullet",TRUE,FALSE,"Misc marine fish","Misc marine fish",1.6,8,3,11,15,400,21.452744079832,NA,4633792.7212437,0.52,42.952,699.211249814038,3.99983201678583,810.034018029483,704.72959568565,8366102.87041564,10328.0883076581,2600,0.009066,"FB species-average",2.9928,"FB species-average",82.6,"FB species-average",0.1835,"FB species-average",NA,NA,7.75,10.01,25.58,29.78,24.32,30.98,33.86,34.76
"Actinopterygii","Tunas, bonitos, billfishes","Perciformes","Scombridae","Thunnus","Thunnus orientalis","Pacific bluefin tuna",TRUE,TRUE,"Tuna","Tuna",6,8,6,14,5,400,0.31962982211543,NA,69040.0415769329,0.52,95.1776718194078,15643.096025609,4.12799285111517,261.628360065653,227.616673257118,3729268.55462296,14254.0684568261,19605.7273684809,0.0310116666666667,"FB genus-average",2.88233333333333,"FB genus-average",183.033984268092,"FishLife",0.177802918162012,"FishLife",13.6,29,4.1,15.97,28.48,32.68,28.88,33.38,35.65,37.16
"Bivalvia","Clams, cockles, arkshells","Arcoida","Arcidae","Anadara","Anadara broughtonii","Inflated ark",TRUE,TRUE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,54.6216766123636,71681990.3049391,0.67,7.3231,107.134319412082,4.18718770473652,1834.07140710124,311.79213920721,11702020.9099115,6380.35185795006,4546.63578390473,0.397875,"FB species-average",2.81045,"FB species-average",10.93,"FB species-average",0.264775,"FB species-average",22,25,2.68,14.41,28.55,32.75,32.27,33.06,34.28,34.78
"Bivalvia","Clams, cockles, arkshells","Arcoida","Arcidae","Anadara","Anadara tuberculosa","Black ark",TRUE,TRUE,"Non-fed","Non-fed mariculture species",0,0,0,0,NA,400,NA,80.2727131641898,105344767.932008,0.67,4.98301333333333,32.6974782450523,1.55383689491466,2216.77594923892,376.851911370616,14143810.5463855,6380.35185795006,1500,0.357371666666667,"FB genus-average",2.81206666666667,"FB genus-average",7.43733333333333,"FB species-average",0.7135,"FB species-average",22,31,22.39,24.74,29,33.2,26.7,30.2,33.71,36.72
