"eez_code","eez_name","eez_type","ter1_code","ter1_name","ter1_iso","ter2_code","ter2_name","ter2_iso","ter3_code","ter3_name","ter3_iso","sov1_code","sov1_name","sov1_iso","sov2_code","sov2_name","sov2_iso","sov3_code","sov3_name","sov3_iso","long_dd","lat_dd","area_sqkm","income_usd_yr","diesel_usd_l","gas_usd_l"
8405,"Turks and Caicos Exclusive Economic Zone","200NM",2211,"Turks and Caicos Islands","TCA",0,NA,NA,0,NA,NA,2208,"United Kingdom","GBR",0,NA,NA,0,NA,NA,-70.8536145125,22.8098697097,91250,34170.5625138448,1.49,1.46
33180,"Virgin Islander Exclusive Economic Zone","200NM",8642,"United States Virgin Islands","VIR",0,NA,NA,0,NA,NA,2204,"United States","USA",0,NA,NA,0,NA,NA,-64.9243537727,17.2549629495,38401,51484.941242542,0.65,0.71
5688,"Portuguese Exclusive Economic Zone","200NM",2243,"Portugal","PRT",0,NA,NA,0,NA,NA,2243,"Portugal","PRT",0,NA,NA,0,NA,NA,-10.922837746,38.3192142122,315287,17188.4207952837,1.3,1.54
8428,"El Salvador Exclusive Economic Zone","200NM",2135,"El Salvador","SLV",0,NA,NA,0,NA,NA,2135,"El Salvador","SLV",0,NA,NA,0,NA,NA,-89.744108452,11.8485870936,95471,3240.71643233309,0.7,0.83
8457,"Belizean Exclusive Economic Zone","200NM",8681,"Belize","BLZ",0,NA,NA,0,NA,NA,8681,"Belize","BLZ",0,NA,NA,0,NA,NA,-87.5931957881,17.1877404836,34426,3793.10602524157,1,1.13
8406,"Cuban Exclusive Economic Zone","200NM",8637,"Cuba","CUB",0,NA,NA,0,NA,NA,8637,"Cuba","CUB",0,NA,NA,0,NA,NA,-81.5304954834,21.600037556,353196,10359.2557180985,0.857541062801932,0.974311698113208
8408,"Haitian Exclusive Economic Zone","200NM",8639,"Haiti","HTI",0,NA,NA,0,NA,NA,8639,"Haiti","HTI",0,NA,NA,0,NA,NA,-73.5485596268,17.9121851763,103818,718.183759968236,0.62,0.81
33178,"Martinican Exclusive Economic Zone","200NM",8655,"Martinique","MTQ",0,NA,NA,0,NA,NA,17,"France","FRA",0,NA,NA,0,NA,NA,-60.2005459721,14.9751154515,47958,32671.7550857999,1.2,1.39
48964,"Joint regime area Senegal / Guinea Bissau","Joint regime",2225,"Senegal","SEN",8685,"Guinea-Bissau","GNB",0,NA,NA,2225,"Senegal","SEN",8685,"Guinea-Bissau","GNB",0,NA,NA,-18.7744292536,11.2609962226,63712,1159.19918502088,0.97,1.14
48965,"Overlapping claim: Venezuela / Aruba / Dominican Republic","Overlapping claim",2201,"Venezuela","VEN",8652,"Aruba","ABW",8640,"Dominican Republic","DOM",2201,"Venezuela","VEN",15,"Netherlands","NLD",8640,"Dominican Republic","DOM",-69.6532561891,15.3038067108,1117,10359.2557180985,0.857541062801932,8e-05
48966,"Joint regime area Spain / France","Joint regime",17,"France","FRA",2185,"Spain","ESP",0,NA,NA,17,"France","FRA",2185,"Spain","ESP",0,NA,NA,-5.33333333308,45.2541666666,2853,32671.7550857999,1.2,1.39
48967,"Joint regime area United Kingdom / Denmark (Faeroe Islands)","Joint regime",2208,"United Kingdom","GBR",3297,"Faeroe","FRO",0,NA,NA,2208,"United Kingdom","GBR",2157,"Denmark","DNK",0,NA,NA,-7.51857730472,60.0360850807,7969,34170.5625138448,1.49,1.46
48943,"Overlapping claim: Canada / USA","Overlapping claim",2169,"Canada","CAN",2204,"United States","USA",0,NA,NA,2169,"Canada","CAN",2204,"United States","USA",0,NA,NA,-139.85200245,72.0339533024,24583,36802.0730904932,0.73,0.81
48968,"Joint regime area Costa Rica / Ecuador (Galapagos)","Joint regime",2162,"Costa Rica","CRI",5660,"Galapagos","ECU",0,NA,NA,2162,"Costa Rica","CRI",2166,"Ecuador","ECU",0,NA,NA,-88.8413167805,3.22640804155,17414,10326.7805340654,0.79,0.98
8425,"Nicaraguan Exclusive Economic Zone","200NM",2255,"Nicaragua","NIC",0,NA,NA,0,NA,NA,2255,"Nicaragua","NIC",0,NA,NA,0,NA,NA,-83.4956185855,12.8197529263,214630,1832.37348398717,0.75,0.91
8460,"Guyanese Exclusive Economic Zone","200NM",2124,"Guyana","GUY",0,NA,NA,0,NA,NA,2124,"Guyana","GUY",0,NA,NA,0,NA,NA,-57.640944848,8.61337731731,135625,3883.44742089625,0.78,0.9
48969,"Joint regime area Guyana / Barbados","Joint regime",8649,"Barbados","BRB",2124,"Guyana","GUY",0,NA,NA,8649,"Barbados","BRB",2124,"Guyana","GUY",0,NA,NA,-57.1321395522,10.6807938148,67,13871.6335197304,0.857541062801932,0.974311698113208
48970,"Joint regime area Colombia / Dominican Republic","Joint regime",8640,"Dominican Republic","DOM",2175,"Colombia","COL",0,NA,NA,8640,"Dominican Republic","DOM",2175,"Colombia","COL",0,NA,NA,-72.5038611031,15.0185096768,13158,6457.61791630121,0.91,1.07
48971,"Overlapping claim: Venezuela / Colombia / Dominican Republic","Overlapping claim",2175,"Colombia","COL",8640,"Dominican Republic","DOM",2201,"Venezuela","VEN",2175,"Colombia","COL",8640,"Dominican Republic","DOM",2201,"Venezuela","VEN",-71.090150618,15.0533432533,874,5226.94263923089,0.64,0.68
5681,"Irish Exclusive Economic Zone","200NM",2114,"Ireland","IRL",0,NA,NA,0,NA,NA,2114,"Ireland","IRL",0,NA,NA,0,NA,NA,-11.7463132477,52.652694236,425346,37988.283506594,1.29,1.37
21788,"Guernsey Exclusive Economic Zone","200NM",4377,"Guernsey","GGY",0,NA,NA,0,NA,NA,2208,"United Kingdom","GBR",0,NA,NA,0,NA,NA,-2.65844594606,49.6396764324,6509,34170.5625138448,1.49,1.46
