"","ID","LABEL","sumareafish","fishphiavg"
"172",172,"Bosnia and Herzegovina",15.71922,3.23137598923508
"173",173,"Deleted",NA,NA
"174",174,"Disputed",0,NA
"175",175,"Arctic",0,NA
"176",176,"Atlantic",0,NA
"177",177,"Atlantic",0,NA
"178",178,"Atlantic",0,NA
"179",179,"Indian",0,NA
"180",180,"Pacific",0,NA
"181",181,"Pacific",0,NA
"182",182,"Pacific",0,NA
"183",183,"Atlantic",0,NA
"184",184,"Indian",0,NA
"185",185,"Pacific",0,NA
"186",186,"Unclaimed",0,NA
