"","ID","LABEL","sumareafish","fishphiavg"
"122",122,"Brazil",3658248.48818,3.43656081126698
"123",123,"Argentina",1078377.79005,3.27441829099432
"124",124,"Uruguay",131420.53881,3.27139968312761
"125",125,"Finland",75007.75139,3.48731962099221
"126",126,"Denmark",1526896.04089,3.07259306093055
"127",127,"Germany",55949.94372,3.29000632349318
"128",128,"Netherlands",64031.36938,3.27010380446597
"129",129,"Poland",30538.9513,3.30821405516001
"130",130,"France",333060.57994,3.23968567982474
"131",131,"United Kingdom",784576.83535,3.24635466274384
"132",132,"Ireland",409265.61192,3.21495336698091
"133",133,"Spain",1005657.18517,3.2779106175474
"134",134,"Portugal",1723942.57662,3.27671044748081
"135",135,"Italy",536528.41704,3.35101908463016
"136",136,"Monaco",281.19938,3.30471056304955
"137",137,"Serbia and Montenegro",7491.08162,3.3489850971925
"138",138,"Croatia",55279.257,3.28636473476668
"139",139,"Slovenia",1.74658,3.26440222997649
"140",140,"Lithuania",5761.09413,3.31065546638021
"141",141,"Qatar",31910.0166,3.51054958078646
"142",142,"Iran",164812.52854,3.49537156717965
"143",143,"Iraq",565.89192,3.55107594797918
"144",144,"Guinea-Bissau",105919.59752,3.47452608735578
"145",145,"Guinea",109973.4097,3.44055001200269
"146",146,"Ivory Coast",175371.47793,3.4113613372843
"147",147,"Nigeria",182308.89369,3.40777993033684
"148",148,"Cameroon",14834.57723,3.41683717409725
"149",149,"Gabon",193604.89984,3.41885539491005
"150",150,"Democratic Republic of the Congo",835.73853,3.42670499332865
"151",151,"Angola",505133.64154,3.42993147382656
"152",152,"Tanzania",242971.98354,3.39405628898969
"153",153,"India",2298617.17415,3.42452994577525
"154",154,"Bangladesh",77483.52854,3.40550678664741
"155",155,"Myanmar",518115.97068,3.40324035494694
"156",156,"Malaysia",474236.64134,3.43025229577795
"157",157,"Vietnam",647107.89,3.40694834569079
"158",158,"Singapore",595.58378,3.45016392058863
"159",159,"China",874222.67372,3.39981245135384
"160",160,"Japan",4039897.17713999,3.42305329193244
"161",161,"Kiribati",3460029.99726999,3.43015780385201
"162",162,"Antarctica",910231.040289999,2.00743979803732
"163",163,"Egypt",255090.62887,3.4956227017348
"164",164,"Jordan",0,NA
"165",165,"Indonesia",5963073.88093999,3.42379593461929
"166",166,"Canada",2132017.02098,3.13718215617333
"167",167,"Saint Pierre and Miquelon",12312.51571,3.30022179966619
"168",168,"Sweden",154250.08599,3.40985375799617
"169",169,"Norway",2345152.17838,3.20994599689207
"170",170,"Chile",3589115.35862,3.27704858830073
"171",171,"East Timor",42193.00635,3.42617888458475
"172",172,"Bosnia and Herzegovina",15.71922,3.32642531316585
"173",173,"Deleted",NA,NA
"174",174,"Disputed",0,NA
"175",175,"Arctic",0,NA
"176",176,"Atlantic",0,NA
"177",177,"Atlantic",0,NA
"178",178,"Atlantic",0,NA
"179",179,"Indian",0,NA
"180",180,"Pacific",0,NA
"181",181,"Pacific",0,NA
"182",182,"Pacific",0,NA
"183",183,"Atlantic",0,NA
"184",184,"Indian",0,NA
"185",185,"Pacific",0,NA
"186",186,"Unclaimed",0,NA
