species,afdw_percent,afdw_scalar
Argopecten purpuratus,5,20
Crassostrea gigas,1.7,58.82352941
Crassostrea virginica,1.7,58.82352941
Mytilus edulis,4.6,21.73913043
Mytilus galloprovincialis,7.2,13.88888889
Perna canaliculus,5.9,16.94915254
"Crassostrea gigas, Mytilus edulis",3.15,31.74603175
"Crassostrea gigas, Mytilus galloprovincialis",4.45,22.47191011
various,6.3,15.87301587
