type,species,comm_name,temp_c_min,temp_c_max,linf_cm,k,references
fish,Acanthopagrus berda,Goldsilk seabream,14.6,25.7,56,0.29,
fish,Acanthopagrus latus,Yellowfin seabream,4.9,38.2,35.2,0.17,
fish,Acanthopagrus schlegeli schlegelii,Blackhead seabream,10.4,26.3,50,0.22,
fish,Acipenser gueldenstaedtii,Danube (diamond) sturgeon,10,20,236,0.04,www.orchardfisheries.co.uk/
fish,Acipenser nudiventris,Fringebarbel sturgeon,10,20,200,0.07,
fish,Acipenser stellatus,Starry sturgeon,10,20,218.7,0.08,www.sturgeon-web.co.uk/
fish,Acipenser transmontanus,White sturgeon,10,23.3,610,0.04,"Crocker & Cech 64, Conte65"
fish,Anarhichas lupus,Atlantic wolffish,0,13,152,0.09,O'Dea et al.66
fish,Anarhichas minor,Spotted wolffish,4,12,190,0.1,Imsland et al.67 ; Foss et al.68
fish,Anguilla anguilla,European eel,4,33,152.8,0.24,Sadler 69
fish,Anguilla rostrata,American eel,4,25,120,0.33,
fish,Anoplopoma fimbria,Sablefish ,1.8,14.6,120,0.25,
fish,Argyrosomus japonicus,Japanese meagre,12,28,200,0.14,
fish,Argyrosomus regius,Meagre,11.9,23,185.5,0.14,
fish,Atherina boyeri,Big-scale sand smelt,6,25,10.9,0.62,
fish,Bolbometopon muricatum,Green humphead parrotfish,26.3,29,125,0.12,
fish,Carangoides malabaricus,Malabar trevally,19.9,28.4,37.3,0.82,
fish,Caranx hippos,Crevalle jack,9.6,27.8,80,0.65,
fish,Caranx sexfasciatus,Bigeye trevally,21,30,74.1,0.24,Gilbey70
fish,Centropomus undecimalis,Common snook,25,31,140,0.4,
fish,Chaetodipterus faber,Atlantic spadefish,2.5,28,50.4,0.34,
fish,Chanos chanos,Milkfish,15,42.5,180,1.03,https://www.spc.int/aquaculture/ ; http://www.fao.org/fishery/culturedspecies/search
fish,Chelon macrolepis,Largescale mullet,20,28.9,23,0.1,http://www.fao.org/fishery/culturedspecies/search
fish,Coregonus lavaretus,European whitefish,4,29.8,59.7,0.38,Vielma et al. 71
fish,Coryphaena hippurus,Common dolphinfish,21,30,157.9,1.67,
fish,Cromileptes altivelis,Humpback grouper,26.5,29,65.4,0.35,
fish,Dentex dentex,Common dentex,9.7,17.6,100,0.09,
fish,Dentex tumifrons,Yellowback seabream,10.4,26.3,35,0.25,
fish,Dicentrarchus labrax,European seabass,8,24,77,0.2,
fish,Dicentrarchus punctatus,Spotted seabass,10.5,23.5,70,0.11,
fish,Diplodus puntazzo,Sharpsnout seabream,24.3,24.3,60,0.47,Garc’a et al72
fish,Diplodus sargus sargus,White seabream,14.7,18,42.3,0.16,
fish,Diplodus vulgaris,Common two-banded seabream,14.7,19.7,40.8,0.26,
fish,Dormitator latifrons,Pacific fat sleeper,24.6,33,41,0.57,
fish,Eleutheronema tetradactylum,Fourfinger threadfin,27.6,27.7,128.7,0.37,
fish,Epinephelus akaara,Hong Kong (redspotted) grouper,19,30.2,54.5,0.36,
fish,Epinephelus areolatus,Areolate grouper,18.5,28.6,40.6,0.31,http://library.enaca.org/Grouper/Research/Breeding/2000/0803.htm
fish,Epinephelus coioides,Orange-spotted grouper,17,35,108,0.15,Lin et al. 73
fish,Epinephelus fuscoguttatus,Brown-marbled grouper,10,36.5,113.3,0.18,Cheng et al. 74
fish,Epinephelus lanceolatus,Giant grouper,26.3,26.3,270,0.36,Hseu et al.75
fish,Epinephelus malabaricus,Malabar grouper,19,30.2,163.6,0.8,
fish,Epinephelus tauvina,Greasy grouper,17,29.2,115.4,0.13,http://library.enaca.org/Grouper/Research/Breeding/2000/0803.htm
fish,Evynnis japonica,Crimson seabream,10.4,26.3,,0.22,
fish,Gadus morhua,Atlantic cod,0,15,115,0.19,Schurmann and Steffensen 76;
fish,Gnathanodon speciosus,Golden trevally,23,29.3,108.2,0.39,saltwater.aqua-fish.net/?gold-trevally
fish,Hippoglossus hippoglossus,Atlantic halibut,0.9,18,470,0.08,Stuart et al.77
