"","ID","CountryYieldCumSum","CountryAreaCumSum","MaxPhi","averagePhi","averageWeightedPhi","MaxDevPerCountry","MaxProdPerCountry","OnePercentDevPerCountry","ProdPerCountryOnePercent","LABEL","MarFishProdMT","MarMolluscProdMT"
"1",3,165334327.38208,0.800123754339782,2.0765496550381,2.03503262134022,2.03503904851332,156.554965369614,30197327506.1203,1.56554965369614,165334327.38208,"New Caledonia",NA,20
"2",11,278030916.009008,0.837176682230949,2.3613770374,2.12772171454007,2.12835652226404,2732.56061630747,624582986523.158,27.3256061630747,8259047489.11623,"Philippines",123810,44964
"3",12,249827268.281888,0.823673472895745,2.30693102833334,1.8317190623891,1.8320821554232,90866.5326692734,12755018006909.8,908.665326692734,215478227222.091,"Australia",47308,16838
"4",13,224690978.545319,0.846481083384449,2.22687976682914,2.01839348225823,2.01835604841634,18678.4703768661,3528590079724.72,186.784703768661,47364058783.6717,"Papua New Guinea",NA,NA
"5",14,211102484.871865,0.821069789658532,2.20772942125151,2.15085170120973,2.15089164041329,590.53168156969,138263153044.059,5.9053168156969,1477805992.03876,"Fiji",NA,NA
"6",16,125051124.578669,0.704656153509346,1.9851933012336,1.46162270789348,1.45865452833453,1296.74475827436,105525405758.173,12.9674475827436,2097196810.17292,"South Korea",73109,291024
"7",17,156813070.842291,0.665340183221432,2.15551763572778,1.6269896611537,1.6273820428793,8016.59883785381,868743357562.783,80.1659883785381,18079108581.4158,"North Korea",NA,60200
"8",18,240880638.861974,0.840441074197251,2.27294286724287,2.13515498633633,2.13515729129953,2109.18495744215,482571920184.276,21.0918495744215,5856796280.70881,"Cambodia",550,2700
"9",19,259546146.06624,0.846079773905695,2.31372933045834,2.04976235780987,2.05016844156483,11055.9803685398,2211875271428.37,110.559803685398,30657282768.2806,"Thailand",NA,217467
"10",22,198774445.088688,0.843150531880553,2.15567924828214,2.11505110208796,2.11505087654481,145.865806979689,32162566716.1302,1.45865806979689,198774445.088688,"Seychelles",NA,NA
"11",26,241056824.872194,0.847960894864756,2.26803469709631,2.05190773701019,2.05200529013704,4817.96672949203,966722150536.121,48.1796672949203,13086640861.7182,"Sri Lanka",NA,NA
"12",27,206784909.106123,0.816734736507179,2.19850269097857,2.03253792130069,2.03330508527876,13090.5373253372,2546179686350.86,130.905373253372,32745529579.4479,"Mozambique",130,NA
"13",28,223017058.473286,0.829687517872453,2.23441980133586,1.98763083475513,1.98829478766924,12034.2984112527,2188398792031.62,120.342984112527,31160755982.0623,"Madagascar",NA,NA
"14",29,218724347.689355,0.853812921381155,2.20554713428512,2.14478769767007,2.1447858157053,872.679918188869,202214544493.147,8.72679918188869,2187231269.72622,"Kenya",NA,NA
"15",30,168755440.557228,0.840350459382507,2.05939875125759,1.97521348625891,1.97526996734892,235.775800913494,41624129228.7508,2.35775800913494,337510881.114456,"Somalia",NA,NA
"16",31,109100560,0.8263649,1.807644,1.65710943527205,1.65710629575233,879.1296587,90536703937,8.791296587,1076176178,"Eritrea",NA,NA
"17",33,198242024.11186,0.822435165641789,2.16900162266703,1.82577400615945,1.82574508477379,802.972317320164,112034772638.332,8.02972317320164,1671396042.35059,"Yemen",NA,NA
"18",34,164316065.499875,0.791200687122902,2.07957319258131,1.96211003218877,1.96191024403975,20003.9863283705,3422863295292.75,200.039863283705,40114982069.8742,"Oman",NA,NA
"19",36,160833410.336342,0.774438858807305,2.07956733625317,1.31968367790706,1.32062103659726,1365.8935147201,88900645451.7972,13.658935147201,2581289324.89546,"Saudi Arabia",1997,NA
"20",37,76976789,0.7512509,1.655493,1.1241973222061,1.12427812419246,514.7236296,22057928118,5.147236296,461872866,"Kuwait",NA,NA
"21",38,147129387.60863,0.771525936025084,2.02837080682051,1.30868666836889,1.3086295123254,134.913090889778,9224758071.56515,1.34913090889778,147129387.60863,"Bahrain",2,NA
"22",39,177599746.956429,0.775015513447714,2.1386458897796,1.95208804232919,1.95205684185968,11838.2893463351,1992798491231.8,118.382893463351,23867877168.4842,"Pakistan",NA,NA
"23",40,113575403,0.7806729,1.865917,1.27483748675497,1.27486471415364,235.661465,13862748351,2.35661465,340718857,"United Arab Emirates",380,NA
"24",44,137660456.59717,0.713257164140518,2.03557775852941,1.31948402183403,1.32011350936456,5808.96557348448,360055998424.97,58.0896557348448,9838965651.23305,"Tunisia",630,NA
"25",45,143093523.30758,0.729241964760263,2.04550913258333,1.8765732741346,1.87675495656407,13163.2743485812,1952974613812.21,131.632743485812,22789487142.1932,"Morocco",170,NA
"26",46,137761342.130563,0.768019863938567,1.99161295057884,1.88167468637249,1.88166737371097,10763.1761232279,1609869926367.21,107.631761232279,18954833629.1317,"Western Sahara",NA,NA
"27",47,154536326.189584,0.815369348016512,2.02467664317384,1.91960549744212,1.91971828655269,14565.5243013291,2319590407790.84,145.655243013291,26146385535.4294,"Mauritania",NA,NA
"28",48,154105447.686467,0.832750581494317,2.01033900384422,1.95637071373623,1.95637501298829,2259.24889917981,382491571177.725,22.5924889917981,4126285090.88336,"Gambia",NA,NA
"29",49,167134558.319674,0.834316345257888,2.05793109649569,1.95945655695535,1.95944352415873,7627.48639466962,1297620373713.84,76.2748639466962,13888641235.6444,"Senegal",NA,190
"30",50,112636020.451492,0.716659735600188,1.91228839027694,1.5828112610492,1.58284085312455,144.638557179057,13388435066.6914,1.44638557179057,225282675.668446,"Libya",NA,NA
"31",56,159191121.409382,0.593929189051161,2.23270678218087,1.57729447813779,1.58104921066368,2969.08478768549,302650882862.112,29.6908478768549,7187958983.19904,"Russia",22550,2329
