"","ID","CountryYieldCumSum","CountryAreaCumSum","MaxPhi","averagePhi","averageWeightedPhi","MaxDevPerCountry","MaxProdPerCountry","OnePercentDevPerCountry","ProdPerCountryOnePercent","LABEL","MarFishProdMT","MarMolluscProdMT"
"1",1,1407.85590555227,0.837919820810338,3.52000102576269,3.29823028802711,3.30086544987571,2332.0332512347,2713314.64594246,23.320332512347,37601.905092164,"Australian Tropical Territories",NA,NA
"2",2,840.433058066937,0.51553126400664,3.50179359087367,3.02351183538861,3.01964594232605,458.764242403608,370203.309384553,4.58764242403608,41971.8353230918,"Australian Southern Ocean Territories",NA,NA
"3",3,1291.24773316933,0.812913782494641,3.4861960888121,3.36646767767423,3.3667926656206,35697.368256546,46390240.620386,356.97368256546,544408.617569256,"New Caledonia",NA,20
"4",4,1418.53291159204,0.83156042675113,3.52919054663073,3.46988922363657,3.47025045091005,3712.27421494778,5753808.51289267,37.1227421494778,62046.4907875453,"Vanuatu",NA,NA
"5",5,1446.67084414105,0.848764805576024,3.52868339045285,3.48408602152855,3.48404787712063,1946.80783092219,3082445.66748379,19.4680783092219,366256.583749195,"Solomon Islands",NA,NA
"6",6,1437.95357506418,0.845848784174966,3.52710581484748,3.50289986929489,3.50289174136662,600.000155480619,980099.206937063,6.00000155480619,30142.8628865896,"Palau",20,NA
"7",7,1463.05084270128,0.84802331482404,3.53604754255393,3.50924675849524,3.50924020329353,2437.32457794357,4023266.5843372,24.3732457794357,171929.39544617,"Micronesia",NA,NA
"8",9,1449.591884798,0.841484606484043,3.53513542159301,3.51361256655238,3.51361839662173,2244.43223109711,3731739.36743641,22.4443223109711,251362.625243726,"Marshall Islands",NA,NA
"9",10,1371.27808227894,0.800776440751596,3.53152126514745,3.50181434943631,3.50188424274686,438.225268790381,714895.340606961,4.38225268790381,6855.79572966572,"Taiwan",2674,29008
"10",11,1478.63943473186,0.841023175756852,3.54754196588462,3.47292476631182,3.47297820659835,157039.228405434,244169408.054018,1570.39228405434,2675385.07344589,"Philippines",123810,44964
"11",12,1541.22635512695,0.816147185962926,3.59138264844834,3.37930428023724,3.38653004019389,103712.843750543,140720326.974713,1037.12843750543,22492145.6476765,"Australia",47308,16838
"12",13,1485.12482435187,0.851234594038826,3.54285624572,3.46963881100043,3.46959522411451,16668.3789936298,25769076.4871538,166.683789936298,1834846.2660232,"Papua New Guinea",NA,NA
"13",14,1404.79413943898,0.818291949752386,3.53304480484757,3.49136460953588,3.49153122161922,20655.9861001374,33142195.1861024,206.559861001374,351080.669096843,"Fiji",NA,NA
"14",15,1408.10516551784,0.835143964681581,3.522115746559,3.49420307994967,3.49415908309655,1679.77868632922,2704279.59692682,16.7977868632922,27961.4636837609,"Tuvalu",2,NA
"15",16,1353.688522246,0.691762956312192,3.61342238802253,3.38270095524522,3.38235458060532,6340.84306770682,8605352.23783725,63.4084306770682,121172.070280281,"South Korea",73109,291024
"16",17,1268.98937737454,0.662758551726773,3.59992499374893,3.30673179187105,3.30797609778698,4487.31910106293,6049259.28388401,44.8731910106293,178006.917046578,"North Korea",NA,60200
"17",18,1465.05555346993,0.839731414392426,3.54285624572,3.45961720245153,3.45962426400202,6856.5889162427,10419044.3308358,68.565889162427,341384.309013294,"Cambodia",550,2700
