"eez_code","eez_name","eez_type","ter1_code","ter1_name","ter1_iso","ter2_code","ter2_name","ter2_iso","ter3_code","ter3_name","ter3_iso","sov1_code","sov1_name","sov1_iso","sov2_code","sov2_name","sov2_iso","sov3_code","sov3_name","sov3_iso","long_dd","lat_dd","area_sqkm","use"
8444,"American Samoa Exclusive Economic Zone","200NM",8670,"American Samoa","ASM",0,NA,NA,0,NA,NA,2204,"United States","USA",0,NA,NA,0,NA,NA,-169.063470082,-13.8548393188,407333,TRUE
8379,"Ascension Exclusive Economic Zone","200NM",8620,"Ascension","ASC",0,NA,NA,0,NA,NA,2208,"United Kingdom","GBR",0,NA,NA,0,NA,NA,-14.3633726647,-7.94746851996,447887,FALSE
8446,"Cook Islands Exclusive Economic Zone","200NM",8672,"Cook Islands","COK",0,NA,NA,0,NA,NA,2227,"New Zealand","NZL",0,NA,NA,0,NA,NA,-161.303414012,-15.0189070607,1976459,TRUE
8389,"Overlapping claim Falkland / Malvinas Islands Exclusive Economic Zone: UK / Argentina","Overlapping claim",8623,"Falkland / Malvinas Islands","FLK",2149,"Argentina","ARG",0,NA,NA,2208,"United Kingdom","GBR",2149,"Argentina","ARG",0,NA,NA,-58.3223660504,-51.667026383,548502,TRUE
8440,"French Polynesian Exclusive Economic Zone","200NM",8656,"French Polynesia","PYF",0,NA,NA,0,NA,NA,17,"France","FRA",0,NA,NA,0,NA,NA,-144.003272853,-18.7363445188,4781060,TRUE
8439,"Pitcairn Islands Exclusive Economic Zone","200NM",2259,"Pitcairn","PCN",0,NA,NA,0,NA,NA,2208,"United Kingdom","GBR",0,NA,NA,0,NA,NA,-127.421309783,-24.6062265562,844105,FALSE
8380,"St. Helena Exclusive Economic Zone","200NM",8619,"Saint Helena","SHN",0,NA,NA,0,NA,NA,2208,"United Kingdom","GBR",0,NA,NA,0,NA,NA,-5.70869129251,-15.9727780519,450770,TRUE
8445,"Samoan Exclusive Economic Zone","200NM",8671,"Samoa","WSM",0,NA,NA,0,NA,NA,8671,"Samoa","WSM",0,NA,NA,0,NA,NA,-172.753720967,-13.296866319,130973,TRUE
8448,"Tongan Exclusive Economic Zone","200NM",8674,"Tonga","TON",0,NA,NA,0,NA,NA,8674,"Tonga","TON",0,NA,NA,0,NA,NA,-174.765860806,-20.2217486938,667957,TRUE
8382,"Tristan Da Cunha Exclusive Economic Zone","200NM",8621,"Tristan da Cunha","TAA",0,NA,NA,0,NA,NA,2208,"United Kingdom","GBR",0,NA,NA,0,NA,NA,-11.209867613,-38.7618957177,757590,FALSE
8465,"Chilean Exclusive Economic Zone","200NM",2165,"Chile","CHL",0,NA,NA,0,NA,NA,2165,"Chile","CHL",0,NA,NA,0,NA,NA,-75.6288144999,-40.9862850121,2485706,TRUE
8447,"Niue Exclusive Economic Zone","200NM",8673,"Niue","NIU",0,NA,NA,0,NA,NA,2227,"New Zealand","NZL",0,NA,NA,0,NA,NA,-169.331383301,-19.5231481912,319089,TRUE
8383,"Overlapping claim South Georgia and South Sandwich Exclusive Economic Zone: UK / Argentina","Overlapping claim",8624,"South Georgia and the South Sandwich Islands","SGS",2149,"Argentina","ARG",0,NA,NA,2208,"United Kingdom","GBR",2149,"Argentina","ARG",0,NA,NA,-31.570227793,-56.4545855337,1281442,TRUE
48961,"Joint regime area Argentina / Uruguay","Joint regime",2216,"Uruguay","URY",2149,"Argentina","ARG",0,NA,NA,2216,"Uruguay","URY",2149,"Argentina","ARG",0,NA,NA,-55.160956601,-36.2549332604,41405,TRUE
48962,"Joint regime area Peru / Ecuador","Joint regime",2257,"Peru","PER",2166,"Ecuador","ECU",0,NA,NA,2257,"Peru","PER",2166,"Ecuador","ECU",0,NA,NA,-82.5324770996,-3.38858390804,16169,TRUE
8467,"Uruguayan Exclusive Economic Zone","200NM",2216,"Uruguay","URY",0,NA,NA,0,NA,NA,2216,"Uruguay","URY",0,NA,NA,0,NA,NA,-53.3214266066,-35.7892709012,143077,TRUE
8386,"Amsterdam Island & St. Paul Island Exclusive Economic Zone","200NM",48979,"Amsterdam and Saint Paul Islands","ATF",0,NA,NA,0,NA,NA,17,"France","FRA",0,NA,NA,0,NA,NA,77.5418063106,-38.2943091334,511849,FALSE
8344,"Overlapping claim Chagos Archipelago Exclusive Economic Zone: UK / Mauritius","Overlapping claim",8616,"Chagos Archipelago","IOT",8614,"Republic of Mauritius","MUS",0,NA,NA,2208,"United Kingdom","GBR",8614,"Republic of Mauritius","MUS",0,NA,NA,71.9497918473,-6.58327164324,640844,TRUE
8309,"Christmas Island Exclusive Economic Zone","200NM",8590,"Christmas Island","CXR",0,NA,NA,0,NA,NA,2147,"Australia","AUS",0,NA,NA,0,NA,NA,105.365226493,-11.2435805623,329297,TRUE
8308,"Cocos Islands Exclusive Economic Zone","200NM",8589,"Cocos Islands","CCK",0,NA,NA,0,NA,NA,2147,"Australia","AUS",0,NA,NA,0,NA,NA,96.854335723,-12.0314623377,469260,FALSE
8334,"Comoran Exclusive Economic Zone","200NM",2163,"Comores","COM",0,NA,NA,0,NA,NA,2163,"Comoros","COM",0,NA,NA,0,NA,NA,43.454228275,-11.4231416098,165126,TRUE
8385,"Crozet Islands Exclusive Economic Zone","200NM",8627,"Crozet Islands","ATF",0,NA,NA,0,NA,NA,17,"France","FRA",0,NA,NA,0,NA,NA,51.2121814074,-46.3069575449,573927,FALSE
48944,"Overlapping claim Mayotte: France / Comoros","Overlapping claim",8606,"Mayotte","MYT",2163,"Comores","COM",0,NA,NA,17,"France","FRA",2163,"Comoros","COM",0,NA,NA,45.3065624775,-13.2169774652,66990,TRUE
48946,"Overlapping claim Ile Tromelin: Reunion / Mauritus","Overlapping claim",8609,"Réunion","REU",8614,"Republic of Mauritius","MUS",0,NA,NA,17,"France","FRA",8614,"Republic of Mauritius","MUS",0,NA,NA,54.673051301,-15.7112679439,275514,TRUE
8388,"Heard and McDonald Islands Exclusive Economic Zone","200NM",8631,"Heard and McDonald Islands","HMD",0,NA,NA,0,NA,NA,2147,"Australia","AUS",0,NA,NA,0,NA,NA,73.7305145861,-53.4986252975,415581,FALSE
8387,"Kerguelen Exclusive Economic Zone","200NM",8630,"Kerguélen","ATF",0,NA,NA,0,NA,NA,17,"France","FRA",0,NA,NA,0,NA,NA,68.9745991558,-48.877945391,549393,FALSE
8348,"Madagascan Exclusive Economic Zone","200NM",7963,"Madagascar","MDG",0,NA,NA,0,NA,NA,7963,"Madagascar","MDG",0,NA,NA,0,NA,NA,47.2539530614,-20.913353998,1199540,TRUE
8396,"South African Exclusive Economic Zone","200NM",2176,"South Africa","ZAF",0,NA,NA,0,NA,NA,2176,"South Africa","ZAF",0,NA,NA,0,NA,NA,24.4433127625,-33.5080154268,1073107,TRUE
