"rcp","year","eez_code","eez_name","eez_type","ter1_name","ter1_iso","ter1_continent","sov1_name","sov1_iso","sov1_continent","ncells","area_sqkm","prod_mt","profits_usd"
"RCP 2.6","2021",3293,"Belgian Exclusive Economic Zone","200NM","Belgium","BEL","Europe","Belgium","BEL","Europe",38,3800,5623954.33223842,22289932309.5949
"RCP 2.6","2021",5668,"Dutch Exclusive Economic Zone","200NM","Netherlands","NLD","Europe","Netherlands","NLD","Europe",640,64000,108191481.91433,332472986242.654
"RCP 2.6","2021",5669,"German Exclusive Economic Zone","200NM","Germany","DEU","Europe","Germany","DEU","Europe",371,37100,70613013.3947799,220849174508.063
"RCP 2.6","2021",5670,"Albanian Exclusive Economic Zone","200NM","Albania","ALB","Europe","Albania","ALB","Europe",89,8900,15224688.574514,69446268598.1739
"RCP 2.6","2021",5672,"Bulgarian Exclusive Economic Zone","200NM","Bulgaria","BGR","Europe","Bulgaria","BGR","Europe",272,27200,23990571.5012888,96808471094.358
"RCP 2.6","2021",5673,"Croatian Exclusive Economic Zone","200NM","Croatia","HRV","Europe","Croatia","HRV","Europe",248,24800,39230769.5089216,178752156953.524
"RCP 2.6","2021",5674,"Danish Exclusive Economic Zone","200NM","Denmark","DNK","Europe","Denmark","DNK","Europe",211,21100,39191975.5586886,93292882178.94
"RCP 2.6","2021",5675,"Estonian Exclusive Economic Zone","200NM","Estonia","EST","Europe","Estonia","EST","Europe",187,18700,23525304.3372611,87128845713.8921
"RCP 2.6","2021",5676,"Finnish Exclusive Economic Zone","200NM","Finland","FIN","Europe","Finland","FIN","Europe",158,15800,19876995.108488,68999617291.3527
"RCP 2.6","2021",5677,"French Exclusive Economic Zone","200NM","France","FRA","Europe","France","FRA","Europe",2764,276400,429708831.046219,1843802316185.9
"RCP 2.6","2021",5678,"Georgian Exclusive Economic Zone","200NM","Georgia","GEO","Asia","Georgia","GEO","Asia",180,18000,17102929.7589344,72415701960.2108
"RCP 2.6","2021",5679,"Greek Exclusive Economic Zone","200NM","Greece","GRC","Europe","Greece","GRC","Europe",4722,472200,760074493.638645,3938908752330.46
"RCP 2.6","2021",5680,"Icelandic Exclusive Economic Zone","200NM","Iceland","ISL","Europe","Iceland","ISL","Europe",4680,468000,818612331.605426,1572443859781.24
"RCP 2.6","2021",5681,"Irish Exclusive Economic Zone","200NM","Ireland","IRL","Europe","Ireland","IRL","Europe",3934,393400,570599400.446491,1705383424908.14
"RCP 2.6","2021",5682,"Italian Exclusive Economic Zone","200NM","Italy","ITA","Europe","Italy","ITA","Europe",5096,509600,823553521.428734,4111884182182.79
"RCP 2.6","2021",5683,"Latvian Exclusive Economic Zone","200NM","Latvia","LVA","Europe","Latvia","LVA","Europe",197,19700,24783342.0023553,90954390859.3195
"RCP 2.6","2021",5684,"Lithuanian Exclusive Economic Zone","200NM","Lithuania","LTU","Europe","Lithuania","LTU","Europe",65,6500,8177244.82311214,30756448597.278
"RCP 2.6","2021",5685,"Maltese Exclusive Economic Zone","200NM","Malta","MLT","Europe","Malta","MLT","Europe",524,52400,85013876.4000144,442083643123.682
