"rcp","year","eez_code","eez_name","eez_type","ter1_name","ter1_iso","ter1_continent","sov1_name","sov1_iso","sov1_continent","ncells","area_sqkm","prod_mt","profits_usd"
"RCP 2.6","2021",3293,"Belgian Exclusive Economic Zone","200NM","Belgium","BEL","Europe","Belgium","BEL","Europe",38,3800,10396739.7070364,87311877475.2617
"RCP 2.6","2021",5668,"Dutch Exclusive Economic Zone","200NM","Netherlands","NLD","Europe","Netherlands","NLD","Europe",590,59000,381607574.054379,2470907256275.9
"RCP 2.6","2021",5669,"German Exclusive Economic Zone","200NM","Germany","DEU","Europe","Germany","DEU","Europe",295,29500,143107813.25444,899945290752.572
"RCP 2.6","2021",5673,"Croatian Exclusive Economic Zone","200NM","Croatia","HRV","Europe","Croatia","HRV","Europe",241,24100,228814145.476447,1436579751079.9
"RCP 2.6","2021",5674,"Danish Exclusive Economic Zone","200NM","Denmark","DNK","Europe","Denmark","DNK","Europe",32,3200,14353982.731778,91772840187.0381
"RCP 2.6","2021",5677,"French Exclusive Economic Zone","200NM","France","FRA","Europe","France","FRA","Europe",1651,165100,1544540824.20891,9486214182507.26
"RCP 2.6","2021",5679,"Greek Exclusive Economic Zone","200NM","Greece","GRC","Europe","Greece","GRC","Europe",270,27000,256347797.836683,1613061263424.69
"RCP 2.6","2021",5680,"Icelandic Exclusive Economic Zone","200NM","Iceland","ISL","Europe","Iceland","ISL","Europe",2,200,299571.150518381,936653246.33369
"RCP 2.6","2021",5681,"Irish Exclusive Economic Zone","200NM","Ireland","IRL","Europe","Ireland","IRL","Europe",552,55200,524088831.132774,3196720781792.87
"RCP 2.6","2021",5682,"Italian Exclusive Economic Zone","200NM","Italy","ITA","Europe","Italy","ITA","Europe",751,75100,685838528.258448,4277593826167.62
"RCP 2.6","2021",5688,"Portuguese Exclusive Economic Zone","200NM","Portugal","PRT","Europe","Portugal","PRT","Europe",323,32300,306667921.115735,1870939831448.46
"RCP 2.6","2021",5690,"Russian Exclusive economic Zone","200NM","Russia","RUS","Europe","Russia","RUS","Europe",1459,145900,498224686.394996,2951267398770.86
"RCP 2.6","2021",5693,"Spanish Exclusive Economic Zone","200NM","Spain","ESP","Europe","Spain","ESP","Europe",2517,251700,2402588904.74977,15109058686062.8
"RCP 2.6","2021",5696,"United Kingdom Exclusive Economic Zone","200NM","United Kingdom","GBR","Europe","United Kingdom","GBR","Europe",2036,203600,1533655434.433,9696615769373.65
"RCP 2.6","2021",5697,"Turkish Exclusive Economic Zone","200NM","Turkey","TUR","Asia","Turkey","TUR","Asia",150,15000,92037448.3220379,600213591517.865
"RCP 2.6","2021",8311,"Australian Exclusive Economic Zone (Macquarie Island)","200NM","Macquarie Island","AUS","Oceania","Australia","AUS","Oceania",668,66800,458648124.135347,2549051094160.54
"RCP 2.6","2021",8314,"Solomon Islands Exclusive Economic Zone","200NM","Solomon Islands","SLB","Oceania","Solomon Islands","SLB","Oceania",1607,160700,1525744115.27241,9465084521522.65
"RCP 2.6","2021",8316,"Micronesian Exclusive Economic Zone","200NM","Micronesia","FSM","Oceania","Micronesia",NA,"Oceania",6541,654100,5404757962.40877,37278213117765.7
"RCP 2.6","2021",8317,"Nauruan Exclusive Economic Zone","200NM","Nauru","NRU","Oceania","Nauru","NRU","Oceania",2924,292400,2776151706.94245,17132259972221.5
"RCP 2.6","2021",8318,"Marshall Islands Exclusive Economic Zone","200NM","Marshall Islands","MHL","Oceania","Marshall Islands","MHL","Oceania",8206,820600,7776509236.38901,48272243386460
"RCP 2.6","2021",8323,"Australian Exclusive Economic Zone","200NM","Australia","AUS","Oceania","Australia","AUS","Oceania",5494,549400,5206089918.25703,38947018903469.8
"RCP 2.6","2021",8324,"Papua New Guinean Exclusive Economic Zone","200NM","Papua New Guinea","PNG","Oceania","Papua New Guinea","PNG","Oceania",2212,221200,1831968099.17691,12810382239081.4
"RCP 2.6","2021",8326,"Tuvaluan Exclusive Economic Zone","200NM","Tuvalu","TUV","Oceania","Tuvalu","TUV","Oceania",3219,321900,3056235411.98623,18864516614327.1
"RCP 2.6","2021",8327,"South Korean Exclusive Economic Zone","200NM","South Korea","KOR","Asia","South Korea","KOR","Asia",2972,297200,2737724907.32775,17121336742673.7
"RCP 2.6","2021",8328,"North Korean Exclusive Economic Zone","200NM","North Korea","PRK","Asia","North Korea","PRK","Asia",922,92200,803858348.872021,5049739085746.82
"RCP 2.6","2021",8332,"Thailand Exclusive Economic Zone","200NM","Thailand","THA","Asia","Thailand","THA","Asia",405,40500,384521696.755024,2423098452837.03
"RCP 2.6","2021",8361,"Portuguese Exclusive Economic Zone (Azores)","200NM","Azores","PRT","Europe","Portugal","PRT","Europe",1856,185600,1822699186.19029,12111398418241.3
