"rcp","mgmt_scenario","feed_scenario","prop2maq","year","catch_mt","catch_ff_mt","catch_ff_mt_maq"
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2012,77094060.5545275,13876930.899815,2941909.35076077
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2013,71526465.840991,12874763.8513784,2729449.93649222
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2014,70809124.7056476,12745642.4470166,2702076.19876751
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2015,70563394.7709065,12701411.0587632,2692699.14445779
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2016,70695507.4637557,12725191.343476,2697740.56481692
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2017,71107704.9358347,12799386.8884502,2713470.02035145
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2018,71701941.8015838,12906349.5242851,2736146.09914844
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2019,72319071.1122875,13017432.8002117,2759695.75364489
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2020,73068455.224151,13152321.9403472,2788292.2513536
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2021,74025924.7380325,13324666.4528459,2824829.28800332
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2022,75249599.9903469,13544927.9982624,2871524.73563164
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2023,76737169.253237,13812690.4655827,2928290.37870353
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2024,78480395.1967598,14126471.1354168,2994811.88070835
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2025,80436336.1701334,14478540.510624,3069450.58825229
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2026,82524264.1031826,14854367.5385729,3149125.91817745
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2027,84645506.8020559,15236191.2243701,3230072.53956646
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2028,86691633.9413084,15604494.1094355,3308152.75120033
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2029,88566468.4803799,15941964.3264684,3379696.4372113
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2030,90203780.8361971,16236680.5505155,3442176.27670928
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2031,91585679.9635647,16485422.3934416,3494909.54740963
"RCP 2.6","Reformed fisheries management","BAU feed use",0.212,2032,92720638.0589051,16689714.8506029,3538219.54832782
