"level","species_id","species_orig","species","comm_name","type","class","order","family","genus","forage"
"species","14199","Rastrelliger brachysoma","Rastrelliger brachysoma","Short mackerel","fish","Actinopterygii","Perciformes","Scombridae","Rastrelliger","forage fish"
"species","14201","Rastrelliger kanagurta","Rastrelliger kanagurta","Indian mackerel","fish","Actinopterygii","Perciformes","Scombridae","Rastrelliger","forage fish"
"species","14210","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","not forage fish"
"species","14236","Rexea solandri","Rexea solandri","Silver gemfish","fish","Actinopterygii","Perciformes","Gempylidae","Rexea","not forage fish"
"species","14246","Rhabdosargus globiceps","Rhabdosargus globiceps","White stumpnose","fish","Actinopterygii","Perciformes","Sparidae","Rhabdosargus","not forage fish"
"species","14247","Rhabdosargus haffara","Rhabdosargus haffara","Haffara seabream","fish","Actinopterygii","Perciformes","Sparidae","Rhabdosargus","forage fish"
"species","14314","Rhomboplites aurorubens","Rhomboplites aurorubens","Vermilion snapper","fish","Actinopterygii","Perciformes","Lutjanidae","Rhomboplites","not forage fish"
"species","14325","Rhynchobatus australiae","Rhynchobatus australiae","Whitespotted wedgefish","fish","Elasmobranchii","Rhinopristiformes","Rhinidae","Rhynchobatus","not forage fish"
"species","14326","Rhynchobatus djiddensis","Rhynchobatus djiddensis","Giant guitarfish","fish","Elasmobranchii","Rhinopristiformes","Rhinidae","Rhynchobatus","not forage fish"
"species","14415","Ruditapes decussatus","Ruditapes decussatus","Grooved carpet shell","invert","Bivalvia","Veneroida","Veneridae","Ruditapes","not forage fish"
"species","14416","Ruditapes philippinarum","Ruditapes philippinarum","Japanese carpet shell","invert","Bivalvia","Veneroida","Veneridae","Ruditapes","not forage fish"
"species","14422","Ruvettus pretiosus","Ruvettus pretiosus","Oilfish","fish","Actinopterygii","Perciformes","Gempylidae","Ruvettus","not forage fish"
"species","14450","Sagmariasus verreauxi","Sagmariasus verreauxi","Green rock lobster","invert","Malacostraca","Decapoda","Palinuridae","Sagmariasus","not forage fish"
"species","14460","Salilota australis","Salilota australis","Tadpole codling","fish","Actinopterygii","Gadiformes","Moridae","Salilota","not forage fish"
"species","14463","Salmo salar","Salmo salar","Atlantic salmon","fish","Actinopterygii","Salmoniformes","Salmonidae","Salmo","not forage fish"
"species","14498","Sarda orientalis","Sarda orientalis","Striped bonito","fish","Actinopterygii","Perciformes","Scombridae","Sarda","not forage fish"
"species","14499","Sarda sarda","Sarda sarda","Atlantic bonito","fish","Actinopterygii","Perciformes","Scombridae","Sarda","not forage fish"
"species","14500","Sardina pilchardus","Sardina pilchardus","European pilchard(=Sardine)","fish","Actinopterygii","Clupeiformes","Clupeidae","Sardina","forage fish"
"species","14502","Sardinella aurita","Sardinella aurita","Round sardinella","fish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","forage fish"
"species","14504","Sardinella brasiliensis","Sardinella brasiliensis","Brazilian sardinella","fish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","forage fish"
"species","14506","Sardinella gibbosa","Sardinella gibbosa","Goldstripe sardinella","fish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","forage fish"
"species","14508","Sardinella lemuru","Sardinella lemuru","Bali sardinella","fish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","forage fish"
"species","14509","Sardinella longiceps","Sardinella longiceps","Indian oil sardine","fish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","forage fish"
"species","14510","Sardinella maderensis","Sardinella maderensis","Madeiran sardinella","fish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","forage fish"
"species","14516","Sardinella zunasi","Sardinella zunasi","Japanese sardinella","fish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","forage fish"
"species","14517","Sardinops sagax","Sardinops sagax","South American pilchard","fish","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","forage fish"
"species","14545","Sargocentron spiniferum","Sargocentron spiniferum","Sabre squirrelfish","fish","Actinopterygii","Beryciformes","Holocentridae","Sargocentron","not forage fish"
"species","14553","Sarpa salpa","Sarpa salpa","Salema","fish","Actinopterygii","Perciformes","Sparidae","Sarpa","not forage fish"
"species","14579","Saurida tumbil","Saurida tumbil","Greater lizardfish","fish","Actinopterygii","Aulopiformes","Synodontidae","Saurida","not forage fish"
"species","14580","Saurida undosquamis","Saurida undosquamis","Brushtooth lizardfish","fish","Actinopterygii","Aulopiformes","Synodontidae","Saurida","forage fish"
"species","14625","Scarus ghobban","Scarus ghobban","Blue-barred parrotfish","fish","Actinopterygii","Perciformes","Scaridae","Scarus","not forage fish"
"species","14636","Scarus persicus","Scarus persicus","Gulf parrotfish","fish","Actinopterygii","Perciformes","Scaridae","Scarus","not forage fish"
"species","14693","Sciaenops ocellatus","Sciaenops ocellatus","Red drum","fish","Actinopterygii","Perciformes","Sciaenidae","Sciaenops","not forage fish"
"species","14720","Scolopsis taeniata","Scolopsis taeniata","Black-streaked monocle bream","fish","Actinopterygii","Perciformes","Nemipteridae","Scolopsis","forage fish"
"species","14730","Scomber australasicus","Scomber australasicus","Blue mackerel","fish","Actinopterygii","Perciformes","Scombridae","Scomber","not forage fish"
"species","14732","Scomber japonicus","Scomber japonicus","Chub mackerel","fish","Actinopterygii","Perciformes","Scombridae","Scomber","not forage fish"
"species","14733","Scomber scombrus","Scomber scombrus","Atlantic mackerel","fish","Actinopterygii","Perciformes","Scombridae","Scomber","not forage fish"
"species","14737","Scomberoides commersonnianus","Scomberoides commersonnianus","Talang queenfish","fish","Actinopterygii","Perciformes","Carangidae","Scomberoides","not forage fish"
"species","14738","Scomberoides lysan","Scomberoides lysan","Doublespotted queenfish","fish","Actinopterygii","Perciformes","Carangidae","Scomberoides","not forage fish"
"species","14740","Scomberoides tol","Scomberoides tol","Needlescaled queenfish","fish","Actinopterygii","Perciformes","Carangidae","Scomberoides","forage fish"
"species","14741","Scomberomorus brasiliensis","Scomberomorus brasiliensis","Serra Spanish mackerel","fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","not forage fish"
"species","14742","Scomberomorus cavalla","Scomberomorus cavalla","King mackerel","fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","not forage fish"
"species","14743","Scomberomorus commerson","Scomberomorus commerson","Narrow-barred Spanish mackerel","fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","not forage fish"
"species","14745","Scomberomorus guttatus","Scomberomorus guttatus","Indo-Pacific king mackerel","fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","not forage fish"
"species","14747","Scomberomorus lineolatus","Scomberomorus lineolatus","Streaked seerfish","fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","not forage fish"
"species","14748","Scomberomorus maculatus","Scomberomorus maculatus","Atlantic Spanish mackerel","fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","not forage fish"
"species","14750","Scomberomorus niphonius","Scomberomorus niphonius","Japanese Spanish mackerel","fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","not forage fish"
"species","14753","Scomberomorus regalis","Scomberomorus regalis","Cero","fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","not forage fish"
"species","14755","Scomberomorus sierra","Scomberomorus sierra","Pacific sierra","fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","not forage fish"
"species","14756","Scomberomorus tritor","Scomberomorus tritor","West African Spanish mackerel","fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","not forage fish"
"species","14789","Scophthalmus aquosus","Scophthalmus aquosus","Windowpane flounder","fish","Actinopterygii","Pleuronectiformes","Scophthalmidae","Scophthalmus","not forage fish"
"species","14790","Scophthalmus maximus","Scophthalmus maximus","Brill","fish","Actinopterygii","Pleuronectiformes","Scophthalmidae","Scophthalmus","not forage fish"
"species","17335","Scophthalmus rhombus","Scophthalmus rhombus","Brill","fish","Actinopterygii","Pleuronectiformes","Scophthalmidae","Scophthalmus","not forage fish"
"species","14806","Scorpaena guttata","Scorpaena guttata","California scorpionfish","fish","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena","not forage fish"
"species","14826","Scorpaenichthys marmoratus","Scorpaenichthys marmoratus","Cabezon","fish","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","not forage fish"
"species","14890","Scyliorhinus stellaris","Scyliorhinus stellaris","Nursehound","fish","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","not forage fish"
"species","14893","Scylla serrata","Scylla serrata","Indo-Pacific swamp crab","invert","Malacostraca","Decapoda","Portunidae","Scylla","not forage fish"
"species","14915","Sebastes aleutianus","Sebastes aleutianus","Rougheye rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","forage fish"
"species","14916","Sebastes alutus","Sebastes alutus","Pacific ocean perch","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","14925","Sebastes carnatus","Sebastes carnatus","Gopher rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","14927","Sebastes chlorostictus","Sebastes chlorostictus","Greenspotted rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","forage fish"
"species","14932","Sebastes crameri","Sebastes crameri","Darkblotched rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","14934","Sebastes diploproa","Sebastes diploproa","Splitnose rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","forage fish"
"species","14935","Sebastes elongatus","Sebastes elongatus","Greenstriped rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","forage fish"
"species","14938","Sebastes entomelas","Sebastes entomelas","Widow rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","14940","Sebastes fasciatus","Sebastes fasciatus","Acadian redfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","forage fish"
"species","14942","Sebastes flavidus","Sebastes flavidus","Yellowtail rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","14945","Sebastes goodei","Sebastes goodei","Chilipepper rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","14953","Sebastes jordani","Sebastes jordani","Shortbelly rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","forage fish"
"species","14956","Sebastes levis","Sebastes levis","Cowcod","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","14961","Sebastes melanops","Sebastes melanops","Black rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","14965","Sebastes mystinus","Sebastes mystinus","Blue rockfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
"species","14968","Sebastes norvegicus","Sebastes norvegicus","Golden redfish","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","not forage fish"
