"country_use","iso3_use","major_group","prod_mt","profit_usd"
"Albania","ALB","Mollusca",915,602530.2
"Albania","ALB","Pisces",1310,6766168.5
"Algeria","DZA","Mollusca",3.686,15353.3333333333
"Algeria","DZA","Pisces",72.147375,502716.525
"Argentina","ARG","Mollusca",6.33736842105263,13404.7368421053
"Argentina","ARG","Pisces",0,0
"Aruba","ABW","Pisces",0,0
"Australia","AUS","Mollusca",2168.62602702703,15021509.0810811
"Australia","AUS","Pisces",7258.01191111111,78227911.4444444
"Bahamas","BHS","Pisces",0,0
"Bahrain","BHR","Pisces",1.245125,13518.9375
"Bangladesh","BGD","Pisces",98271.6,315575975.8
"Belize","BLZ","Pisces",0,0
"Bosnia & Herzegovina","BIH","Mollusca",30,113733.333333333
"Bosnia & Herzegovina","BIH","Pisces",81.27,528873
"Brazil","BRA","Mollusca",8698.33333333333,11552489.1666667
"Brazil","BRA","Pisces",20,94003
"Brunei","BRN","Pisces",33.1810344827586,246164.75862069
"Bulgaria","BGR","Mollusca",2988.6316,2906879.4
"Cambodia","KHM","Mollusca",2508.8,2508800
"Cambodia","KHM","Pisces",260.3,2082400
"Canada","CAN","Mollusca",3986.40816326531,7616569.46938775
"Canada","CAN","Pisces",28028.8695652174,165740867.086957
"Caribbean Netherlands","BES","Pisces",0,0
"Channel Islands","","Mollusca",364.838421052632,1292687.42105263
"Channel Islands","","Pisces",1,20646.8
"Chile","CHL","Mollusca",35115.3114615385,308593120.25641
"Chile","CHL","Pisces",149797.671111111,1111408075.03704
"China","CHN","Mollusca",1200745.84134545,1824335106.56364
"China","CHN","Pisces",88474.2571428571,314288491.9
"Colombia","COL","Pisces",150,870000
"Cook Islands","COK","Mollusca",1.733,5219
"Costa Rica","CRI","Mollusca",19.2,283200
"Costa Rica","CRI","Pisces",508,2286000
"Côte d’Ivoire","CIV","Pisces",202.15,641771.4
"Croatia","HRV","Mollusca",330.56375,638213.3125
"Croatia","HRV","Pisces",1414.93705882353,11865506.3529412
"Cuba","CUB","Mollusca",1162.06,1162060
"Cuba","CUB","Pisces",0,0
"Cyprus","CYP","Pisces",1081.20481481481,7034212.44444444
"Denmark","DNK","Mollusca",1212,1042640.85714286
"Denmark","DNK","Pisces",2843.52727272727,11221537.9090909
"Dominican Republic","DOM","Mollusca",0,0
"Dominican Republic","DOM","Pisces",180,863827.9
"Ecuador","ECU","Mollusca",5.25,37261
"Ecuador","ECU","Pisces",78.5888888888889,665783.333333333
"Egypt","EGY","Pisces",119867.166666667,168313636.952381
"El Salvador","SLV","Mollusca",6.2,9666.66666666667
"El Salvador","SLV","Pisces",2,8000
"Eritrea","ERI","Pisces",0,0
"Falkland Islands","FLK","Mollusca",0,0
"Faroe Islands","FRO","Pisces",68843.8333333333,413670362.333333
"Fiji","FJI","Mollusca",0,0
"Fiji","FJI","Pisces",0,0
"Finland","FIN","Pisces",2844.48571428571,13292550.8095238
"France","FRA","Mollusca",9226.02638888889,39667894.2638889
"France","FRA","Pisces",527.034693877551,4852049.53061225
"French Polynesia","PYF","Mollusca",882.12191,38012100.3
"French Polynesia","PYF","Pisces",6.12,89386.5333333333
"Gambia","GMB","Mollusca",20,10000
"Georgia","GEO","Pisces",20,1e+05
"Germany","DEU","Mollusca",5059.25,8643820.75
"Germany","DEU","Pisces",21,93318
"Greece","GRC","Mollusca",8773.33363636364,3959983.81818182
"Greece","GRC","Pisces",5496.00929411765,32833196.8588235
"Guadeloupe","GLP","Pisces",13.6,95239.8
"Guam","GUM","Pisces",30,217500
"Guyana","GUY","Pisces",14.509,34790.9230769231
"Hong Kong SAR China","HKG","Mollusca",621,1339181.4
"Hong Kong SAR China","HKG","Pisces",131.285714285714,1443698.21428571
"Iceland","ISL","Mollusca",79.1,79100
"Iceland","ISL","Pisces",1064.4,6551185.41666667
"India","IND","Mollusca",6650,12991394.3
"India","IND","Pisces",91380,289696493.2
"Indonesia","IDN","Mollusca",30370.5514285714,19070660.5714286
"Indonesia","IDN","Pisces",92354.9590892857,137777067.767857
"Iran","IRN","Pisces",6700,23450000
"Ireland","IRL","Mollusca",5717.48714285714,15390312.6190476
"Ireland","IRL","Pisces",11071.75,86270044.3333333
"Israel","ISR","Mollusca",0,0
"Israel","ISR","Pisces",426.0625,3759265.53125
"Italy","ITA","Mollusca",24515.29,48022186.8
"Italy","ITA","Pisces",1020.59528571429,8980477.1
"Jamaica","JAM","Mollusca",0,0
"Japan","JPN","Mollusca",81706.2181818182,194724172.227273
"Japan","JPN","Pisces",27175.0222222222,237122907.133333
"Jordan","JOR","Pisces",194,1985915.6
"Kenya","KEN","Pisces",3,402418.5
"Kiribati","KIR","Pisces",2.11111111111111,5058.22222222222
"Kuwait","KWT","Pisces",48.5572413793103,250167
"Libya","LBY","Pisces",0,0
"Malaysia","MYS","Mollusca",4137.90940625,3069963.65625
"Malaysia","MYS","Pisces",3253.74993827161,16454574.3209877
"Malta","MLT","Pisces",731.86535,8359916
"Marshall Islands","MHL","Pisces",3.4525,29511.25
"Martinique","MTQ","Pisces",24.0111111111111,175306.777777778
"Mauritius","MUS","Mollusca",3,31687
"Mauritius","MUS","Pisces",149.918518518519,1150504.51851852
"Mayotte","MYT","Pisces",29.4727272727273,243127.181818182
"Mexico","MEX","Mollusca",1247.73838666667,1470835.21428571
"Mexico","MEX","Pisces",1081.79271864865,6705326.78378378
"Micronesia (Federated States of)","FSM","Mollusca",0,0
"Micronesia (Federated States of)","FSM","Pisces",0,0
"Montenegro","MNE","Mollusca",106.111111111111,193813.111111111
"Montenegro","MNE","Pisces",55.8,405838.9
"Morocco","MAR","Mollusca",207,554478.5
"Morocco","MAR","Pisces",119.242857142857,1089973.14285714
"Mozambique","MOZ","Pisces",56,108367.8
"Myanmar (Burma)","MMR","Pisces",376.443433214286,1406004.92857143
"Namibia","NAM","Mollusca",119.222222222222,533655.888888889
"Nauru","NRU","Pisces",0.26,1300
"Netherlands","NLD","Mollusca",17812.2666666667,28894620.6666667
