Mapping parameters for Eleutheronema tetradactylum (Fourfinger threadfin)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  61 |  71,
Bounding Box (NSWE): ,32,-26,47,154

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Eleutheronema,tetradactylum,-0.75,121.75,3012:101:4,0.16
Eleutheronema,tetradactylum,-0.25,121.75,3012:101:2,0.11
Eleutheronema,tetradactylum,-0.25,120.25,3012:100:1,0.12
Eleutheronema,tetradactylum,-5.25,115.25,3011:455:1,0.18
Eleutheronema,tetradactylum,-5.25,109.75,3010:459:2,0.15
Eleutheronema,tetradactylum,-4.75,108.75,3010:248:4,0.03
Eleutheronema,tetradactylum,-4.75,107.75,3010:247:4,0.13
Eleutheronema,tetradactylum,-3.25,109.25,3010:239:1,0.17
Eleutheronema,tetradactylum,-3.75,108.75,3010:238:4,0.14
Eleutheronema,tetradactylum,-0.25,98.25,3009:208:1,0.19
Eleutheronema,tetradactylum,-0.25,97.75,3009:207:2,0.12
Eleutheronema,tetradactylum,-0.75,73.25,3007:103:3,0.01
Eleutheronema,tetradactylum,-0.25,73.25,3007:103:1,0.10
Eleutheronema,tetradactylum,-5.75,56.75,3005:456:4,0.18
Eleutheronema,tetradactylum,31.75,122.75,1312:112:4,0.01
Eleutheronema,tetradactylum,31.25,122.75,1312:112:2,0.08
Eleutheronema,tetradactylum,30.75,122.75,1312:102:4,0.07
Eleutheronema,tetradactylum,30.25,122.75,1312:102:2,0.13
Eleutheronema,tetradactylum,30.25,121.75,1312:101:2,0.01
Eleutheronema,tetradactylum,30.25,121.25,1312:101:1,0.01
Eleutheronema,tetradactylum,30.25,120.25,1312:100:1,0.03
Eleutheronema,tetradactylum,26.75,142.25,1214:362:3,0.19
Eleutheronema,tetradactylum,24.75,131.25,1213:141:3,0.13
Eleutheronema,tetradactylum,29.75,122.25,1212:392:3,0.05
Eleutheronema,tetradactylum,29.25,122.25,1212:392:1,0.18
Eleutheronema,tetradactylum,29.75,121.75,1212:391:4,0.04
Eleutheronema,tetradactylum,29.75,121.25,1212:391:3,0.02
Eleutheronema,tetradactylum,29.25,121.75,1212:391:2,0.13
Eleutheronema,tetradactylum,29.25,121.25,1212:391:1,0.11
Eleutheronema,tetradactylum,28.75,122.75,1212:382:4,0.14
Eleutheronema,tetradactylum,28.25,120.75,1212:380:2,0.13
Eleutheronema,tetradactylum,26.25,122.25,1212:362:1,0.09
Eleutheronema,tetradactylum,25.75,120.75,1212:350:4,0.07
Eleutheronema,tetradactylum,20.25,122.25,1212:102:1,0.09
Eleutheronema,tetradactylum,20.25,121.75,1212:101:2,0.13
Eleutheronema,tetradactylum,22.25,116.25,1211:226:1,0.09
Eleutheronema,tetradactylum,20.75,117.25,1211:207:3,0.17
Eleutheronema,tetradactylum,20.75,116.75,1211:206:4,0.17
Eleutheronema,tetradactylum,20.75,108.25,1210:208:3,0.16
Eleutheronema,tetradactylum,22.75,90.25,1209:120:3,0.01
Eleutheronema,tetradactylum,22.25,90.25,1209:120:1,0.04
Eleutheronema,tetradactylum,21.75,92.25,1209:112:3,0.04
Eleutheronema,tetradactylum,21.75,91.75,1209:111:4,0.12
Eleutheronema,tetradactylum,21.75,91.25,1209:111:3,0.04
Eleutheronema,tetradactylum,21.75,90.25,1209:110:3,0.09
Eleutheronema,tetradactylum,20.25,91.25,1209:101:1,0.13
Eleutheronema,tetradactylum,22.25,89.75,1208:229:2,0.14
Eleutheronema,tetradactylum,22.25,89.25,1208:229:1,0.08
Eleutheronema,tetradactylum,20.75,89.75,1208:209:4,0.09
Eleutheronema,tetradactylum,20.25,71.25,1207:101:1,0.18
Eleutheronema,tetradactylum,20.25,70.75,1207:100:2,0.07
Eleutheronema,tetradactylum,20.25,70.25,1207:100:1,0.06
Eleutheronema,tetradactylum,22.75,67.75,1206:227:4,0.16
Eleutheronema,tetradactylum,26.25,55.75,1205:465:2,0.14
Eleutheronema,tetradactylum,26.25,55.25,1205:465:1,0.16
Eleutheronema,tetradactylum,25.25,55.75,1205:455:2,0.19
Eleutheronema,tetradactylum,25.25,55.25,1205:455:1,0.05
Eleutheronema,tetradactylum,29.75,50.25,1205:390:3,0.13
