Mapping parameters for Epinephelus akaara (Hong Kong grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 ,
Bounding Box (NSWE): ,39,20,109,143

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Epinephelus,akaara,38.25,124.25,1312:384:1,0.02
Epinephelus,akaara,38.25,124.75,1312:384:2,0.04
Epinephelus,akaara,35.25,125.75,1312:455:2,0.15
Epinephelus,akaara,35.75,125.25,1312:455:3,0.02
Epinephelus,akaara,35.75,125.75,1312:455:4,0.12
Epinephelus,akaara,35.25,128.25,1312:458:1,0.15
Epinephelus,akaara,36.25,125.25,1312:465:1,0.01
Epinephelus,akaara,36.25,125.75,1312:465:2,0.07
Epinephelus,akaara,36.75,125.25,1312:465:3,0.02
Epinephelus,akaara,36.75,125.75,1312:465:4,0.06
Epinephelus,akaara,36.75,126.25,1312:466:3,0.05
Epinephelus,akaara,36.75,126.75,1312:466:4,0.11
Epinephelus,akaara,37.25,125.25,1312:475:1,0.05
Epinephelus,akaara,37.25,125.75,1312:475:2,0.05
Epinephelus,akaara,37.75,125.25,1312:475:3,0.02
Epinephelus,akaara,37.25,126.75,1312:476:2,0.01
Epinephelus,akaara,38.25,125.25,1312:485:1,0.05
Epinephelus,akaara,38.75,125.25,1312:485:3,0.11
Epinephelus,akaara,38.25,128.25,1312:488:1,0.10
Epinephelus,akaara,33.25,132.75,1313:132:2,0.17
Epinephelus,akaara,37.25,131.75,1313:371:2,0.10
Epinephelus,akaara,30.75,140.25,1314:100:3,0.11
Epinephelus,akaara,37.25,140.75,1314:370:2,0.15
Epinephelus,akaara,20.75,109.75,1210:209:4,0.24
Epinephelus,akaara,21.25,109.25,1210:219:1,0.34
Epinephelus,akaara,20.25,111.75,1211:101:2,0.28
Epinephelus,akaara,20.75,112.25,1211:102:3,0.38
Epinephelus,akaara,20.75,112.75,1211:102:4,0.22
Epinephelus,akaara,21.25,113.75,1211:113:2,0.33
Epinephelus,akaara,21.75,113.75,1211:113:4,0.37
Epinephelus,akaara,21.25,114.25,1211:114:1,0.30
Epinephelus,akaara,21.75,114.75,1211:114:4,0.20
Epinephelus,akaara,22.75,113.75,1211:123:4,0.24
Epinephelus,akaara,22.75,114.75,1211:124:4,0.21
Epinephelus,akaara,22.25,118.75,1211:228:2,0.37
Epinephelus,akaara,22.25,120.75,1212:120:2,0.28
Epinephelus,akaara,25.75,123.75,1212:353:4,0.30
Epinephelus,akaara,25.75,124.75,1212:354:4,0.29
Epinephelus,akaara,27.25,120.25,1212:370:1,0.37
Epinephelus,akaara,27.25,120.75,1212:370:2,0.35
Epinephelus,akaara,27.75,121.25,1212:371:3,0.33
Epinephelus,akaara,29.25,123.25,1212:393:1,0.35
Epinephelus,akaara,25.25,125.25,1212:455:1,0.20
Epinephelus,akaara,26.75,126.75,1212:466:4,0.23
Epinephelus,akaara,29.75,127.25,1212:497:3,0.24
Epinephelus,akaara,29.25,129.25,1212:499:1,0.20
Epinephelus,akaara,29.25,129.75,1212:499:2,0.23
