Mapping parameters for Sparidentex hasta (Sobaity seabream)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51,
Bounding Box (NSWE): ,30,6,49,80

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Sparidentex,hasta,19.25,72.25,1107:392:1,0.79
Sparidentex,hasta,19.75,72.25,1107:392:3,0.67
Sparidentex,hasta,20.25,58.25,1205:208:1,0.71
Sparidentex,hasta,20.25,58.75,1205:208:2,0.71
Sparidentex,hasta,20.75,58.25,1205:208:3,0.71
Sparidentex,hasta,20.75,58.75,1205:208:4,0.71
Sparidentex,hasta,25.25,50.75,1205:350:2,0.73
Sparidentex,hasta,25.75,51.25,1205:351:3,0.60
Sparidentex,hasta,25.75,54.25,1205:354:3,0.79
Sparidentex,hasta,26.25,53.25,1205:363:1,0.67
Sparidentex,hasta,24.75,62.25,1206:142:3,0.71
Sparidentex,hasta,21.25,68.75,1206:218:2,0.79
Sparidentex,hasta,22.25,69.75,1206:229:2,0.60
Sparidentex,hasta,25.25,65.25,1206:455:1,0.73
Sparidentex,hasta,25.25,65.75,1206:455:2,0.62
Sparidentex,hasta,20.25,71.75,1207:101:2,0.64
Sparidentex,hasta,6.25,49.25,1004:469:1,0.93
Sparidentex,hasta,6.75,49.25,1004:469:3,0.93
Sparidentex,hasta,7.25,49.25,1004:479:1,0.95
Sparidentex,hasta,7.25,49.75,1004:479:2,0.95
Sparidentex,hasta,7.75,49.75,1004:479:4,0.95
Sparidentex,hasta,7.75,50.25,1005:370:3,0.95
Sparidentex,hasta,8.25,50.25,1005:380:1,0.95
Sparidentex,hasta,8.75,50.25,1005:380:3,0.96
Sparidentex,hasta,8.75,50.75,1005:380:4,0.96
Sparidentex,hasta,9.25,50.75,1005:390:2,0.86
Sparidentex,hasta,9.75,50.75,1005:390:4,0.86
Sparidentex,hasta,9.75,51.25,1005:391:3,0.86
Sparidentex,hasta,11.25,49.25,1104:219:1,0.93
Sparidentex,hasta,11.25,49.75,1104:219:2,0.93
