Mapping parameters for Pagellus erythrinus (Common pandora)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37,
Bounding Box (NSWE): ,60,10,-26,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,20,100,300
Temperature (°C),1,9.68,14.62,21.27,26.05
Salinity (psu),1,16.77,34.93,38.84,39.97
Primary Production,1,263,339,1372,3781
Sea Ice Concentration,1,-1,0,0,0.03
Distance to Land (km),0,1,9,156,358
 

Map data (HSPEC) for predicted occurrences (n = 1809): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
Pagellus,erythrinus,44.75,31.75,1403:141:4,0.04
Pagellus,erythrinus,44.75,32.25,1403:142:3,0.07
Pagellus,erythrinus,44.75,32.75,1403:142:4,0.06
Pagellus,erythrinus,44.25,33.25,1403:143:1,0.07
Pagellus,erythrinus,44.25,33.75,1403:143:2,0.08
Pagellus,erythrinus,44.75,33.25,1403:143:3,0.07
Pagellus,erythrinus,44.75,33.75,1403:143:4,0.07
Pagellus,erythrinus,44.25,34.25,1403:144:1,0.08
Pagellus,erythrinus,44.75,34.25,1403:144:3,0.06
Pagellus,erythrinus,44.75,34.75,1403:144:4,0.06
Pagellus,erythrinus,41.75,35.25,1403:215:3,0.08
Pagellus,erythrinus,41.75,35.75,1403:215:4,0.08
Pagellus,erythrinus,42.25,35.25,1403:225:1,0.08
Pagellus,erythrinus,44.75,35.25,1403:245:3,0.06
Pagellus,erythrinus,44.75,35.75,1403:245:4,0.06
Pagellus,erythrinus,45.25,32.75,1403:352:2,0.06
Pagellus,erythrinus,45.25,33.25,1403:353:1,0.07
Pagellus,erythrinus,45.25,33.75,1403:353:2,0.07
Pagellus,erythrinus,45.75,33.25,1403:353:3,0.07
Pagellus,erythrinus,45.75,33.75,1403:353:4,0.07
Pagellus,erythrinus,45.75,34.75,1403:354:4,0.05
Pagellus,erythrinus,46.25,33.75,1403:363:2,0.06
Pagellus,erythrinus,46.25,34.75,1403:364:2,0.05
Pagellus,erythrinus,45.25,35.25,1403:455:1,0.05
Pagellus,erythrinus,45.25,35.75,1403:455:2,0.05
Pagellus,erythrinus,45.75,35.25,1403:455:3,0.05
Pagellus,erythrinus,45.75,35.75,1403:455:4,0.05
Pagellus,erythrinus,46.25,35.25,1403:465:1,0.05
Pagellus,erythrinus,46.25,35.75,1403:465:2,0.05
Pagellus,erythrinus,46.75,35.75,1403:465:4,0.05
Pagellus,erythrinus,50.25,0.75,1500:100:2,0.16
Pagellus,erythrinus,50.75,0.25,1500:100:3,0.14
Pagellus,erythrinus,50.25,1.75,1500:101:2,0.13
Pagellus,erythrinus,51.25,0.25,1500:110:1,0.01
Pagellus,erythrinus,51.25,0.75,1500:110:2,0.13
Pagellus,erythrinus,51.75,0.75,1500:110:4,0.12
Pagellus,erythrinus,51.25,1.25,1500:111:1,0.11
Pagellus,erythrinus,51.75,1.75,1500:111:4,0.19
Pagellus,erythrinus,51.25,3.25,1500:113:1,0.19
Pagellus,erythrinus,51.25,3.75,1500:113:2,0.17
Pagellus,erythrinus,51.75,3.25,1500:113:3,0.10
Pagellus,erythrinus,51.75,3.75,1500:113:4,0.14
Pagellus,erythrinus,51.25,4.25,1500:114:1,0.18
Pagellus,erythrinus,51.75,4.25,1500:114:3,0.17
Pagellus,erythrinus,51.75,4.75,1500:114:4,0.05
Pagellus,erythrinus,52.75,0.25,1500:120:3,0.18
Pagellus,erythrinus,52.75,0.75,1500:120:4,0.17
Pagellus,erythrinus,52.25,1.25,1500:121:1,0.16
Pagellus,erythrinus,52.25,1.75,1500:121:2,0.13
Pagellus,erythrinus,52.75,1.25,1500:121:3,0.19
Pagellus,erythrinus,52.75,1.75,1500:121:4,0.14
Pagellus,erythrinus,52.25,2.25,1500:122:1,0.16
Pagellus,erythrinus,52.75,2.25,1500:122:3,0.14
Pagellus,erythrinus,52.25,3.75,1500:123:2,0.13
Pagellus,erythrinus,52.25,4.25,1500:124:1,0.15
Pagellus,erythrinus,52.25,4.75,1500:124:2,0.18
Pagellus,erythrinus,52.75,4.25,1500:124:3,0.13
Pagellus,erythrinus,52.75,4.75,1500:124:4,0.19
Pagellus,erythrinus,53.25,0.25,1500:130:1,0.04
Pagellus,erythrinus,53.25,0.75,1500:130:2,0.04
Pagellus,erythrinus,53.75,0.25,1500:130:3,0.03
Pagellus,erythrinus,53.75,0.75,1500:130:4,0.07
Pagellus,erythrinus,53.25,1.25,1500:131:1,0.12
Pagellus,erythrinus,53.25,1.75,1500:131:2,0.12
Pagellus,erythrinus,53.75,1.25,1500:131:3,0.16
Pagellus,erythrinus,53.75,1.75,1500:131:4,0.18
Pagellus,erythrinus,53.25,2.25,1500:132:1,0.16
Pagellus,erythrinus,53.25,2.75,1500:132:2,0.16
Pagellus,erythrinus,53.25,3.25,1500:133:1,0.17
Pagellus,erythrinus,53.25,4.25,1500:134:1,0.17
Pagellus,erythrinus,53.25,4.75,1500:134:2,0.12
Pagellus,erythrinus,54.25,0.25,1500:140:1,0.06
Pagellus,erythrinus,54.25,0.75,1500:140:2,0.07
Pagellus,erythrinus,54.75,0.25,1500:140:3,0.08
Pagellus,erythrinus,54.75,0.75,1500:140:4,0.08
Pagellus,erythrinus,54.25,1.25,1500:141:1,0.11
Pagellus,erythrinus,54.25,1.75,1500:141:2,0.11
Pagellus,erythrinus,54.75,1.25,1500:141:3,0.11
Pagellus,erythrinus,54.75,1.75,1500:141:4,0.11
Pagellus,erythrinus,54.25,2.25,1500:142:1,0.13
Pagellus,erythrinus,54.25,2.75,1500:142:2,0.13
Pagellus,erythrinus,54.75,2.25,1500:142:3,0.13
Pagellus,erythrinus,54.75,2.75,1500:142:4,0.13
Pagellus,erythrinus,54.25,3.25,1500:143:1,0.15
Pagellus,erythrinus,54.25,3.75,1500:143:2,0.14
Pagellus,erythrinus,54.75,3.25,1500:143:3,0.15
Pagellus,erythrinus,54.75,3.75,1500:143:4,0.14
Pagellus,erythrinus,54.25,4.25,1500:144:1,0.16
Pagellus,erythrinus,54.25,4.75,1500:144:2,0.16
Pagellus,erythrinus,54.75,4.25,1500:144:3,0.16
Pagellus,erythrinus,54.75,4.75,1500:144:4,0.16
Pagellus,erythrinus,52.25,5.25,1500:225:1,0.18
Pagellus,erythrinus,52.25,5.75,1500:225:2,0.05
Pagellus,erythrinus,52.75,5.25,1500:225:3,0.19
Pagellus,erythrinus,52.75,6.25,1500:226:3,0.01
Pagellus,erythrinus,53.25,5.25,1500:235:1,0.12
Pagellus,erythrinus,53.25,5.75,1500:235:2,0.15
Pagellus,erythrinus,53.75,5.25,1500:235:3,0.18
Pagellus,erythrinus,53.75,5.75,1500:235:4,0.14
Pagellus,erythrinus,53.25,6.25,1500:236:1,0.12
Pagellus,erythrinus,53.25,6.75,1500:236:2,0.11
Pagellus,erythrinus,53.75,6.25,1500:236:3,0.12
Pagellus,erythrinus,53.75,6.75,1500:236:4,0.11
Pagellus,erythrinus,53.25,7.25,1500:237:1,0.10
Pagellus,erythrinus,53.75,7.25,1500:237:3,0.10
Pagellus,erythrinus,53.75,7.75,1500:237:4,0.05
Pagellus,erythrinus,54.25,5.25,1500:245:1,0.16
Pagellus,erythrinus,54.25,5.75,1500:245:2,0.15
Pagellus,erythrinus,54.75,5.25,1500:245:3,0.17
Pagellus,erythrinus,54.75,5.75,1500:245:4,0.16
Pagellus,erythrinus,54.25,6.25,1500:246:1,0.14
Pagellus,erythrinus,54.25,6.75,1500:246:2,0.15
Pagellus,erythrinus,54.75,6.25,1500:246:3,0.15
Pagellus,erythrinus,54.75,6.75,1500:246:4,0.15
Pagellus,erythrinus,54.25,7.25,1500:247:1,0.12
Pagellus,erythrinus,54.25,7.75,1500:247:2,0.08
Pagellus,erythrinus,54.75,7.25,1500:247:3,0.12
Pagellus,erythrinus,54.75,7.75,1500:247:4,0.08
Pagellus,erythrinus,54.25,8.25,1500:248:1,0.06
Pagellus,erythrinus,54.75,8.25,1500:248:3,0.03
Pagellus,erythrinus,54.75,8.75,1500:248:4,0.03
Pagellus,erythrinus,55.25,0.25,1500:350:1,0.05
Pagellus,erythrinus,55.25,0.75,1500:350:2,0.05
Pagellus,erythrinus,55.75,0.25,1500:350:3,0.05
Pagellus,erythrinus,55.75,0.75,1500:350:4,0.05
Pagellus,erythrinus,55.25,1.25,1500:351:1,0.06
Pagellus,erythrinus,55.25,1.75,1500:351:2,0.06
Pagellus,erythrinus,55.75,1.25,1500:351:3,0.06
Pagellus,erythrinus,55.75,1.75,1500:351:4,0.06
Pagellus,erythrinus,55.25,2.25,1500:352:1,0.08
Pagellus,erythrinus,55.25,2.75,1500:352:2,0.08
Pagellus,erythrinus,55.75,2.25,1500:352:3,0.07
Pagellus,erythrinus,55.75,2.75,1500:352:4,0.07
Pagellus,erythrinus,55.25,3.25,1500:353:1,0.08
Pagellus,erythrinus,55.25,3.75,1500:353:2,0.08
Pagellus,erythrinus,55.75,3.25,1500:353:3,0.08
Pagellus,erythrinus,55.75,3.75,1500:353:4,0.08
Pagellus,erythrinus,55.25,4.25,1500:354:1,0.10
Pagellus,erythrinus,55.25,4.75,1500:354:2,0.10
Pagellus,erythrinus,55.75,4.25,1500:354:3,0.10
Pagellus,erythrinus,55.75,4.75,1500:354:4,0.10
Pagellus,erythrinus,56.25,0.25,1500:360:1,0.03
Pagellus,erythrinus,56.25,0.75,1500:360:2,0.03
Pagellus,erythrinus,56.75,0.25,1500:360:3,0.03
Pagellus,erythrinus,56.75,0.75,1500:360:4,0.03
Pagellus,erythrinus,56.25,1.25,1500:361:1,0.03
Pagellus,erythrinus,56.25,1.75,1500:361:2,0.03
Pagellus,erythrinus,56.75,1.25,1500:361:3,0.03
Pagellus,erythrinus,56.75,1.75,1500:361:4,0.03
Pagellus,erythrinus,56.25,2.25,1500:362:1,0.04
Pagellus,erythrinus,56.25,2.75,1500:362:2,0.04
Pagellus,erythrinus,56.75,2.25,1500:362:3,0.04
Pagellus,erythrinus,56.75,2.75,1500:362:4,0.04
Pagellus,erythrinus,56.25,3.25,1500:363:1,0.04
Pagellus,erythrinus,56.25,3.75,1500:363:2,0.04
Pagellus,erythrinus,56.75,3.25,1500:363:3,0.04
Pagellus,erythrinus,56.75,3.75,1500:363:4,0.04
Pagellus,erythrinus,56.25,4.25,1500:364:1,0.05
Pagellus,erythrinus,56.25,4.75,1500:364:2,0.05
Pagellus,erythrinus,56.75,4.25,1500:364:3,0.05
Pagellus,erythrinus,56.75,4.75,1500:364:4,0.05
Pagellus,erythrinus,57.25,0.25,1500:370:1,0.02
Pagellus,erythrinus,57.25,0.75,1500:370:2,0.02
Pagellus,erythrinus,57.75,0.25,1500:370:3,0.02
Pagellus,erythrinus,57.75,0.75,1500:370:4,0.02
