Mapping parameters for Mactra quadrangularis (venus mactra)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  71,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Mactra,quadrangularis,21.25,110.25,1211:110:1,0.46
Mactra,quadrangularis,21.25,110.75,1211:110:2,0.48
Mactra,quadrangularis,21.25,111.25,1211:111:1,0.48
Mactra,quadrangularis,21.25,111.75,1211:111:2,0.43
Mactra,quadrangularis,21.75,111.25,1211:111:3,0.50
Mactra,quadrangularis,21.75,111.75,1211:111:4,0.51
Mactra,quadrangularis,21.25,112.25,1211:112:1,0.40
Mactra,quadrangularis,21.75,112.25,1211:112:3,0.50
Mactra,quadrangularis,21.75,112.75,1211:112:4,0.45
Mactra,quadrangularis,22.25,114.75,1211:124:2,0.46
Mactra,quadrangularis,22.75,115.25,1211:225:3,0.56
Mactra,quadrangularis,22.75,115.75,1211:225:4,0.56
Mactra,quadrangularis,22.75,116.25,1211:226:3,0.56
Mactra,quadrangularis,22.75,116.75,1211:226:4,0.54
Mactra,quadrangularis,22.75,117.25,1211:227:3,0.50
Mactra,quadrangularis,22.75,117.75,1211:227:4,0.49
Mactra,quadrangularis,22.75,118.25,1211:228:3,0.46
Mactra,quadrangularis,23.25,118.75,1211:238:2,0.58
Mactra,quadrangularis,23.25,119.25,1211:239:1,0.45
Mactra,quadrangularis,23.75,119.25,1211:239:3,0.58
Mactra,quadrangularis,23.75,119.75,1211:239:4,0.43
Mactra,quadrangularis,24.25,119.75,1211:249:2,0.57
Mactra,quadrangularis,26.25,119.75,1211:469:2,0.52
