Mapping parameters for Cerastoderma edule (common edible cockle)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,71,14,-17,33

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Cerastoderma,edule,37.75,16.25,1301:476:3,0.04
Cerastoderma,edule,38.25,15.25,1301:485:1,0.05
Cerastoderma,edule,38.25,15.75,1301:485:2,0.07
Cerastoderma,edule,38.75,15.25,1301:485:3,0.02
Cerastoderma,edule,38.75,15.75,1301:485:4,0.06
Cerastoderma,edule,38.25,16.25,1301:486:1,0.06
Cerastoderma,edule,38.25,16.75,1301:486:2,0.04
Cerastoderma,edule,38.75,16.25,1301:486:3,0.08
Cerastoderma,edule,38.75,16.75,1301:486:4,0.09
Cerastoderma,edule,38.75,17.25,1301:487:3,0.04
Cerastoderma,edule,39.75,15.25,1301:495:3,0.01
Cerastoderma,edule,39.25,16.25,1301:496:1,0.08
Cerastoderma,edule,39.75,16.75,1301:496:4,0.10
Cerastoderma,edule,39.25,17.25,1301:497:1,0.03
Cerastoderma,edule,39.75,17.25,1301:497:3,0.03
Cerastoderma,edule,39.75,18.25,1301:498:3,0.02
Cerastoderma,edule,39.25,19.75,1301:499:2,0.03
Cerastoderma,edule,39.75,19.25,1301:499:3,0.06
Cerastoderma,edule,39.75,19.75,1301:499:4,0.16
Cerastoderma,edule,30.75,20.25,1302:100:3,0.02
Cerastoderma,edule,31.25,20.25,1302:110:1,0.02
Cerastoderma,edule,31.75,20.25,1302:110:3,0.01
Cerastoderma,edule,32.25,20.25,1302:120:1,0.01
Cerastoderma,edule,32.75,20.25,1302:120:3,0.01
Cerastoderma,edule,32.75,20.75,1302:120:4,0.01
Cerastoderma,edule,32.75,21.25,1302:121:3,0.01
Cerastoderma,edule,32.75,21.75,1302:121:4,0.01
Cerastoderma,edule,32.75,22.25,1302:122:3,0.01
Cerastoderma,edule,32.75,22.75,1302:122:4,0.01
Cerastoderma,edule,32.25,23.25,1302:123:1,0.01
Cerastoderma,edule,35.75,23.25,1302:353:3,0.03
Cerastoderma,edule,35.75,23.75,1302:353:4,0.02
Cerastoderma,edule,35.25,24.25,1302:354:1,0.01
Cerastoderma,edule,35.25,24.75,1302:354:2,0.01
Cerastoderma,edule,35.75,24.25,1302:354:3,0.02
Cerastoderma,edule,36.75,21.75,1302:361:4,0.07
Cerastoderma,edule,36.25,22.25,1302:362:1,0.03
Cerastoderma,edule,36.25,22.75,1302:362:2,0.04
