Mapping parameters for Acanthopagrus latus (Yellowfin seabream)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  61 ,
Bounding Box (NSWE): ,34,15,105,137

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,17.5,23.57,26.42,30.62
Salinity (psu),1,32.45,33.52,34.52,35.02
Primary Production,1,429,499,1488,2163
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,8,97,269
 

Map data (HSPEC) for predicted occurrences (n = 3221): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Acanthopagrus,latus,2.25,107.25,1010:227:1,0.01,0.041666666666667,0.18,1,1,1,1
Acanthopagrus,latus,2.75,107.75,1010:227:4,0.18,1,0.18,1,1,1,1
Acanthopagrus,latus,2.25,108.25,1010:228:1,0.01,0.375,0.039999999999999,1,1,1,1
Acanthopagrus,latus,2.25,108.75,1010:228:2,0.04,1,0.039999999999999,1,1,1,1
Acanthopagrus,latus,2.75,108.75,1010:228:4,0.04,1,0.039999999999999,1,1,1,1
Acanthopagrus,latus,3.25,105.25,1010:235:1,0.04,0.083333333333333,0.46,1,1,1,1
Acanthopagrus,latus,3.75,107.25,1010:237:3,0.10,0.29166666666667,0.4,1,0.88007736943907,1,1
Acanthopagrus,latus,3.25,109.25,1010:239:1,0.14,1,0.14,1,1,1,1
Acanthopagrus,latus,3.25,109.75,1010:239:2,0.01,0.041666666666667,0.14,1,1,1,1
Acanthopagrus,latus,5.75,102.25,1010:352:3,0.18,1,0.2,0.8792270531401,1,1,1
Acanthopagrus,latus,5.75,102.75,1010:352:4,0.18,1,0.2,0.8792270531401,1,1,1
Acanthopagrus,latus,6.25,103.25,1010:363:1,0.17,0.375,0.46,0.97342995169082,1,1,1
Acanthopagrus,latus,6.75,103.25,1010:363:3,0.11,0.25,0.46,0.97342995169082,1,1,1
Acanthopagrus,latus,6.75,103.75,1010:363:4,0.19,0.41666666666667,0.46,0.97342995169082,1,1,1
Acanthopagrus,latus,6.25,104.25,1010:364:1,0.04,0.041666666666667,0.86,1,1,1,1
Acanthopagrus,latus,7.25,103.25,1010:373:1,0.05,0.125,0.4,0.92028985507246,1,1,1
Acanthopagrus,latus,7.25,103.75,1010:373:2,0.15,0.41666666666667,0.4,0.92028985507246,1,1,1
Acanthopagrus,latus,7.75,103.25,1010:373:3,0.12,0.33333333333333,0.4,0.92028985507246,1,1,1
Acanthopagrus,latus,8.25,103.25,1010:383:1,0.09,0.41666666666667,0.26,0.86473429951691,1,1,1
Acanthopagrus,latus,8.75,103.25,1010:383:3,0.19,0.83333333333333,0.26,0.86473429951691,1,1,1
Acanthopagrus,latus,9.25,103.25,1010:393:1,0.06,1,0.079999999999998,0.76570048309179,1,1,1
Acanthopagrus,latus,9.25,103.75,1010:393:2,0.06,1,0.079999999999998,0.76570048309179,1,1,1
Acanthopagrus,latus,9.75,103.25,1010:393:3,0.06,1,0.079999999999998,0.76570048309179,1,1,1
Acanthopagrus,latus,9.75,103.75,1010:393:4,0.06,1,0.079999999999998,0.76570048309179,1,1,1
Acanthopagrus,latus,5.75,105.25,1010:455:3,0.14,0.20833333333333,0.96,1,0.70986460348162,1,1
Acanthopagrus,latus,5.25,106.75,1010:456:2,0.12,0.16666666666667,1,1,0.72340425531915,1,1
Acanthopagrus,latus,5.75,106.25,1010:456:3,0.08,0.125,1,1,0.64796905222437,1,1
Acanthopagrus,latus,5.75,106.75,1010:456:4,0.05,0.083333333333333,1,1,0.63056092843327,1,1
Acanthopagrus,latus,5.75,109.75,1010:459:4,0.06,0.16666666666667,0.78,1,0.48936170212766,1,1
Acanthopagrus,latus,6.25,106.75,1010:466:2,0.19,0.29166666666667,1,1,0.66344294003868,1,1
Acanthopagrus,latus,6.25,107.25,1010:467:1,0.03,0.041666666666667,1,1,0.63829787234043,1,1
Acanthopagrus,latus,6.75,107.75,1010:467:4,0.13,0.20833333333333,1,1,0.62862669245648,1,1
Acanthopagrus,latus,4.75,110.25,1011:140:3,0.03,0.125,0.32,1,0.75241779497099,1,1
Acanthopagrus,latus,4.25,112.25,1011:142:1,0.09,0.66666666666667,0.14,0.97342995169082,1,1,1
Acanthopagrus,latus,4.25,112.75,1011:142:2,0.01,0.041666666666667,0.14,0.97342995169082,1,1,1
Acanthopagrus,latus,4.75,112.25,1011:142:3,0.13,1,0.14,0.97342995169082,0.93810444874275,1,1
Acanthopagrus,latus,4.75,112.75,1011:142:4,0.14,1,0.14,0.97342995169082,1,1,1
Acanthopagrus,latus,4.25,113.25,1011:143:1,0.12,1,0.12,0.9951690821256,1,1,1
Acanthopagrus,latus,4.25,113.75,1011:143:2,0.12,1,0.12,0.9951690821256,1,1,1
Acanthopagrus,latus,4.75,113.25,1011:143:3,0.12,1,0.12,0.9951690821256,1,1,1
Acanthopagrus,latus,4.75,113.75,1011:143:4,0.11,1,0.12,0.9951690821256,0.95212479827864,1,1
Acanthopagrus,latus,5.25,110.75,1011:350:2,0.09,0.20833333333333,0.6,1,0.68858800773694,1,1
Acanthopagrus,latus,5.25,112.25,1011:352:1,0.15,0.45833333333333,0.36,1,0.88201160541586,1,1
Acanthopagrus,latus,5.25,118.25,1011:458:1,0.06,0.4,0.16,1,1,1,1
Acanthopagrus,latus,5.25,118.75,1011:458:2,0.16,1,0.16,1,1,1,1
Acanthopagrus,latus,5.75,118.25,1011:458:3,0.16,1,0.16,1,1,1,1
Acanthopagrus,latus,5.75,118.75,1011:458:4,0.16,1,0.16,1,1,1,1
Acanthopagrus,latus,5.25,119.25,1011:459:1,0.12,1,0.12,1,1,1,1
Acanthopagrus,latus,5.25,119.75,1011:459:2,0.12,1,0.12,1,1,1,1
Acanthopagrus,latus,5.75,119.25,1011:459:3,0.12,1,0.12,1,1,1,1
Acanthopagrus,latus,5.75,119.75,1011:459:4,0.12,1,0.12,1,1,1,1
