Mapping parameters for Dormitator latifrons (Pacific fat sleeper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,41,0,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,11,20
Temperature (°C),1,12.54,24.17,29.01,33.21
Salinity (psu),1,29.2,31,34.45,36.98
Primary Production (mgC·m-3·day-1) ,1,0.69,1.69,40.72,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.03,33.42,211.75,369.05
Distance to Land (km),0,0,6,141,343
 

Map data (HSPEC) for predicted occurrences (n = 336): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
Dormitator,latifrons,29.75,-114.25,7211:394:3,0.50
Dormitator,latifrons,29.25,-114.75,7211:394:2,0.58
Dormitator,latifrons,29.75,-113.75,7211:393:4,0.49
Dormitator,latifrons,29.75,-113.25,7211:393:3,0.54
Dormitator,latifrons,29.75,-112.75,7211:392:4,0.59
Dormitator,latifrons,28.25,-114.75,7211:384:2,0.49
Dormitator,latifrons,28.25,-114.25,7211:384:1,0.51
Dormitator,latifrons,27.75,-114.75,7211:374:4,0.52
Dormitator,latifrons,27.75,-114.25,7211:374:3,0.55
Dormitator,latifrons,27.25,-114.75,7211:374:2,0.53
Dormitator,latifrons,27.25,-114.25,7211:374:1,0.57
Dormitator,latifrons,27.25,-111.75,7211:371:2,0.58
Dormitator,latifrons,26.75,-111.25,7211:361:3,0.52
Dormitator,latifrons,22.75,-110.25,7211:120:3,0.58
Dormitator,latifrons,25.75,-108.75,7210:458:4,0.50
Dormitator,latifrons,18.75,-155.75,7115:485:4,0.55
Dormitator,latifrons,19.75,-154.75,7115:394:4,0.57
Dormitator,latifrons,19.25,-110.75,7111:390:2,0.55
Dormitator,latifrons,18.75,-110.75,7111:380:4,0.57
Dormitator,latifrons,15.75,-94.25,7109:354:3,0.56
Dormitator,latifrons,7.25,-79.75,7007:479:2,0.56
Dormitator,latifrons,7.25,-77.75,7007:477:2,0.58
Dormitator,latifrons,6.75,-77.75,7007:467:4,0.58
Dormitator,latifrons,4.75,-77.25,7007:247:3,0.55
Dormitator,latifrons,4.25,-77.25,7007:247:1,0.46
Dormitator,latifrons,3.25,-77.75,7007:237:2,0.57
Dormitator,latifrons,3.25,-77.25,7007:237:1,0.56
Dormitator,latifrons,2.75,-78.25,7007:228:3,0.40
Dormitator,latifrons,31.75,-114.25,7311:114:3,0.63
Dormitator,latifrons,31.75,-113.75,7311:113:4,0.62
Dormitator,latifrons,30.25,-114.75,7311:104:2,0.60
Dormitator,latifrons,30.25,-112.75,7311:102:2,0.61
Dormitator,latifrons,20.25,-155.75,7215:205:2,0.70
Dormitator,latifrons,20.25,-155.25,7215:205:1,0.65
Dormitator,latifrons,29.25,-113.75,7211:393:2,0.62
Dormitator,latifrons,29.25,-113.25,7211:393:1,0.61
Dormitator,latifrons,29.75,-112.25,7211:392:3,0.68
Dormitator,latifrons,29.25,-112.25,7211:392:1,0.67
Dormitator,latifrons,28.75,-114.25,7211:384:3,0.60
Dormitator,latifrons,28.75,-113.25,7211:383:3,0.69
Dormitator,latifrons,28.75,-112.75,7211:382:4,0.65
Dormitator,latifrons,28.75,-112.25,7211:382:3,0.78
Dormitator,latifrons,28.25,-112.75,7211:382:2,0.73
Dormitator,latifrons,28.75,-111.75,7211:381:4,0.78
Dormitator,latifrons,27.25,-113.75,7211:373:2,0.61
Dormitator,latifrons,27.75,-112.75,7211:372:4,0.79
Dormitator,latifrons,27.25,-112.25,7211:372:1,0.71
Dormitator,latifrons,26.75,-113.75,7211:363:4,0.60
Dormitator,latifrons,26.75,-113.25,7211:363:3,0.63
Dormitator,latifrons,26.75,-112.75,7211:362:4,0.76
Dormitator,latifrons,26.25,-112.75,7211:362:2,0.69
Dormitator,latifrons,26.25,-111.25,7211:361:1,0.61
Dormitator,latifrons,25.75,-112.75,7211:352:4,0.71
