Mapping parameters for Epinephelus lanceolatus (Giant grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,29,-39,24,-122

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Epinephelus,lanceolatus,-36.75,173.75,3317:363:4,0.14
Epinephelus,lanceolatus,-36.25,173.75,3317:363:2,0.18
Epinephelus,lanceolatus,-35.75,174.25,3317:354:3,0.14
Epinephelus,lanceolatus,-35.25,173.75,3317:353:2,0.01
Epinephelus,lanceolatus,-34.75,172.25,3317:142:3,0.18
Epinephelus,lanceolatus,-34.25,171.75,3317:141:2,0.13
Epinephelus,lanceolatus,-33.75,172.25,3317:132:3,0.17
Epinephelus,lanceolatus,-32.25,168.25,3316:228:1,0.19
Epinephelus,lanceolatus,-31.75,167.75,3316:217:4,0.13
Epinephelus,lanceolatus,-30.75,156.25,3315:206:3,0.15
Epinephelus,lanceolatus,-33.25,151.25,3315:131:1,0.15
Epinephelus,lanceolatus,-38.25,149.75,3314:489:2,0.11
Epinephelus,lanceolatus,-38.25,149.25,3314:489:1,0.17
Epinephelus,lanceolatus,-38.75,148.75,3314:488:4,0.10
Epinephelus,lanceolatus,-38.75,148.25,3314:488:3,0.07
Epinephelus,lanceolatus,-38.25,148.75,3314:488:2,0.11
Epinephelus,lanceolatus,-38.25,148.25,3314:488:1,0.02
Epinephelus,lanceolatus,-37.75,149.75,3314:479:4,0.16
Epinephelus,lanceolatus,-37.75,149.25,3314:479:3,0.10
Epinephelus,lanceolatus,-37.75,148.75,3314:478:4,0.04
Epinephelus,lanceolatus,-37.75,147.75,3314:477:4,0.01
Epinephelus,lanceolatus,-37.75,145.25,3314:475:3,0.01
Epinephelus,lanceolatus,-37.75,144.75,3314:374:4,0.01
Epinephelus,lanceolatus,-37.75,139.75,3313:479:4,0.01
Epinephelus,lanceolatus,-37.25,139.25,3313:479:1,0.03
Epinephelus,lanceolatus,-37.25,138.75,3313:478:2,0.05
Epinephelus,lanceolatus,-37.25,138.25,3313:478:1,0.04
Epinephelus,lanceolatus,-37.25,137.75,3313:477:2,0.03
Epinephelus,lanceolatus,-36.75,138.75,3313:468:4,0.06
Epinephelus,lanceolatus,-36.75,138.25,3313:468:3,0.09
Epinephelus,lanceolatus,-36.25,138.75,3313:468:2,0.05
Epinephelus,lanceolatus,-36.25,138.25,3313:468:1,0.10
Epinephelus,lanceolatus,-36.75,137.75,3313:467:4,0.11
Epinephelus,lanceolatus,-36.75,137.25,3313:467:3,0.10
Epinephelus,lanceolatus,-36.25,137.75,3313:467:2,0.13
Epinephelus,lanceolatus,-36.25,137.25,3313:467:1,0.14
Epinephelus,lanceolatus,-36.75,136.75,3313:466:4,0.09
Epinephelus,lanceolatus,-36.25,136.75,3313:466:2,0.14
Epinephelus,lanceolatus,-36.25,136.25,3313:466:1,0.15
Epinephelus,lanceolatus,-36.25,135.75,3313:465:2,0.05
Epinephelus,lanceolatus,-35.75,139.25,3313:459:3,0.03
Epinephelus,lanceolatus,-35.75,138.75,3313:458:4,0.07
Epinephelus,lanceolatus,-35.75,138.25,3313:458:3,0.10
Epinephelus,lanceolatus,-35.25,138.75,3313:458:2,0.10
Epinephelus,lanceolatus,-35.25,138.25,3313:458:1,0.15
Epinephelus,lanceolatus,-35.75,137.75,3313:457:4,0.11
Epinephelus,lanceolatus,-35.75,137.25,3313:457:3,0.14
Epinephelus,lanceolatus,-35.25,137.75,3313:457:2,0.14
Epinephelus,lanceolatus,-35.25,137.25,3313:457:1,0.14
Epinephelus,lanceolatus,-35.75,136.75,3313:456:4,0.15
Epinephelus,lanceolatus,-35.75,136.25,3313:456:3,0.16
Epinephelus,lanceolatus,-35.25,136.75,3313:456:2,0.14
Epinephelus,lanceolatus,-35.25,136.25,3313:456:1,0.16
Epinephelus,lanceolatus,-35.75,135.75,3313:455:4,0.13
Epinephelus,lanceolatus,-35.75,135.25,3313:455:3,0.11
Epinephelus,lanceolatus,-35.25,135.75,3313:455:2,0.18
Epinephelus,lanceolatus,-35.25,134.25,3313:354:1,0.11
Epinephelus,lanceolatus,-34.75,138.75,3313:248:4,0.08
Epinephelus,lanceolatus,-34.75,138.25,3313:248:3,0.17
Epinephelus,lanceolatus,-34.25,138.25,3313:248:1,0.08
Epinephelus,lanceolatus,-34.75,137.75,3313:247:4,0.14
Epinephelus,lanceolatus,-34.75,137.25,3313:247:3,0.11
Epinephelus,lanceolatus,-34.25,137.75,3313:247:2,0.09
Epinephelus,lanceolatus,-34.25,137.25,3313:247:1,0.08
Epinephelus,lanceolatus,-34.75,136.75,3313:246:4,0.12
Epinephelus,lanceolatus,-34.75,136.25,3313:246:3,0.15
Epinephelus,lanceolatus,-34.25,136.75,3313:246:2,0.10
Epinephelus,lanceolatus,-34.25,136.25,3313:246:1,0.11
Epinephelus,lanceolatus,-34.75,135.75,3313:245:4,0.14
Epinephelus,lanceolatus,-34.75,135.25,3313:245:3,0.14
Epinephelus,lanceolatus,-34.25,135.75,3313:245:2,0.01
Epinephelus,lanceolatus,-34.25,135.25,3313:245:1,0.08
Epinephelus,lanceolatus,-33.75,137.75,3313:237:4,0.01
Epinephelus,lanceolatus,-33.75,137.25,3313:237:3,0.02
Epinephelus,lanceolatus,-33.75,136.75,3313:236:4,0.06
Epinephelus,lanceolatus,-33.75,135.25,3313:235:3,0.10
Epinephelus,lanceolatus,-34.75,134.75,3313:144:4,0.19
Epinephelus,lanceolatus,-34.25,134.75,3313:144:2,0.13
Epinephelus,lanceolatus,-33.75,134.75,3313:134:4,0.11
Epinephelus,lanceolatus,-33.75,134.25,3313:134:3,0.16
Epinephelus,lanceolatus,-33.25,134.75,3313:134:2,0.10
Epinephelus,lanceolatus,-33.25,134.25,3313:134:1,0.13
Epinephelus,lanceolatus,-33.25,133.75,3313:133:2,0.19
Epinephelus,lanceolatus,-33.75,131.75,3313:131:4,0.12
Epinephelus,lanceolatus,-32.75,134.25,3313:124:3,0.13
Epinephelus,lanceolatus,-32.25,134.25,3313:124:1,0.15
Epinephelus,lanceolatus,-32.75,133.75,3313:123:4,0.15
Epinephelus,lanceolatus,-32.25,133.75,3313:123:2,0.16
Epinephelus,lanceolatus,-32.25,133.25,3313:123:1,0.18
Epinephelus,lanceolatus,-34.25,125.25,3312:245:1,0.15
Epinephelus,lanceolatus,-34.75,121.75,3312:141:4,0.11
Epinephelus,lanceolatus,-33.25,123.75,3312:133:2,0.02
Epinephelus,lanceolatus,-35.25,115.25,3311:455:1,0.03
Epinephelus,lanceolatus,-34.75,117.75,3311:247:4,0.02
Epinephelus,lanceolatus,-34.75,117.25,3311:247:3,0.05
Epinephelus,lanceolatus,-34.75,116.75,3311:246:4,0.09
Epinephelus,lanceolatus,-31.25,115.75,3311:215:2,0.10
Epinephelus,lanceolatus,-32.75,27.75,3302:227:4,0.12
Epinephelus,lanceolatus,-22.75,169.25,3216:229:3,0.06
Epinephelus,lanceolatus,-27.75,155.75,3215:475:4,0.03
Epinephelus,lanceolatus,-25.75,159.75,3215:459:4,0.14
Epinephelus,lanceolatus,-25.75,152.75,3215:352:4,0.05
Epinephelus,lanceolatus,-24.75,159.25,3215:249:3,0.06
Epinephelus,lanceolatus,-23.25,155.25,3215:235:1,0.06
Epinephelus,lanceolatus,-21.25,159.75,3215:219:2,0.03
Epinephelus,lanceolatus,-20.25,151.75,3215:101:2,0.01
Epinephelus,lanceolatus,-22.75,149.75,3214:229:4,0.05
Epinephelus,lanceolatus,-29.75,115.25,3211:495:3,0.14
Epinephelus,lanceolatus,-26.25,112.25,3211:362:1,0.13
Epinephelus,lanceolatus,-24.25,112.25,3211:142:1,0.13
Epinephelus,lanceolatus,-22.25,114.75,3211:124:2,0.19
Epinephelus,lanceolatus,-22.75,113.25,3211:123:3,0.17
Epinephelus,lanceolatus,-20.75,48.25,3204:208:3,0.14
Epinephelus,lanceolatus,-22.75,43.75,3204:123:4,0.05
Epinephelus,lanceolatus,-21.75,43.75,3204:113:4,0.05
Epinephelus,lanceolatus,-12.75,177.75,3117:227:4,0.03
Epinephelus,lanceolatus,-19.75,159.25,3115:499:3,0.02
Epinephelus,lanceolatus,-18.75,159.25,3115:489:3,0.11
Epinephelus,lanceolatus,-12.25,142.25,3114:122:1,0.05
Epinephelus,lanceolatus,-12.75,136.25,3113:226:3,0.05
Epinephelus,lanceolatus,-12.25,134.75,3113:124:2,0.14
Epinephelus,lanceolatus,-12.75,130.75,3113:120:4,0.14
Epinephelus,lanceolatus,-15.25,129.25,3112:459:1,0.05
Epinephelus,lanceolatus,-15.25,128.25,3112:458:1,0.14
Epinephelus,lanceolatus,-17.75,120.25,3112:370:3,0.18
Epinephelus,lanceolatus,-15.25,121.25,3112:351:1,0.02
Epinephelus,lanceolatus,-15.75,120.75,3112:350:4,0.11
Epinephelus,lanceolatus,-14.25,127.25,3112:247:1,0.05
Epinephelus,lanceolatus,-13.75,60.75,3106:130:4,0.11
Epinephelus,lanceolatus,-11.75,60.75,3106:110:4,0.09
Epinephelus,lanceolatus,-19.25,48.75,3104:498:2,0.14
Epinephelus,lanceolatus,-17.75,43.25,3104:373:3,0.11
Epinephelus,lanceolatus,-12.25,40.25,3104:120:1,0.05
Epinephelus,lanceolatus,-19.75,36.75,3103:496:4,0.11
Epinephelus,lanceolatus,-19.25,35.75,3103:495:2,0.02
Epinephelus,lanceolatus,-16.25,39.75,3103:469:2,0.14
Epinephelus,lanceolatus,-1.25,175.75,3017:215:2,0.07
Epinephelus,lanceolatus,-7.75,156.25,3015:476:3,0.16
Epinephelus,lanceolatus,-5.75,155.75,3015:455:4,0.06
Epinephelus,lanceolatus,-5.25,155.25,3015:455:1,0.18
Epinephelus,lanceolatus,-8.25,142.75,3014:382:2,0.03
Epinephelus,lanceolatus,-7.25,144.75,3014:374:2,0.03
Epinephelus,lanceolatus,-1.25,143.75,3014:113:2,0.15
Epinephelus,lanceolatus,-4.75,137.25,3013:247:3,0.12
Epinephelus,lanceolatus,-3.75,134.75,3013:134:4,0.14
Epinephelus,lanceolatus,-2.75,133.75,3013:123:4,0.05
Epinephelus,lanceolatus,-2.75,133.25,3013:123:3,0.05
Epinephelus,lanceolatus,-1.25,131.75,3013:111:2,0.14
Epinephelus,lanceolatus,-1.25,131.25,3013:111:1,0.14
Epinephelus,lanceolatus,-5.75,122.25,3012:352:3,0.17
Epinephelus,lanceolatus,-2.75,121.75,3012:121:4,0.05
Epinephelus,lanceolatus,-1.75,121.25,3012:111:3,0.05
Epinephelus,lanceolatus,-3.25,118.25,3011:238:1,0.13
Epinephelus,lanceolatus,-2.75,119.25,3011:229:3,0.09
Epinephelus,lanceolatus,-2.25,118.75,3011:228:2,0.07
Epinephelus,lanceolatus,-2.25,116.25,3011:226:1,0.13
