Mapping parameters for Caranx sexfasciatus (Bigeye trevally)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,32,-36,25,-77

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,15,71,146
Temperature (°C),1,17.52,24.68,28.85,33.05
Salinity (psu),1,21.09,32.74,35.26,38.83
Primary Production (mgC·m-3·day-1) ,1,0.13,2.29,18.37,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.21,101.04,203.7,275.59
Distance to Land (km),0,0,16,1564,2286
 

Map data (HSPEC) for predicted occurrences (n = 6354): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
Caranx,sexfasciatus,-23.25,-134.75,5213:134:2,0.06
Caranx,sexfasciatus,-23.75,-130.75,5213:130:4,0.01
Caranx,sexfasciatus,-22.75,-134.75,5213:124:4,0.04
Caranx,sexfasciatus,-24.25,-128.25,5212:248:1,0.01
Caranx,sexfasciatus,-25.75,-89.25,5208:459:3,0.08
Caranx,sexfasciatus,-25.25,-89.25,5208:459:1,0.11
Caranx,sexfasciatus,-25.75,-85.25,5208:455:3,0.16
Caranx,sexfasciatus,-26.25,-80.25,5208:360:1,0.18
Caranx,sexfasciatus,-25.25,-81.75,5208:351:2,0.03
Caranx,sexfasciatus,-26.25,-79.75,5207:469:2,0.16
Caranx,sexfasciatus,-15.75,-179.25,5117:459:3,0.17
Caranx,sexfasciatus,-15.75,-176.75,5117:456:4,0.14
Caranx,sexfasciatus,-15.75,-175.75,5117:455:4,0.16
Caranx,sexfasciatus,-19.25,-173.75,5117:393:2,0.19
Caranx,sexfasciatus,-18.75,-174.75,5117:384:4,0.17
Caranx,sexfasciatus,-18.25,-174.25,5117:384:1,0.06
Caranx,sexfasciatus,-18.75,-173.75,5117:383:4,0.17
Caranx,sexfasciatus,-17.75,-174.25,5117:374:3,0.11
Caranx,sexfasciatus,-14.25,-178.25,5117:248:1,0.18
Caranx,sexfasciatus,-14.25,-177.75,5117:247:2,0.15
Caranx,sexfasciatus,-14.25,-176.25,5117:246:1,0.16
Caranx,sexfasciatus,-14.25,-175.75,5117:245:2,0.16
Caranx,sexfasciatus,-13.25,-179.25,5117:239:1,0.18
Caranx,sexfasciatus,-14.25,-171.25,5117:141:1,0.19
Caranx,sexfasciatus,-14.25,-170.75,5117:140:2,0.15
Caranx,sexfasciatus,-14.25,-170.25,5117:140:1,0.09
Caranx,sexfasciatus,-13.75,-171.25,5117:131:3,0.19
Caranx,sexfasciatus,-19.25,-169.75,5116:499:2,0.08
Caranx,sexfasciatus,-18.75,-169.75,5116:489:4,0.07
Caranx,sexfasciatus,-18.25,-163.25,5116:383:1,0.04
Caranx,sexfasciatus,-17.75,-163.25,5116:373:3,0.04
Caranx,sexfasciatus,-14.75,-169.75,5116:249:4,0.08
Caranx,sexfasciatus,-14.25,-169.75,5116:249:2,0.10
Caranx,sexfasciatus,-14.25,-169.25,5116:249:1,0.08
Caranx,sexfasciatus,-14.75,-168.25,5116:248:3,0.07
Caranx,sexfasciatus,-19.75,-158.25,5115:498:3,0.06
Caranx,sexfasciatus,-19.25,-158.75,5115:498:2,0.05
Caranx,sexfasciatus,-19.75,-157.75,5115:497:4,0.06
Caranx,sexfasciatus,-18.75,-159.75,5115:489:4,0.06
Caranx,sexfasciatus,-16.75,-154.75,5115:364:4,0.09
Caranx,sexfasciatus,-16.25,-154.75,5115:364:2,0.11
Caranx,sexfasciatus,-16.75,-153.75,5115:363:4,0.11
Caranx,sexfasciatus,-15.75,-154.25,5115:354:3,0.12
Caranx,sexfasciatus,-17.75,-148.25,5114:478:3,0.13
Caranx,sexfasciatus,-16.75,-145.75,5114:465:4,0.08
Caranx,sexfasciatus,-19.25,-141.25,5114:391:1,0.17
Caranx,sexfasciatus,-19.75,-140.25,5114:390:3,0.07
Caranx,sexfasciatus,-19.25,-140.75,5114:390:2,0.11
Caranx,sexfasciatus,-18.25,-140.75,5114:380:2,0.19
Caranx,sexfasciatus,-17.25,-141.25,5114:371:1,0.17
Caranx,sexfasciatus,-17.75,-140.75,5114:370:4,0.19
Caranx,sexfasciatus,-16.75,-141.75,5114:361:4,0.01
Caranx,sexfasciatus,-16.25,-140.25,5114:360:1,0.06
Caranx,sexfasciatus,-19.25,-139.25,5113:499:1,0.05
Caranx,sexfasciatus,-19.25,-138.75,5113:498:2,0.04
Caranx,sexfasciatus,-18.25,-137.25,5113:487:1,0.08
Caranx,sexfasciatus,-18.75,-136.25,5113:486:3,0.06
Caranx,sexfasciatus,-18.25,-136.75,5113:486:2,0.10
Caranx,sexfasciatus,-18.25,-136.25,5113:486:1,0.09
Caranx,sexfasciatus,-17.25,-138.25,5113:478:1,0.12
Caranx,sexfasciatus,-12.25,-77.25,5107:227:1,0.07
Caranx,sexfasciatus,-11.75,-77.75,5107:217:4,0.11
Caranx,sexfasciatus,-11.75,-77.25,5107:217:3,0.06
Caranx,sexfasciatus,-11.25,-77.75,5107:217:2,0.09
Caranx,sexfasciatus,-11.25,-77.25,5107:217:1,0.09
Caranx,sexfasciatus,-10.75,-78.25,5107:208:3,0.15
Caranx,sexfasciatus,-10.25,-78.75,5107:208:2,0.17
Caranx,sexfasciatus,-10.25,-78.25,5107:208:1,0.12
Caranx,sexfasciatus,-10.75,-77.75,5107:207:4,0.09
Caranx,sexfasciatus,-10.25,-77.75,5107:207:2,0.11
Caranx,sexfasciatus,-9.75,-161.25,5016:391:3,0.11
Caranx,sexfasciatus,-8.25,-80.25,5008:380:1,0.04
Caranx,sexfasciatus,-7.25,-80.25,5008:370:1,0.19
Caranx,sexfasciatus,-6.75,-80.75,5008:360:4,0.19
Caranx,sexfasciatus,-6.75,-80.25,5008:360:3,0.12
Caranx,sexfasciatus,-6.25,-80.75,5008:360:2,0.14
Caranx,sexfasciatus,-6.25,-80.25,5008:360:1,0.19
Caranx,sexfasciatus,-3.75,-80.25,5008:130:3,0.04
Caranx,sexfasciatus,-2.25,-80.25,5008:120:1,0.10
Caranx,sexfasciatus,-9.75,-79.25,5007:499:3,0.13
Caranx,sexfasciatus,-9.75,-78.75,5007:498:4,0.17
Caranx,sexfasciatus,-9.75,-78.25,5007:498:3,0.12
Caranx,sexfasciatus,-9.25,-78.75,5007:498:2,0.13
Caranx,sexfasciatus,-9.25,-78.25,5007:498:1,0.15
Caranx,sexfasciatus,-8.75,-79.25,5007:489:3,0.17
Caranx,sexfasciatus,-8.25,-79.25,5007:489:1,0.11
Caranx,sexfasciatus,-8.75,-78.75,5007:488:4,0.15
Caranx,sexfasciatus,-8.25,-78.75,5007:488:2,0.18
Caranx,sexfasciatus,-7.75,-79.75,5007:479:4,0.14
Caranx,sexfasciatus,-7.75,-79.25,5007:479:3,0.17
Caranx,sexfasciatus,-7.25,-79.75,5007:479:2,0.10
Caranx,sexfasciatus,-2.25,-79.75,5007:229:2,0.05
Caranx,sexfasciatus,-35.75,175.75,3317:455:4,0.09
Caranx,sexfasciatus,-35.75,175.25,3317:455:3,0.06
Caranx,sexfasciatus,-35.75,174.75,3317:354:4,0.03
Caranx,sexfasciatus,-35.25,174.75,3317:354:2,0.09
Caranx,sexfasciatus,-35.25,174.25,3317:354:1,0.04
Caranx,sexfasciatus,-35.25,173.25,3317:353:1,0.02
Caranx,sexfasciatus,-35.25,172.75,3317:352:2,0.01
Caranx,sexfasciatus,-34.75,174.25,3317:144:3,0.12
Caranx,sexfasciatus,-34.75,173.75,3317:143:4,0.08
Caranx,sexfasciatus,-34.75,173.25,3317:143:3,0.03
Caranx,sexfasciatus,-34.25,173.25,3317:143:1,0.11
Caranx,sexfasciatus,-34.75,172.25,3317:142:3,0.02
Caranx,sexfasciatus,-34.25,172.75,3317:142:2,0.03
Caranx,sexfasciatus,-34.25,171.75,3317:141:2,0.01
Caranx,sexfasciatus,-33.75,172.75,3317:132:4,0.09
Caranx,sexfasciatus,-33.75,172.25,3317:132:3,0.04
Caranx,sexfasciatus,-33.75,171.75,3317:131:4,0.09
Caranx,sexfasciatus,-32.25,168.25,3316:228:1,0.03
Caranx,sexfasciatus,-32.75,167.75,3316:227:4,0.07
Caranx,sexfasciatus,-32.25,167.75,3316:227:2,0.14
Caranx,sexfasciatus,-35.25,151.25,3315:351:1,0.02
Caranx,sexfasciatus,-33.25,151.25,3315:131:1,0.15
Caranx,sexfasciatus,-35.25,134.75,3313:354:2,0.01
Caranx,sexfasciatus,-34.25,137.75,3313:247:2,0.01
