Mapping parameters for Seriola rivoliana (Longfin yellowtail)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  81 |  87,
Bounding Box (NSWE): ,43,-38,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Seriola,rivoliana,34.25,-119.75,7311:249:2,0.19
Seriola,rivoliana,34.25,-118.25,7311:248:1,0.11
Seriola,rivoliana,32.25,-118.75,7311:228:2,0.09
Seriola,rivoliana,30.75,-86.75,7308:206:4,0.03
Seriola,rivoliana,38.75,-76.25,7307:486:3,0.02
Seriola,rivoliana,38.25,-76.75,7307:486:2,0.01
Seriola,rivoliana,38.25,-76.25,7307:486:1,0.01
Seriola,rivoliana,38.75,-75.25,7307:485:3,0.06
Seriola,rivoliana,38.25,-75.75,7307:485:2,0.01
Seriola,rivoliana,38.25,-75.25,7307:485:1,0.03
Seriola,rivoliana,37.25,-76.75,7307:476:2,0.09
Seriola,rivoliana,37.25,-76.25,7307:476:1,0.09
Seriola,rivoliana,37.75,-75.75,7307:475:4,0.14
Seriola,rivoliana,37.75,-75.25,7307:475:3,0.19
Seriola,rivoliana,37.25,-75.75,7307:475:2,0.16
Seriola,rivoliana,35.25,-76.75,7307:456:2,0.07
Seriola,rivoliana,39.75,-74.25,7307:394:3,0.06
Seriola,rivoliana,39.25,-74.75,7307:394:2,0.04
Seriola,rivoliana,39.25,-74.25,7307:394:1,0.06
Seriola,rivoliana,39.75,-73.75,7307:393:4,0.11
Seriola,rivoliana,39.75,-73.25,7307:393:3,0.11
Seriola,rivoliana,39.25,-73.75,7307:393:2,0.11
Seriola,rivoliana,39.25,-73.25,7307:393:1,0.11
Seriola,rivoliana,39.75,-72.75,7307:392:4,0.18
Seriola,rivoliana,39.75,-72.25,7307:392:3,0.17
Seriola,rivoliana,39.25,-72.75,7307:392:2,0.17
Seriola,rivoliana,39.25,-72.25,7307:392:1,0.13
Seriola,rivoliana,39.75,-71.75,7307:391:4,0.19
Seriola,rivoliana,39.75,-71.25,7307:391:3,0.12
Seriola,rivoliana,38.75,-74.75,7307:384:4,0.10
Seriola,rivoliana,38.75,-74.25,7307:384:3,0.14
Seriola,rivoliana,38.25,-74.75,7307:384:2,0.12
Seriola,rivoliana,38.25,-74.25,7307:384:1,0.15
Seriola,rivoliana,37.75,-73.75,7307:373:4,0.15
Seriola,rivoliana,33.75,-79.25,7307:239:3,0.03
Seriola,rivoliana,39.75,-69.75,7306:499:4,0.16
Seriola,rivoliana,39.75,-69.25,7306:499:3,0.18
Seriola,rivoliana,34.25,-30.25,7303:140:1,0.04
Seriola,rivoliana,38.25,-28.75,7302:488:2,0.05
Seriola,rivoliana,37.75,-29.25,7302:479:3,0.01
Seriola,rivoliana,36.75,-24.75,7302:364:4,0.01
Seriola,rivoliana,39.25,-10.25,7301:390:1,0.03
Seriola,rivoliana,38.75,-10.25,7301:380:3,0.07
Seriola,rivoliana,36.75,-14.25,7301:364:3,0.05
Seriola,rivoliana,33.75,-14.25,7301:134:3,0.11
Seriola,rivoliana,37.75,-9.25,7300:479:3,0.03
Seriola,rivoliana,36.75,-9.25,7300:469:3,0.19
Seriola,rivoliana,35.25,-6.75,7300:456:2,0.14
Seriola,rivoliana,28.25,-177.75,7217:487:2,0.05
Seriola,rivoliana,25.25,-171.75,7217:351:2,0.09
Seriola,rivoliana,25.25,-169.75,7216:459:2,0.01
Seriola,rivoliana,24.75,-167.25,7216:247:3,0.19
Seriola,rivoliana,24.25,-167.75,7216:247:2,0.11
Seriola,rivoliana,27.75,-115.75,7211:475:4,0.17
Seriola,rivoliana,27.25,-109.75,7210:479:2,0.17
Seriola,rivoliana,23.25,-107.25,7210:237:1,0.12
Seriola,rivoliana,27.75,-90.75,7209:370:4,0.10
Seriola,rivoliana,24.25,-96.75,7209:246:2,0.05
Seriola,rivoliana,21.75,-97.75,7209:217:4,0.18
Seriola,rivoliana,22.75,-91.25,7209:121:3,0.04
Seriola,rivoliana,29.75,-89.25,7208:499:3,0.05
Seriola,rivoliana,28.25,-85.75,7208:485:2,0.07
Seriola,rivoliana,29.25,-82.75,7208:392:2,0.06
Seriola,rivoliana,26.25,-84.75,7208:364:2,0.14
Seriola,rivoliana,25.75,-84.75,7208:354:4,0.11
Seriola,rivoliana,25.25,-80.75,7208:350:2,0.13
Seriola,rivoliana,24.25,-88.25,7208:248:1,0.16
Seriola,rivoliana,24.25,-80.75,7208:140:2,0.18
Seriola,rivoliana,26.75,-79.25,7207:469:3,0.18
Seriola,rivoliana,25.75,-79.75,7207:459:4,0.11
Seriola,rivoliana,24.75,-79.25,7207:249:3,0.16
Seriola,rivoliana,24.75,-75.25,7207:245:3,0.16
Seriola,rivoliana,24.25,-74.75,7207:144:2,0.04
Seriola,rivoliana,20.75,-71.25,7207:101:3,0.01
Seriola,rivoliana,26.25,-15.25,7201:465:1,0.19
Seriola,rivoliana,29.25,-12.25,7201:392:1,0.16
Seriola,rivoliana,29.75,-10.75,7201:390:4,0.08
Seriola,rivoliana,28.25,-11.25,7201:381:1,0.08
Seriola,rivoliana,24.25,-15.75,7201:245:2,0.17
Seriola,rivoliana,22.25,-17.25,7201:227:1,0.13
Seriola,rivoliana,22.75,-16.75,7201:226:4,0.11
Seriola,rivoliana,22.25,-16.75,7201:226:2,0.06
Seriola,rivoliana,22.25,-16.25,7201:226:1,0.19
Seriola,rivoliana,21.25,-17.75,7201:217:2,0.14
Seriola,rivoliana,21.75,-16.75,7201:216:4,0.11
Seriola,rivoliana,21.25,-16.75,7201:216:2,0.15
Seriola,rivoliana,20.75,-17.75,7201:207:4,0.12
Seriola,rivoliana,20.75,-17.25,7201:207:3,0.04
Seriola,rivoliana,20.75,-16.75,7201:206:4,0.14
Seriola,rivoliana,20.75,-16.25,7201:206:3,0.17
Seriola,rivoliana,20.25,-16.75,7201:206:2,0.12
Seriola,rivoliana,20.25,-16.25,7201:206:1,0.12
Seriola,rivoliana,19.25,-95.25,7109:495:1,0.13
Seriola,rivoliana,17.75,-87.25,7108:477:3,0.05
Seriola,rivoliana,17.25,-80.25,7108:370:1,0.15
Seriola,rivoliana,11.75,-87.75,7108:217:4,0.17
Seriola,rivoliana,12.75,-81.25,7108:121:3,0.17
Seriola,rivoliana,10.75,-71.25,7107:101:3,0.11
Seriola,rivoliana,10.25,-71.25,7107:101:1,0.14
Seriola,rivoliana,17.75,-64.25,7106:374:3,0.09
Seriola,rivoliana,11.25,-69.75,7106:219:2,0.09
Seriola,rivoliana,11.25,-69.25,7106:219:1,0.06
Seriola,rivoliana,10.25,-62.25,7106:102:1,0.11
Seriola,rivoliana,10.75,-61.75,7106:101:4,0.13
Seriola,rivoliana,10.25,-61.25,7106:101:1,0.14
Seriola,rivoliana,12.75,-59.25,7105:229:3,0.07
Seriola,rivoliana,19.75,-16.75,7101:496:4,0.15
Seriola,rivoliana,19.75,-16.25,7101:496:3,0.03
Seriola,rivoliana,19.25,-16.75,7101:496:2,0.01
Seriola,rivoliana,18.75,-16.75,7101:486:4,0.03
Seriola,rivoliana,17.75,-16.75,7101:476:4,0.01
Seriola,rivoliana,16.25,-16.25,7101:466:1,0.07
Seriola,rivoliana,15.75,-17.25,7101:457:3,0.12
Seriola,rivoliana,15.75,-16.75,7101:456:4,0.06
Seriola,rivoliana,15.75,-16.25,7101:456:3,0.08
Seriola,rivoliana,15.25,-16.75,7101:456:2,0.13
Seriola,rivoliana,14.25,-16.75,7101:246:2,0.07
Seriola,rivoliana,13.75,-17.25,7101:237:3,0.17
Seriola,rivoliana,13.25,-16.25,7101:236:1,0.14
Seriola,rivoliana,5.75,-161.75,7016:351:4,0.02
Seriola,rivoliana,5.25,-86.75,7008:456:2,0.07
Seriola,rivoliana,1.25,-80.25,7008:110:1,0.03
Seriola,rivoliana,0.25,-80.75,7008:100:2,0.09
Seriola,rivoliana,9.25,-78.75,7007:498:2,0.07
Seriola,rivoliana,9.75,-71.75,7007:391:4,0.11
Seriola,rivoliana,9.75,-71.25,7007:391:3,0.10
Seriola,rivoliana,8.75,-60.75,7006:380:4,0.14
Seriola,rivoliana,8.75,-60.25,7006:380:3,0.04
Seriola,rivoliana,8.75,-57.75,7005:487:4,0.08
Seriola,rivoliana,7.25,-58.75,7005:478:2,0.10
Seriola,rivoliana,5.75,-56.75,7005:456:4,0.16
Seriola,rivoliana,7.75,-54.75,7005:374:4,0.05
Seriola,rivoliana,7.75,-53.75,7005:373:4,0.12
Seriola,rivoliana,7.25,-52.75,7005:372:2,0.18
Seriola,rivoliana,5.25,-53.25,7005:353:1,0.15
Seriola,rivoliana,5.25,-52.75,7005:352:2,0.17
Seriola,rivoliana,5.25,-52.25,7005:352:1,0.11
Seriola,rivoliana,5.25,-51.75,7005:351:2,0.15
Seriola,rivoliana,5.75,-50.75,7005:350:4,0.11
Seriola,rivoliana,4.25,-51.25,7005:141:1,0.10
Seriola,rivoliana,4.25,-50.75,7005:140:2,0.05
Seriola,rivoliana,3.75,-49.75,7004:239:4,0.12
Seriola,rivoliana,3.75,-49.25,7004:239:3,0.16
Seriola,rivoliana,3.25,-49.75,7004:239:2,0.05
Seriola,rivoliana,3.25,-49.25,7004:239:1,0.12
Seriola,rivoliana,1.25,-47.75,7004:217:2,0.18
Seriola,rivoliana,0.75,-47.75,7004:207:4,0.01
Seriola,rivoliana,-30.25,-178.75,5317:208:2,0.09
Seriola,rivoliana,-37.75,-73.75,5307:373:4,0.12
Seriola,rivoliana,-37.75,-73.25,5307:373:3,0.06
Seriola,rivoliana,-37.25,-73.75,5307:373:2,0.15
Seriola,rivoliana,-36.75,-73.75,5307:363:4,0.17
Seriola,rivoliana,-36.75,-73.25,5307:363:3,0.05
Seriola,rivoliana,-36.25,-73.25,5307:363:1,0.10
Seriola,rivoliana,-36.75,-72.75,5307:362:4,0.11
Seriola,rivoliana,-36.25,-72.75,5307:362:2,0.12
Seriola,rivoliana,-35.75,-73.25,5307:353:3,0.06
Seriola,rivoliana,-35.75,-72.75,5307:352:4,0.11
Seriola,rivoliana,-35.25,-72.75,5307:352:2,0.06
Seriola,rivoliana,-35.25,-72.25,5307:352:1,0.13
Seriola,rivoliana,-34.75,-72.25,5307:142:3,0.15
Seriola,rivoliana,-34.25,-72.25,5307:142:1,0.16
Seriola,rivoliana,-34.25,-71.75,5307:141:2,0.19
Seriola,rivoliana,-33.75,-71.75,5307:131:4,0.16
Seriola,rivoliana,-33.25,-71.75,5307:131:2,0.15
Seriola,rivoliana,-31.75,-71.25,5307:111:3,0.06
Seriola,rivoliana,-37.75,-57.75,5305:477:4,0.07
Seriola,rivoliana,-37.75,-57.25,5305:477:3,0.12
Seriola,rivoliana,-37.25,-57.25,5305:477:1,0.02
Seriola,rivoliana,-37.75,-56.75,5305:476:4,0.14
Seriola,rivoliana,-37.75,-56.25,5305:476:3,0.16
Seriola,rivoliana,-37.25,-56.75,5305:476:2,0.06
Seriola,rivoliana,-37.25,-56.25,5305:476:1,0.03
Seriola,rivoliana,-37.75,-55.75,5305:475:4,0.19
Seriola,rivoliana,-37.75,-55.25,5305:475:3,0.16
Seriola,rivoliana,-37.25,-55.75,5305:475:2,0.08
Seriola,rivoliana,-37.25,-55.25,5305:475:1,0.12
Seriola,rivoliana,-36.25,-57.25,5305:467:1,0.08
Seriola,rivoliana,-36.75,-56.75,5305:466:4,0.02
Seriola,rivoliana,-36.75,-55.25,5305:465:3,0.05
Seriola,rivoliana,-36.25,-55.25,5305:465:1,0.02
Seriola,rivoliana,-35.75,-55.25,5305:455:3,0.01
Seriola,rivoliana,-37.75,-54.75,5305:374:4,0.13
Seriola,rivoliana,-37.25,-54.75,5305:374:2,0.19
Seriola,rivoliana,-36.25,-54.75,5305:364:2,0.13
Seriola,rivoliana,-36.25,-54.25,5305:364:1,0.19
