Mapping parameters for Crassostrea virginica (American cupped oyster)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 21 |  31 |  37 |  41,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Crassostrea,virginica,37.25,12.75,1301:372:2,0.14
Crassostrea,virginica,37.75,12.25,1301:372:3,0.13
Crassostrea,virginica,37.75,12.75,1301:372:4,0.14
Crassostrea,virginica,37.25,13.25,1301:373:1,0.18
Crassostrea,virginica,37.25,13.75,1301:373:2,0.18
Crassostrea,virginica,37.75,13.25,1301:373:3,0.14
Crassostrea,virginica,37.25,14.25,1301:374:1,0.18
Crassostrea,virginica,38.25,12.25,1301:382:1,0.14
Crassostrea,virginica,38.25,12.75,1301:382:2,0.15
Crassostrea,virginica,38.25,13.25,1301:383:1,0.12
Crassostrea,virginica,38.25,13.75,1301:383:2,0.10
Crassostrea,virginica,38.75,13.25,1301:383:3,0.04
Crassostrea,virginica,38.25,14.25,1301:384:1,0.11
Crassostrea,virginica,38.25,14.75,1301:384:2,0.10
Crassostrea,virginica,38.75,14.25,1301:384:3,0.09
Crassostrea,virginica,38.75,14.75,1301:384:4,0.08
Crassostrea,virginica,35.75,15.25,1301:455:3,0.03
Crassostrea,virginica,36.75,15.25,1301:465:3,0.10
Crassostrea,virginica,37.25,15.25,1301:475:1,0.06
Crassostrea,virginica,37.75,15.25,1301:475:3,0.04
Crassostrea,virginica,37.75,15.75,1301:475:4,0.06
Crassostrea,virginica,37.75,16.25,1301:476:3,0.04
Crassostrea,virginica,38.25,15.25,1301:485:1,0.12
Crassostrea,virginica,38.25,15.75,1301:485:2,0.10
Crassostrea,virginica,38.75,15.25,1301:485:3,0.08
Crassostrea,virginica,38.75,15.75,1301:485:4,0.14
Crassostrea,virginica,38.25,16.25,1301:486:1,0.01
Crassostrea,virginica,38.75,16.25,1301:486:3,0.08
Crassostrea,virginica,39.25,15.75,1301:495:2,0.01
Crassostrea,virginica,39.75,15.25,1301:495:3,0.06
Crassostrea,virginica,39.75,15.75,1301:495:4,0.06
Crassostrea,virginica,39.25,16.25,1301:496:1,0.09
Crassostrea,virginica,39.75,19.75,1301:499:4,0.02
Crassostrea,virginica,31.25,20.25,1302:110:1,0.17
