Mapping parameters for Mimachlamys varia (variegated scallop)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,69,15,-25,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Mimachlamys,varia,40.75,10.25,1401:100:3,0.09
Mimachlamys,varia,42.25,12.25,1401:122:1,0.14
Mimachlamys,varia,44.75,12.25,1401:142:3,0.02
Mimachlamys,varia,40.75,19.75,1401:209:4,0.14
Mimachlamys,varia,41.75,17.25,1401:217:3,0.17
Mimachlamys,varia,42.75,18.75,1401:228:4,0.05
Mimachlamys,varia,43.75,16.75,1401:236:4,0.05
Mimachlamys,varia,44.25,15.75,1401:245:2,0.05
Mimachlamys,varia,44.75,15.25,1401:245:3,0.05
Mimachlamys,varia,45.75,12.25,1401:352:3,0.03
Mimachlamys,varia,42.25,27.25,1402:227:1,0.03
Mimachlamys,varia,44.75,28.75,1402:248:4,0.05
Mimachlamys,varia,44.75,29.25,1402:249:3,0.04
Mimachlamys,varia,44.75,29.75,1402:249:4,0.06
Mimachlamys,varia,45.25,29.25,1402:459:1,0.01
Mimachlamys,varia,45.25,29.75,1402:459:2,0.05
Mimachlamys,varia,46.75,35.25,1403:465:3,0.03
Mimachlamys,varia,51.25,0.25,1500:110:1,0.05
Mimachlamys,varia,52.25,5.75,1500:225:2,0.18
Mimachlamys,varia,52.75,6.25,1500:226:3,0.04
Mimachlamys,varia,53.25,8.75,1500:238:2,0.03
Mimachlamys,varia,53.75,9.75,1500:239:4,0.03
Mimachlamys,varia,54.25,9.75,1500:249:2,0.02
Mimachlamys,varia,54.75,9.25,1500:249:3,0.05
Mimachlamys,varia,59.25,3.75,1500:393:2,0.10
Mimachlamys,varia,58.75,6.25,1500:486:3,0.04
Mimachlamys,varia,59.25,6.75,1500:496:2,0.04
Mimachlamys,varia,59.75,6.25,1500:496:3,0.04
Mimachlamys,varia,59.75,6.75,1500:496:4,0.04
Mimachlamys,varia,59.25,9.75,1500:499:2,0.08
Mimachlamys,varia,53.75,10.75,1501:130:4,0.02
Mimachlamys,varia,53.75,11.25,1501:131:3,0.05
Mimachlamys,varia,53.75,11.75,1501:131:4,0.01
Mimachlamys,varia,53.75,13.75,1501:133:4,0.10
Mimachlamys,varia,53.75,14.25,1501:134:3,0.06
Mimachlamys,varia,53.75,14.75,1501:134:4,0.09
Mimachlamys,varia,54.25,10.75,1501:140:2,0.19
Mimachlamys,varia,54.25,11.25,1501:141:1,0.17
Mimachlamys,varia,54.25,11.75,1501:141:2,0.14
Mimachlamys,varia,54.75,11.75,1501:141:4,0.15
Mimachlamys,varia,54.25,12.25,1501:142:1,0.12
Mimachlamys,varia,54.25,12.75,1501:142:2,0.10
Mimachlamys,varia,54.75,12.25,1501:142:3,0.10
Mimachlamys,varia,54.75,12.75,1501:142:4,0.09
Mimachlamys,varia,54.25,13.25,1501:143:1,0.08
Mimachlamys,varia,54.25,13.75,1501:143:2,0.08
Mimachlamys,varia,54.75,13.25,1501:143:3,0.09
Mimachlamys,varia,54.75,13.75,1501:143:4,0.08
Mimachlamys,varia,54.25,14.25,1501:144:1,0.07
Mimachlamys,varia,54.25,14.75,1501:144:2,0.07
Mimachlamys,varia,54.75,14.25,1501:144:3,0.08
Mimachlamys,varia,54.75,14.75,1501:144:4,0.07
Mimachlamys,varia,54.25,15.25,1501:245:1,0.07
Mimachlamys,varia,54.25,15.75,1501:245:2,0.07
Mimachlamys,varia,54.75,15.25,1501:245:3,0.06
Mimachlamys,varia,54.75,15.75,1501:245:4,0.07
Mimachlamys,varia,54.25,16.25,1501:246:1,0.08
Mimachlamys,varia,54.75,16.25,1501:246:3,0.07
Mimachlamys,varia,54.75,16.75,1501:246:4,0.07
Mimachlamys,varia,54.75,17.25,1501:247:3,0.07
Mimachlamys,varia,54.75,17.75,1501:247:4,0.07
Mimachlamys,varia,54.25,18.75,1501:248:2,0.07
Mimachlamys,varia,54.75,18.25,1501:248:3,0.07
Mimachlamys,varia,54.75,18.75,1501:248:4,0.06
Mimachlamys,varia,54.25,19.25,1501:249:1,0.05
Mimachlamys,varia,54.25,19.75,1501:249:2,0.07
