Mapping parameters for Pleuronectes platessa (European plaice)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  34 ,
Bounding Box (NSWE): ,72,36,-47,45

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,50,200
Temperature (°C),1,-1.77,8.8,13.4,18
Salinity (psu),1,6.25,28.7,35.37,36
Primary Production,1,0,559,1742,2669
Sea Ice Concentration,1,-0.98107737612188,0,0.03,0.81
Distance to Land (km),0,0,4,166,594
 

Map data (HSPEC) for predicted occurrences (n = 1972): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Pleuronectes,platessa,54.75,14.75,1501:144:4,0.09,1,1,0.093095768374165,1,1,1
Pleuronectes,platessa,54.25,15.25,1501:245:1,0.09,1,1,0.093095768374165,1,1,1
Pleuronectes,platessa,54.25,15.75,1501:245:2,0.06,1,1,0.059688195991091,1,0.98717948717949,1
Pleuronectes,platessa,54.75,15.25,1501:245:3,0.06,1,1,0.059688195991091,1,1,1
Pleuronectes,platessa,54.75,15.75,1501:245:4,0.05,0.92,1,0.059688195991091,1,1,1
Pleuronectes,platessa,54.25,16.25,1501:246:1,0.04,1,1,0.044988864142539,1,1,1
Pleuronectes,platessa,54.75,16.25,1501:246:3,0.04,1,1,0.044988864142539,1,1,1
Pleuronectes,platessa,54.75,16.75,1501:246:4,0.04,1,1,0.044988864142539,1,1,1
Pleuronectes,platessa,54.75,17.25,1501:247:3,0.03,1,1,0.033853006681514,1,1,1
Pleuronectes,platessa,54.75,17.75,1501:247:4,0.03,1,1,0.033853006681514,1,1,1
Pleuronectes,platessa,54.75,18.25,1501:248:3,0.03,1,1,0.028953229398664,0.9126213592233,1,1
Pleuronectes,platessa,54.75,18.75,1501:248:4,0.02,1,1,0.028953229398664,0.81769147788565,1,1
Pleuronectes,platessa,54.25,19.25,1501:249:1,0.01,1,1,0.0271714922049,0.22977346278317,1,1
Pleuronectes,platessa,54.25,19.75,1501:249:2,0.01,1,1,0.0271714922049,0.24379719525351,1,1
Pleuronectes,platessa,54.75,19.25,1501:249:3,0.02,0.90666666666667,1,0.0271714922049,0.80366774541532,1,1
Pleuronectes,platessa,54.75,19.75,1501:249:4,0.01,1,1,0.0271714922049,0.45738942826321,1,1
Pleuronectes,platessa,55.25,13.25,1501:353:1,0.09,1,1,0.093095768374165,1,1,1
Pleuronectes,platessa,55.25,13.75,1501:353:2,0.09,1,1,0.093095768374165,1,1,1
Pleuronectes,platessa,55.75,13.25,1501:353:3,0.09,1,1,0.093095768374165,1,0.97435897435897,1
Pleuronectes,platessa,55.25,14.25,1501:354:1,0.09,1,1,0.093095768374165,0.93096008629989,1,1
Pleuronectes,platessa,55.25,14.75,1501:354:2,0.06,1,1,0.059688195991091,1,1,1
Pleuronectes,platessa,55.75,14.25,1501:354:3,0.06,1,1,0.059688195991091,1,1,1
Pleuronectes,platessa,55.75,14.75,1501:354:4,0.06,1,1,0.059688195991091,1,1,1
Pleuronectes,platessa,56.25,14.25,1501:364:1,0.01,0.2,1,0.059688195991091,1,1,1
Pleuronectes,platessa,56.25,14.75,1501:364:2,0.06,1,1,0.059688195991091,1,1,1
Pleuronectes,platessa,55.25,15.25,1501:455:1,0.06,1,1,0.059688195991091,1,1,1
