Mapping parameters for Coregonus lavaretus (European whitefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  37,
Bounding Box (NSWE): ,73,40,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,1.18,6.22,10.76,18.53
Salinity (psu),1,3.56,5.63,34.97,38.07
Primary Production,1,448,658,2006,2507.5
Sea Ice Concentration,1,-0.95,0.01,0.109999999403954,0.33
Distance to Land (km),0,0,1,57,291
 

Map data (HSPEC) for predicted occurrences (n = 1453): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Coregonus,lavaretus,64.75,34.75,1603:144:4,0.04,,,,,,
Coregonus,lavaretus,64.25,35.25,1603:245:1,0.02,,,,,,
Coregonus,lavaretus,64.75,35.25,1603:245:3,0.03,,,,,,
Coregonus,lavaretus,64.75,35.75,1603:245:4,0.03,,,,,,
Coregonus,lavaretus,64.75,36.25,1603:246:3,0.02,,,,,,
Coregonus,lavaretus,64.75,36.75,1603:246:4,0.01,,,,,,
Coregonus,lavaretus,64.75,37.75,1603:247:4,0.02,,,,,,
Coregonus,lavaretus,64.75,38.25,1603:248:3,0.06,,,,,,
Coregonus,lavaretus,64.75,38.75,1603:248:4,0.06,,,,,,
Coregonus,lavaretus,64.75,39.25,1603:249:3,0.05,,,,,,
Coregonus,lavaretus,64.75,39.75,1603:249:4,0.05,,,,,,
Coregonus,lavaretus,65.25,34.25,1603:354:1,0.02,,,,,,
Coregonus,lavaretus,65.25,34.75,1603:354:2,0.01,,,,,,
Coregonus,lavaretus,65.75,34.75,1603:354:4,0.03,,,,,,
Coregonus,lavaretus,66.25,34.25,1603:364:1,0.02,,,,,,
Coregonus,lavaretus,66.25,34.75,1603:364:2,0.05,,,,,,
Coregonus,lavaretus,67.25,31.75,1603:371:2,0.01,,,,,,
Coregonus,lavaretus,69.75,31.25,1603:391:3,0.18,,,,,,
Coregonus,lavaretus,69.75,31.75,1603:391:4,0.16,,,,,,
Coregonus,lavaretus,65.25,35.25,1603:455:1,0.04,,,,,,
Coregonus,lavaretus,65.25,35.75,1603:455:2,0.05,,,,,,
Coregonus,lavaretus,65.75,35.25,1603:455:3,0.04,,,,,,
Coregonus,lavaretus,65.25,36.25,1603:456:1,0.07,,,,,,
Coregonus,lavaretus,65.25,36.75,1603:456:2,0.06,,,,,,
Coregonus,lavaretus,65.25,37.25,1603:457:1,0.09,,,,,,
Coregonus,lavaretus,65.25,37.75,1603:457:2,0.09,,,,,,
Coregonus,lavaretus,65.75,38.25,1603:458:3,0.01,,,,,,
Coregonus,lavaretus,65.75,38.75,1603:458:4,0.03,,,,,,
Coregonus,lavaretus,65.25,39.25,1603:459:1,0.02,,,,,,
Coregonus,lavaretus,65.25,39.75,1603:459:2,0.05,,,,,,
Coregonus,lavaretus,65.75,39.25,1603:459:3,0.01,,,,,,
Coregonus,lavaretus,65.75,39.75,1603:459:4,0.05,,,,,,
Coregonus,lavaretus,66.25,35.25,1603:465:1,0.04,,,,,,
Coregonus,lavaretus,66.25,35.75,1603:465:2,0.07,,,,,,
Coregonus,lavaretus,66.75,35.25,1603:465:3,0.04,,,,,,
Coregonus,lavaretus,66.25,36.25,1603:466:1,0.09,,,,,,
Coregonus,lavaretus,66.25,36.75,1603:466:2,0.09,,,,,,
Coregonus,lavaretus,66.25,37.25,1603:467:1,0.03,,,,,,
Coregonus,lavaretus,66.25,37.75,1603:467:2,0.09,,,,,,
Coregonus,lavaretus,66.25,38.25,1603:468:1,0.09,,,,,,
Coregonus,lavaretus,66.25,38.75,1603:468:2,0.08,,,,,,
Coregonus,lavaretus,66.25,39.25,1603:469:1,0.07,,,,,,
Coregonus,lavaretus,66.25,39.75,1603:469:2,0.03,,,,,,
Coregonus,lavaretus,68.75,37.75,1603:487:4,0.18,,,,,,
Coregonus,lavaretus,68.75,38.25,1603:488:3,0.01,,,,,,
Coregonus,lavaretus,68.25,39.25,1603:489:1,0.03,,,,,,
Coregonus,lavaretus,68.25,39.75,1603:489:2,0.15,,,,,,
Coregonus,lavaretus,69.25,36.75,1603:496:2,0.17,,,,,,
Coregonus,lavaretus,65.25,40.25,1604:350:1,0.02,,,,,,
Coregonus,lavaretus,65.75,40.25,1604:350:3,0.03,,,,,,
Coregonus,lavaretus,65.75,40.75,1604:350:4,0.02,,,,,,
Coregonus,lavaretus,66.25,40.75,1604:360:2,0.03,,,,,,
Coregonus,lavaretus,66.75,40.75,1604:360:4,0.05,,,,,,
Coregonus,lavaretus,66.25,41.75,1604:361:2,0.03,,,,,,
Coregonus,lavaretus,66.75,41.25,1604:361:3,0.05,,,,,,
Coregonus,lavaretus,66.75,41.75,1604:361:4,0.05,,,,,,
Coregonus,lavaretus,66.25,42.25,1604:362:1,0.04,,,,,,
Coregonus,lavaretus,66.25,42.75,1604:362:2,0.04,,,,,,
Coregonus,lavaretus,66.75,42.25,1604:362:3,0.04,,,,,,
Coregonus,lavaretus,66.75,42.75,1604:362:4,0.04,,,,,,
Coregonus,lavaretus,66.25,43.25,1604:363:1,0.02,,,,,,
Coregonus,lavaretus,66.25,43.75,1604:363:2,0.01,,,,,,
