Mapping parameters for Pomatomus saltatrix (Bluefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  81,
Bounding Box (NSWE): ,45,-44,-180,180

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Pomatomus,saltatrix,32.75,-30.75,7303:120:4,0.17
Pomatomus,saltatrix,32.75,-30.25,7303:120:3,0.17
Pomatomus,saltatrix,32.25,-30.75,7303:120:2,0.18
Pomatomus,saltatrix,32.25,-30.25,7303:120:1,0.17
Pomatomus,saltatrix,31.75,-32.25,7303:112:3,0.19
Pomatomus,saltatrix,31.25,-32.25,7303:112:1,0.19
Pomatomus,saltatrix,31.75,-31.75,7303:111:4,0.19
Pomatomus,saltatrix,31.75,-31.25,7303:111:3,0.18
Pomatomus,saltatrix,31.25,-31.75,7303:111:2,0.19
Pomatomus,saltatrix,31.25,-31.25,7303:111:1,0.19
Pomatomus,saltatrix,31.75,-30.75,7303:110:4,0.18
Pomatomus,saltatrix,31.75,-30.25,7303:110:3,0.18
Pomatomus,saltatrix,31.25,-30.75,7303:110:2,0.18
Pomatomus,saltatrix,31.25,-30.25,7303:110:1,0.18
Pomatomus,saltatrix,30.75,-32.25,7303:102:3,0.19
Pomatomus,saltatrix,30.25,-32.25,7303:102:1,0.19
Pomatomus,saltatrix,30.75,-31.75,7303:101:4,0.19
Pomatomus,saltatrix,30.75,-31.25,7303:101:3,0.19
Pomatomus,saltatrix,30.25,-31.75,7303:101:2,0.19
Pomatomus,saltatrix,30.25,-31.25,7303:101:1,0.19
Pomatomus,saltatrix,30.75,-30.75,7303:100:4,0.18
Pomatomus,saltatrix,30.75,-30.25,7303:100:3,0.18
Pomatomus,saltatrix,30.25,-30.75,7303:100:2,0.18
Pomatomus,saltatrix,30.25,-30.25,7303:100:1,0.18
Pomatomus,saltatrix,35.75,-21.25,7302:351:3,0.19
Pomatomus,saltatrix,35.25,-21.75,7302:351:2,0.19
Pomatomus,saltatrix,35.25,-21.25,7302:351:1,0.16
Pomatomus,saltatrix,35.75,-20.75,7302:350:4,0.17
Pomatomus,saltatrix,35.75,-20.25,7302:350:3,0.15
Pomatomus,saltatrix,35.25,-20.75,7302:350:2,0.16
Pomatomus,saltatrix,35.25,-20.25,7302:350:1,0.14
Pomatomus,saltatrix,34.25,-28.25,7302:248:1,0.18
Pomatomus,saltatrix,34.25,-27.75,7302:247:2,0.18
Pomatomus,saltatrix,34.25,-27.25,7302:247:1,0.18
Pomatomus,saltatrix,34.25,-26.75,7302:246:2,0.19
Pomatomus,saltatrix,34.25,-26.25,7302:246:1,0.19
Pomatomus,saltatrix,34.25,-25.75,7302:245:2,0.16
Pomatomus,saltatrix,34.25,-25.25,7302:245:1,0.14
Pomatomus,saltatrix,33.75,-29.75,7302:239:4,0.17
Pomatomus,saltatrix,33.75,-29.25,7302:239:3,0.17
Pomatomus,saltatrix,33.25,-29.75,7302:239:2,0.16
Pomatomus,saltatrix,33.25,-29.25,7302:239:1,0.16
Pomatomus,saltatrix,33.75,-28.75,7302:238:4,0.16
Pomatomus,saltatrix,33.75,-28.25,7302:238:3,0.16
Pomatomus,saltatrix,33.25,-28.75,7302:238:2,0.16
Pomatomus,saltatrix,33.25,-28.25,7302:238:1,0.16
Pomatomus,saltatrix,33.75,-27.75,7302:237:4,0.16
Pomatomus,saltatrix,33.75,-27.25,7302:237:3,0.17
Pomatomus,saltatrix,33.25,-27.75,7302:237:2,0.16
Pomatomus,saltatrix,33.25,-27.25,7302:237:1,0.16
Pomatomus,saltatrix,33.75,-26.75,7302:236:4,0.16
Pomatomus,saltatrix,33.75,-26.25,7302:236:3,0.15
Pomatomus,saltatrix,33.25,-26.75,7302:236:2,0.15
Pomatomus,saltatrix,33.25,-26.25,7302:236:1,0.15
Pomatomus,saltatrix,33.75,-25.75,7302:235:4,0.14
Pomatomus,saltatrix,33.75,-25.25,7302:235:3,0.13
Pomatomus,saltatrix,33.25,-25.75,7302:235:2,0.14
Pomatomus,saltatrix,33.25,-25.25,7302:235:1,0.13
Pomatomus,saltatrix,32.75,-29.75,7302:229:4,0.17
Pomatomus,saltatrix,32.75,-29.25,7302:229:3,0.17
Pomatomus,saltatrix,32.25,-29.75,7302:229:2,0.17
Pomatomus,saltatrix,32.25,-29.25,7302:229:1,0.17
Pomatomus,saltatrix,32.75,-28.75,7302:228:4,0.16
Pomatomus,saltatrix,32.75,-28.25,7302:228:3,0.16
Pomatomus,saltatrix,32.25,-28.75,7302:228:2,0.17
Pomatomus,saltatrix,32.25,-28.25,7302:228:1,0.16
Pomatomus,saltatrix,32.75,-27.75,7302:227:4,0.16
Pomatomus,saltatrix,32.75,-27.25,7302:227:3,0.15
Pomatomus,saltatrix,32.25,-27.75,7302:227:2,0.16
Pomatomus,saltatrix,32.25,-27.25,7302:227:1,0.16
Pomatomus,saltatrix,32.75,-26.75,7302:226:4,0.15
Pomatomus,saltatrix,32.75,-26.25,7302:226:3,0.15
Pomatomus,saltatrix,32.25,-26.75,7302:226:2,0.15
Pomatomus,saltatrix,32.25,-26.25,7302:226:1,0.15
Pomatomus,saltatrix,32.75,-25.75,7302:225:4,0.14
Pomatomus,saltatrix,32.75,-25.25,7302:225:3,0.14
Pomatomus,saltatrix,32.25,-25.75,7302:225:2,0.14
Pomatomus,saltatrix,32.25,-25.25,7302:225:1,0.14
Pomatomus,saltatrix,31.75,-29.75,7302:219:4,0.17
Pomatomus,saltatrix,31.75,-29.25,7302:219:3,0.17
Pomatomus,saltatrix,31.25,-29.75,7302:219:2,0.18
Pomatomus,saltatrix,31.25,-29.25,7302:219:1,0.17
Pomatomus,saltatrix,31.75,-28.75,7302:218:4,0.17
Pomatomus,saltatrix,31.75,-28.25,7302:218:3,0.16
Pomatomus,saltatrix,31.25,-28.75,7302:218:2,0.17
Pomatomus,saltatrix,31.25,-28.25,7302:218:1,0.16
Pomatomus,saltatrix,31.75,-27.75,7302:217:4,0.16
Pomatomus,saltatrix,31.75,-27.25,7302:217:3,0.16
Pomatomus,saltatrix,31.25,-27.75,7302:217:2,0.16
Pomatomus,saltatrix,31.25,-27.25,7302:217:1,0.16
Pomatomus,saltatrix,31.75,-26.75,7302:216:4,0.15
Pomatomus,saltatrix,31.75,-26.25,7302:216:3,0.15
Pomatomus,saltatrix,31.25,-26.75,7302:216:2,0.15
Pomatomus,saltatrix,31.25,-26.25,7302:216:1,0.15
Pomatomus,saltatrix,31.75,-25.75,7302:215:4,0.14
Pomatomus,saltatrix,31.75,-25.25,7302:215:3,0.14
Pomatomus,saltatrix,31.25,-25.75,7302:215:2,0.14
Pomatomus,saltatrix,31.25,-25.25,7302:215:1,0.14
Pomatomus,saltatrix,30.75,-29.75,7302:209:4,0.18
Pomatomus,saltatrix,30.75,-29.25,7302:209:3,0.17
Pomatomus,saltatrix,30.25,-29.75,7302:209:2,0.18
Pomatomus,saltatrix,30.25,-29.25,7302:209:1,0.17
Pomatomus,saltatrix,30.75,-28.75,7302:208:4,0.17
Pomatomus,saltatrix,30.75,-28.25,7302:208:3,0.16
Pomatomus,saltatrix,30.25,-28.75,7302:208:2,0.17
Pomatomus,saltatrix,30.25,-28.25,7302:208:1,0.16
Pomatomus,saltatrix,30.75,-27.75,7302:207:4,0.16
Pomatomus,saltatrix,30.75,-27.25,7302:207:3,0.16
Pomatomus,saltatrix,30.25,-27.75,7302:207:2,0.16
Pomatomus,saltatrix,30.25,-27.25,7302:207:1,0.16
Pomatomus,saltatrix,30.75,-26.75,7302:206:4,0.15
Pomatomus,saltatrix,30.75,-26.25,7302:206:3,0.15
Pomatomus,saltatrix,30.25,-26.75,7302:206:2,0.15
Pomatomus,saltatrix,30.25,-26.25,7302:206:1,0.15
Pomatomus,saltatrix,30.75,-25.75,7302:205:4,0.14
Pomatomus,saltatrix,30.75,-25.25,7302:205:3,0.14
Pomatomus,saltatrix,30.25,-25.75,7302:205:2,0.15
Pomatomus,saltatrix,30.25,-25.25,7302:205:1,0.14
