Mapping parameters for Lateolabrax japonicus (Japanese seabass)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  71 ,
Bounding Box (NSWE): ,44,15,106,143

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Lateolabrax,japonicus,32.25,121.25,1312:121:1,0.12
Lateolabrax,japonicus,32.75,124.75,1312:124:4,0.14
Lateolabrax,japonicus,33.25,124.25,1312:134:1,0.14
Lateolabrax,japonicus,31.25,125.75,1312:215:2,0.14
Lateolabrax,japonicus,35.75,121.25,1312:351:3,0.18
Lateolabrax,japonicus,36.25,121.75,1312:361:2,0.05
Lateolabrax,japonicus,36.75,121.25,1312:361:3,0.14
Lateolabrax,japonicus,36.75,121.75,1312:361:4,0.06
Lateolabrax,japonicus,36.25,122.25,1312:362:1,0.11
Lateolabrax,japonicus,36.25,122.75,1312:362:2,0.15
Lateolabrax,japonicus,36.75,122.25,1312:362:3,0.05
Lateolabrax,japonicus,36.75,124.25,1312:364:3,0.19
Lateolabrax,japonicus,37.75,120.25,1312:370:3,0.03
Lateolabrax,japonicus,37.25,122.25,1312:372:1,0.07
Lateolabrax,japonicus,37.75,122.25,1312:372:3,0.02
Lateolabrax,japonicus,38.25,120.75,1312:380:2,0.01
Lateolabrax,japonicus,38.25,121.25,1312:381:1,0.05
Lateolabrax,japonicus,38.25,121.75,1312:381:2,0.18
Lateolabrax,japonicus,38.75,122.75,1312:382:4,0.19
Lateolabrax,japonicus,38.75,123.75,1312:383:4,0.16
Lateolabrax,japonicus,39.25,123.25,1312:393:1,0.19
Lateolabrax,japonicus,39.25,124.25,1312:394:1,0.19
Lateolabrax,japonicus,35.75,125.25,1312:455:3,0.15
Lateolabrax,japonicus,34.25,138.25,1313:248:1,0.13
Lateolabrax,japonicus,37.25,131.75,1313:371:2,0.18
Lateolabrax,japonicus,15.75,109.25,1110:459:3,0.28
Lateolabrax,japonicus,17.75,108.75,1110:478:4,0.20
Lateolabrax,japonicus,17.25,109.25,1110:479:1,0.21
Lateolabrax,japonicus,17.75,109.25,1110:479:3,0.24
Lateolabrax,japonicus,18.25,110.75,1111:380:2,0.27
Lateolabrax,japonicus,19.75,111.75,1111:391:4,0.23
Lateolabrax,japonicus,15.25,121.25,1112:351:1,0.21
Lateolabrax,japonicus,15.25,121.75,1112:351:2,0.23
Lateolabrax,japonicus,17.75,122.25,1112:372:3,0.20
Lateolabrax,japonicus,18.25,121.75,1112:381:2,0.27
Lateolabrax,japonicus,18.75,121.75,1112:381:4,0.38
Lateolabrax,japonicus,18.25,122.25,1112:382:1,0.26
Lateolabrax,japonicus,21.25,113.75,1211:113:2,0.31
Lateolabrax,japonicus,21.25,121.75,1212:111:2,0.28
Lateolabrax,japonicus,24.25,122.75,1212:142:2,0.39
Lateolabrax,japonicus,26.75,142.25,1214:362:3,0.22
Lateolabrax,japonicus,27.25,140.75,1214:370:2,0.26
Lateolabrax,japonicus,27.25,142.25,1214:372:1,0.33
Lateolabrax,japonicus,37.25,119.75,1311:479:2,0.39
Lateolabrax,japonicus,30.25,120.75,1312:100:2,0.34
Lateolabrax,japonicus,30.75,121.25,1312:101:3,0.27
Lateolabrax,japonicus,31.75,120.75,1312:110:4,0.38
Lateolabrax,japonicus,31.25,122.25,1312:112:1,0.32
Lateolabrax,japonicus,31.25,124.75,1312:114:2,0.32
Lateolabrax,japonicus,32.25,121.75,1312:121:2,0.26
Lateolabrax,japonicus,33.75,123.25,1312:133:3,0.30
Lateolabrax,japonicus,34.75,121.25,1312:141:3,0.38
Lateolabrax,japonicus,31.25,125.25,1312:215:1,0.27
Lateolabrax,japonicus,31.75,126.25,1312:216:3,0.27
Lateolabrax,japonicus,31.75,128.25,1312:218:3,0.31
Lateolabrax,japonicus,32.25,125.25,1312:225:1,0.23
Lateolabrax,japonicus,35.25,120.25,1312:350:1,0.33
Lateolabrax,japonicus,35.25,120.75,1312:350:2,0.31
Lateolabrax,japonicus,35.25,121.25,1312:351:1,0.39
Lateolabrax,japonicus,35.75,121.75,1312:351:4,0.21
Lateolabrax,japonicus,35.25,122.25,1312:352:1,0.32
Lateolabrax,japonicus,35.75,122.25,1312:352:3,0.32
Lateolabrax,japonicus,35.75,122.75,1312:352:4,0.21
Lateolabrax,japonicus,36.25,121.25,1312:361:1,0.25
Lateolabrax,japonicus,36.75,122.75,1312:362:4,0.31
Lateolabrax,japonicus,36.75,123.25,1312:363:3,0.34
Lateolabrax,japonicus,37.25,122.75,1312:372:2,0.26
Lateolabrax,japonicus,37.75,122.75,1312:372:4,0.35
Lateolabrax,japonicus,37.25,123.25,1312:373:1,0.35
Lateolabrax,japonicus,37.25,123.75,1312:373:2,0.30
Lateolabrax,japonicus,37.75,123.25,1312:373:3,0.36
Lateolabrax,japonicus,37.75,123.75,1312:373:4,0.38
Lateolabrax,japonicus,37.25,124.25,1312:374:1,0.37
Lateolabrax,japonicus,38.25,122.25,1312:382:1,0.23
Lateolabrax,japonicus,38.25,122.75,1312:382:2,0.24
Lateolabrax,japonicus,38.75,122.25,1312:382:3,0.29
Lateolabrax,japonicus,38.25,123.25,1312:383:1,0.29
Lateolabrax,japonicus,38.25,123.75,1312:383:2,0.32
Lateolabrax,japonicus,38.75,123.25,1312:383:3,0.21
Lateolabrax,japonicus,39.25,122.75,1312:392:2,0.21
Lateolabrax,japonicus,39.25,123.75,1312:393:2,0.21
Lateolabrax,japonicus,39.75,123.25,1312:393:3,0.37
Lateolabrax,japonicus,38.75,128.75,1312:488:4,0.32
Lateolabrax,japonicus,34.25,137.25,1313:247:1,0.35
Lateolabrax,japonicus,36.25,135.75,1313:465:2,0.27
Lateolabrax,japonicus,42.25,141.75,1414:121:2,0.37
Lateolabrax,japonicus,42.25,142.25,1414:122:1,0.33
Lateolabrax,japonicus,15.25,108.75,1110:458:2,0.58
Lateolabrax,japonicus,15.75,108.75,1110:458:4,0.58
Lateolabrax,japonicus,15.25,109.25,1110:459:1,0.51
Lateolabrax,japonicus,16.25,108.75,1110:468:2,0.54
Lateolabrax,japonicus,17.75,109.75,1110:479:4,0.40
Lateolabrax,japonicus,18.25,108.75,1110:488:2,0.54
Lateolabrax,japonicus,18.25,109.25,1110:489:1,0.58
Lateolabrax,japonicus,18.25,110.25,1111:380:1,0.58
Lateolabrax,japonicus,20.25,107.75,1210:207:2,0.49
Lateolabrax,japonicus,20.75,107.75,1210:207:4,0.54
Lateolabrax,japonicus,20.75,108.25,1210:208:3,0.44
Lateolabrax,japonicus,20.25,109.25,1210:209:1,0.40
Lateolabrax,japonicus,20.75,109.25,1210:209:3,0.48
Lateolabrax,japonicus,21.25,107.75,1210:217:2,0.57
Lateolabrax,japonicus,20.25,111.75,1211:101:2,0.58
Lateolabrax,japonicus,20.75,113.25,1211:103:3,0.49
Lateolabrax,japonicus,22.25,114.25,1211:124:1,0.53
Lateolabrax,japonicus,22.25,116.75,1211:226:2,0.47
