Mapping parameters for Anguilla rostrata (American eel)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, version 10/2019. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 2 |  3 |  6 |  21 |  31 |  41,
Bounding Box (NSWE): ,66,7,-98,-21

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Anguilla,rostrata,49.75,-67.25,7406:497:3,0.07
Anguilla,rostrata,49.25,-67.75,7406:497:2,0.05
Anguilla,rostrata,49.25,-67.25,7406:497:1,0.03
Anguilla,rostrata,49.75,-66.75,7406:496:4,0.05
Anguilla,rostrata,49.75,-66.25,7406:496:3,0.04
Anguilla,rostrata,49.75,-65.75,7406:495:4,0.06
Anguilla,rostrata,49.75,-65.25,7406:495:3,0.12
Anguilla,rostrata,49.25,-65.75,7406:495:2,0.01
Anguilla,rostrata,49.25,-65.25,7406:495:1,0.05
Anguilla,rostrata,48.75,-69.25,7406:489:3,0.01
Anguilla,rostrata,48.25,-69.75,7406:489:2,0.01
Anguilla,rostrata,48.25,-69.25,7406:489:1,0.01
Anguilla,rostrata,48.75,-68.75,7406:488:4,0.02
Anguilla,rostrata,48.25,-68.75,7406:488:2,0.01
Anguilla,rostrata,48.25,-66.25,7406:486:1,0.15
Anguilla,rostrata,47.75,-69.75,7406:479:4,0.01
Anguilla,rostrata,47.75,-69.25,7406:479:3,0.02
Anguilla,rostrata,49.75,-64.75,7406:394:4,0.19
Anguilla,rostrata,49.25,-64.75,7406:394:2,0.15
Anguilla,rostrata,45.25,-63.25,7406:353:1,0.02
Anguilla,rostrata,44.25,-69.75,7406:249:2,0.02
Anguilla,rostrata,44.75,-68.75,7406:248:4,0.03
Anguilla,rostrata,44.75,-68.25,7406:248:3,0.04
Anguilla,rostrata,44.75,-67.75,7406:247:4,0.04
Anguilla,rostrata,44.25,-65.75,7406:245:2,0.04
Anguilla,rostrata,49.25,-57.75,7405:497:2,0.01
Anguilla,rostrata,49.25,-56.25,7405:496:1,0.01
Anguilla,rostrata,49.25,-55.75,7405:495:2,0.01
Anguilla,rostrata,49.25,-55.25,7405:495:1,0.04
Anguilla,rostrata,49.25,-54.75,7405:394:2,0.18
Anguilla,rostrata,49.25,-54.25,7405:394:1,0.10
Anguilla,rostrata,48.75,-54.25,7405:384:3,0.01
Anguilla,rostrata,48.25,-54.25,7405:384:1,0.01
Anguilla,rostrata,47.25,-53.25,7405:373:1,0.02
Anguilla,rostrata,44.75,-55.25,7405:245:3,0.19
Anguilla,rostrata,48.75,-49.25,7404:489:3,0.07
Anguilla,rostrata,48.25,-47.25,7404:487:1,0.17
Anguilla,rostrata,46.25,-46.25,7404:466:1,0.18
Anguilla,rostrata,48.25,-44.25,7404:384:1,0.10
Anguilla,rostrata,47.75,-43.75,7404:373:4,0.05
Anguilla,rostrata,30.25,-93.75,7309:103:2,0.01
Anguilla,rostrata,30.25,-90.25,7309:100:1,0.02
Anguilla,rostrata,30.25,-88.75,7308:208:2,0.11
Anguilla,rostrata,30.75,-87.25,7308:207:3,0.03
Anguilla,rostrata,30.75,-86.75,7308:206:4,0.11
Anguilla,rostrata,30.75,-86.25,7308:206:3,0.06
Anguilla,rostrata,30.25,-85.25,7308:205:1,0.02
Anguilla,rostrata,32.75,-80.75,7308:120:4,0.02
Anguilla,rostrata,39.75,-76.25,7307:496:3,0.13
Anguilla,rostrata,39.25,-76.25,7307:496:1,0.10
Anguilla,rostrata,39.75,-75.75,7307:495:4,0.01
Anguilla,rostrata,39.75,-75.25,7307:495:3,0.01
Anguilla,rostrata,39.25,-75.75,7307:495:2,0.01
Anguilla,rostrata,38.75,-76.75,7307:486:4,0.02
Anguilla,rostrata,38.75,-76.25,7307:486:3,0.06
